sample_id,class_id,action_name,user_id,trial_id,depth_color_path,imu_path,ir_path,radar_path,skeleton_path,thermal_path
train__c00__user4__1-1-1,0,Wash_face,user4,1-1-1,Depth_Color/0_Wash_face/user4/1-1-1,IMU/0_Wash_face/user4/1-1-1,IR/0_Wash_face/user4/1-1-1,Radar/0_Wash_face/user4/1-1-1,Skeleton/0_Wash_face/user4/1-1-1,Thermal/0_Wash_face/user4/1-1-1
train__c00__user4__1-1-2,0,Wash_face,user4,1-1-2,Depth_Color/0_Wash_face/user4/1-1-2,IMU/0_Wash_face/user4/1-1-2,IR/0_Wash_face/user4/1-1-2,Radar/0_Wash_face/user4/1-1-2,Skeleton/0_Wash_face/user4/1-1-2,Thermal/0_Wash_face/user4/1-1-2
train__c00__user4__1-1-3,0,Wash_face,user4,1-1-3,Depth_Color/0_Wash_face/user4/1-1-3,IMU/0_Wash_face/user4/1-1-3,IR/0_Wash_face/user4/1-1-3,Radar/0_Wash_face/user4/1-1-3,Skeleton/0_Wash_face/user4/1-1-3,Thermal/0_Wash_face/user4/1-1-3
train__c00__user5__1-1-1,0,Wash_face,user5,1-1-1,Depth_Color/0_Wash_face/user5/1-1-1,IMU/0_Wash_face/user5/1-1-1,IR/0_Wash_face/user5/1-1-1,Radar/0_Wash_face/user5/1-1-1,Skeleton/0_Wash_face/user5/1-1-1,Thermal/0_Wash_face/user5/1-1-1
train__c00__user5__1-1-2,0,Wash_face,user5,1-1-2,Depth_Color/0_Wash_face/user5/1-1-2,IMU/0_Wash_face/user5/1-1-2,IR/0_Wash_face/user5/1-1-2,Radar/0_Wash_face/user5/1-1-2,Skeleton/0_Wash_face/user5/1-1-2,Thermal/0_Wash_face/user5/1-1-2
train__c00__user5__1-1-3,0,Wash_face,user5,1-1-3,Depth_Color/0_Wash_face/user5/1-1-3,IMU/0_Wash_face/user5/1-1-3,IR/0_Wash_face/user5/1-1-3,Radar/0_Wash_face/user5/1-1-3,Skeleton/0_Wash_face/user5/1-1-3,Thermal/0_Wash_face/user5/1-1-3
train__c00__user6__1-1-1,0,Wash_face,user6,1-1-1,Depth_Color/0_Wash_face/user6/1-1-1,IMU/0_Wash_face/user6/1-1-1,IR/0_Wash_face/user6/1-1-1,Radar/0_Wash_face/user6/1-1-1,Skeleton/0_Wash_face/user6/1-1-1,Thermal/0_Wash_face/user6/1-1-1
train__c00__user6__1-1-2,0,Wash_face,user6,1-1-2,Depth_Color/0_Wash_face/user6/1-1-2,IMU/0_Wash_face/user6/1-1-2,IR/0_Wash_face/user6/1-1-2,Radar/0_Wash_face/user6/1-1-2,Skeleton/0_Wash_face/user6/1-1-2,Thermal/0_Wash_face/user6/1-1-2
train__c00__user6__1-1-3,0,Wash_face,user6,1-1-3,Depth_Color/0_Wash_face/user6/1-1-3,IMU/0_Wash_face/user6/1-1-3,IR/0_Wash_face/user6/1-1-3,Radar/0_Wash_face/user6/1-1-3,Skeleton/0_Wash_face/user6/1-1-3,Thermal/0_Wash_face/user6/1-1-3
train__c00__user8__1-1-1,0,Wash_face,user8,1-1-1,Depth_Color/0_Wash_face/user8/1-1-1,IMU/0_Wash_face/user8/1-1-1,IR/0_Wash_face/user8/1-1-1,Radar/0_Wash_face/user8/1-1-1,Skeleton/0_Wash_face/user8/1-1-1,
