rank,val_users,train_users,total_score,coverage_penalty,union_train_samples,union_val_samples,union_val_ratio,union_train_class_count,union_val_class_count,depth_color_train_samples,depth_color_val_samples,depth_color_val_ratio,depth_color_train_class_count,depth_color_val_class_count,depth_color_min_val_class_samples,depth_color_max_val_class_samples,depth_color_mean_val_class_samples,imu_train_samples,imu_val_samples,imu_val_ratio,imu_train_class_count,imu_val_class_count,imu_min_val_class_samples,imu_max_val_class_samples,imu_mean_val_class_samples,ir_train_samples,ir_val_samples,ir_val_ratio,ir_train_class_count,ir_val_class_count,ir_min_val_class_samples,ir_max_val_class_samples,ir_mean_val_class_samples,radar_train_samples,radar_val_samples,radar_val_ratio,radar_train_class_count,radar_val_class_count,radar_min_val_class_samples,radar_max_val_class_samples,radar_mean_val_class_samples,skeleton_train_samples,skeleton_val_samples,skeleton_val_ratio,skeleton_train_class_count,skeleton_val_class_count,skeleton_min_val_class_samples,skeleton_max_val_class_samples,skeleton_mean_val_class_samples,thermal_train_samples,thermal_val_samples,thermal_val_ratio,thermal_train_class_count,thermal_val_class_count,thermal_min_val_class_samples,thermal_max_val_class_samples,thermal_mean_val_class_samples,min_val_class_samples_union,union_ratio_error,mean_modality_ratio_error,union_class_distribution_error,mean_modality_class_distribution_error,class_distribution_error,user_count_imbalance,missing_rate_error,min_class_penalty,status
1,user4;user17;user23;user24,user1;user2;user3;user5;user6;user7;user8;user9;user16;user18;user19;user20;user21;user22,0.311704142086,0.000000000000,2427,609,0.200592885375,40,40,2341,590,0.201296485841,40,40,5,71,14.750000000000,2319,584,0.201171202205,40,40,5,68,14.600000000000,2342,591,0.201500170474,40,40,5,71,14.775000000000,2329,585,0.200754975978,40,40,5,71,14.625000000000,2341,590,0.201296485841,40,40,5,71,14.750000000000,2299,592,0.204773434798,40,40,5,63,14.800000000000,6,0.000592885375,0.001798792523,0.005633952504,0.005711488185,0.011345440690,0.069413666298,0.005753346271,0.309523809524,passed
2,user1;user17;user23;user24,user2;user3;user4;user5;user6;user7;user8;user9;user16;user18;user19;user20;user21;user22,0.367155036877,0.000000000000,2417,619,0.203886693017,40,40,2326,605,0.206414193108,40,40,6,73,15.125000000000,2308,595,0.204960385808,40,40,6,69,14.875000000000,2327,606,0.206614387999,40,40,6,73,15.150000000000,2318,596,0.204529855868,40,40,6,72,14.900000000000,2326,605,0.206414193108,40,40,6,73,15.125000000000,2290,601,0.207886544448,40,40,6,66,15.025000000000,6,0.003886693017,0.006136593390,0.005082999696,0.005521244552,0.010604244247,0.059291597103,0.010600757168,0.285714285714,passed
3,user3;user4;user23;user24,user1;user2;user5;user6;user7;user8;user9;user16;user17;user18;user19;user20;user21;user22,0.389905025442,0.000000000000,2430,606,0.199604743083,40,40,2346,585,0.199590583419,40,40,3,74,14.625000000000,2318,585,0.201515673441,40,40,3,74,14.625000000000,2347,586,0.199795431299,40,40,3,74,14.650000000000,2332,582,0.199725463281,40,40,3,74,14.550000000000,2346,585,0.199590583419,40,40,3,74,14.625000000000,2308,583,0.201660325147,40,40,3,69,14.575000000000,3,0.000395256917,0.000745656195,0.006501682777,0.006867040380,0.013368723157,0.063568845823,0.003433495523,0.500000000000,passed
4,user4;user20;user23;user24,user1;user2;user3;user5;user6;user7;user8;user9;user16;user17;user18;user19;user21;user22,0.418466371690,0.000000000000,2434,602,0.198287220026,40,40,2348,583,0.198908222450,40,40,3,62,14.575000000000,2320,583,0.200826730968,40,40,3,62,14.575000000000,2349,584,0.199113535629,40,40,3,62,14.600000000000,2331,583,0.200068634180,40,40,3,62,14.575000000000,2348,583,0.198908222450,40,40,3,62,14.575000000000,2303,588,0.203389830508,40,40,3,57,14.700000000000,3,0.001712779974,0.001225869188,0.006589858574,0.006239980265,0.012829838839,0.056673495380,0.009241081916,0.500000000000,passed
5,user1;user4;user17;user23,user2;user3;user5;user6;user7;user8;user9;user16;user18;user19;user20;user21;user22;user24,0.428501355849,0.000000000000,2433,603,0.198616600791,40,40,2351,580,0.197884680996,40,40,3,67,14.500000000000,2333,570,0.196348604891,40,40,3,63,14.250000000000,2352,581,0.198090692124,40,40,3,67,14.525000000000,2343,571,0.195950583391,40,40,3,66,14.275000000000,2351,580,0.197884680996,40,40,3,67,14.500000000000,2303,588,0.203389830508,40,40,3,60,14.700000000000,3,0.001383399209,0.002871764685,0.005026334074,0.005262546250,0.010288880324,0.065731081866,0.009393360383,0.500000000000,passed
6,user1;user4;user23;user24,user2;user3;user5;user6;user7;user8;user9;user16;user17;user18;user19;user20;user21;user22,0.432932633335,0.000000000000,2440,596,0.196310935441,40,40,2358,573,0.195496417605,40,40,3,70,14.325000000000,2334,569,0.196004133655,40,40,3,69,14.225000000000,2359,574,0.195704057279,40,40,3,70,14.350000000000,2345,569,0.195264241592,40,40,3,69,14.225000000000,2358,573,0.195496417605,40,40,3,70,14.325000000000,2311,580,0.200622621930,40,40,3,65,14.500000000000,3,0.003689064559,0.003776225699,0.005940238392,0.006111978778,0.012052217170,0.049318585425,0.006420714292,0.500000000000,passed
7,user4;user8;user23;user24,user1;user2;user3;user5;user6;user7;user9;user16;user17;user18;user19;user20;user21;user22,0.435723550908,0.000000000000,2424,612,0.201581027668,40,40,2342,589,0.200955305357,40,40,3,67,14.725000000000,2314,589,0.202893558388,40,40,3,67,14.725000000000,2343,590,0.201159222639,40,40,3,67,14.750000000000,2327,587,0.201441317776,40,40,3,66,14.675000000000,2342,589,0.200955305357,40,40,3,67,14.725000000000,2299,592,0.204773434798,40,40,3,62,14.800000000000,3,0.001581027668,0.002029690719,0.007617091632,0.007679832068,0.015296923700,0.075659064724,0.004997761072,0.500000000000,passed
8,user1;user3;user4;user23,user2;user5;user6;user7;user8;user9;user16;user17;user18;user19;user20;user21;user22;user24,0.435753602138,0.000000000000,2436,600,0.197628458498,40,40,2356,575,0.196178778574,40,40,3,70,14.375000000000,2332,571,0.196693076128,40,40,3,69,14.275000000000,2357,576,0.196385952949,40,40,3,70,14.400000000000,2346,568,0.194921070693,40,40,3,69,14.200000000000,2356,575,0.196178778574,40,40,3,70,14.375000000000,2312,579,0.200276720858,40,40,3,66,14.475000000000,3,0.002371541502,0.003319843990,0.005792490119,0.006192875993,0.011985366112,0.058499762583,0.008445322793,0.500000000000,passed
9,user17;user20;user23;user24,user1;user2;user3;user4;user5;user6;user7;user8;user9;user16;user18;user19;user21;user22,0.447142828770,0.000000000000,2411,625,0.205862977602,40,40,2316,615,0.209825997953,40,40,6,65,15.375000000000,2294,609,0.209782983121,40,40,6,62,15.225000000000,2317,616,0.210023866348,40,40,6,65,15.400000000000,2304,610,0.209334248456,40,40,6,65,15.250000000000,2316,615,0.209825997953,40,40,6,65,15.375000000000,2282,609,0.210653753027,40,40,5,58,15.225000000000,6,0.005862977602,0.009907807810,0.005227694335,0.005120570234,0.010348264569,0.059243227461,0.018874747475,0.289682539683,passed
10,user1;user3;user23;user24,user2;user4;user5;user6;user7;user8;user9;user16;user17;user18;user19;user20;user21;user22,0.448228883222,0.000000000000,2420,616,0.202898550725,40,40,2331,600,0.204708290686,40,40,3,76,15.000000000000,2307,596,0.205304857044,40,40,3,75,14.900000000000,2332,601,0.204909648824,40,40,3,76,15.025000000000,2321,593,0.203500343171,40,40,3,75,14.825000000000,2331,600,0.204708290686,40,40,3,76,15.000000000000,2299,592,0.204773434798,40,40,3,72,14.800000000000,3,0.002898550725,0.004650810868,0.005985319029,0.006691141296,0.012676460325,0.053939115993,0.008297258297,0.500000000000,passed
