class_id,action_name,train_support,val_support,precision_b2,recall_b2,f1_b2,predicted_count_b2,correct_count_b2,precision_supcon,recall_supcon,f1_supcon,predicted_count_supcon,correct_count_supcon,delta_f1_supcon_minus_b2,rescued_samples,harmed_samples,net_rescue
0,Wash_face,32,12,1.0,0.9166666666666666,0.9565217391304348,11,11,0.8,0.3333333333333333,0.47058823529411764,5,4,-0.48593350383631717,0,7,-7
1,Brush_teeth,36,12,0.6363636363636364,0.5833333333333334,0.6086956521739131,11,7,0.4,0.16666666666666666,0.23529411764705882,5,2,-0.37340153452685426,0,5,-5
2,Comb_hair,45,9,0.16666666666666666,0.2222222222222222,0.19047619047619047,12,2,0.23076923076923078,0.3333333333333333,0.2727272727272727,13,3,0.08225108225108224,2,1,1
3,Take_off_clothes,30,11,0.46153846153846156,0.5454545454545454,0.5,13,6,0.2857142857142857,0.36363636363636365,0.32,14,4,-0.18,0,2,-2
4,Wipe_hands,55,15,0.6428571428571429,0.6,0.6206896551724138,14,9,0.3333333333333333,0.26666666666666666,0.2962962962962963,12,4,-0.32439335887611753,0,5,-5
5,Put_on_clothes,39,15,0.5,0.5333333333333333,0.5161290322580645,16,8,0.38095238095238093,0.5333333333333333,0.4444444444444444,21,8,-0.07168458781362008,3,3,0
6,Drink_water,107,13,0.5714285714285714,0.6153846153846154,0.5925925925925926,14,8,0.4,0.46153846153846156,0.42857142857142855,15,6,-0.164021164021164,0,2,-2
7,Eat_food,122,32,0.5454545454545454,0.1875,0.27906976744186046,11,6,0.38461538461538464,0.15625,0.2222222222222222,13,5,-0.05684754521963825,4,5,-1
8,Take_and_use_tableware,82,14,0.23076923076923078,0.21428571428571427,0.2222222222222222,13,3,0.3,0.21428571428571427,0.25,10,3,0.02777777777777779,0,0,0
9,Pour_drinks,114,16,0.7272727272727273,0.5,0.5925925925925926,11,8,0.625,0.3125,0.4166666666666667,8,5,-0.17592592592592587,2,5,-3
10,Stir_drinks,100,16,0.21428571428571427,0.1875,0.2,14,3,0.45454545454545453,0.3125,0.37037037037037035,11,5,0.17037037037037034,5,3,2
11,Peel_fruits,88,18,0.18518518518518517,0.2777777777777778,0.2222222222222222,27,5,0.11764705882352941,0.1111111111111111,0.11428571428571428,17,2,-0.10793650793650793,2,5,-3
12,Sweep_the_floor,50,9,0.4444444444444444,0.4444444444444444,0.4444444444444444,9,4,0.4,0.6666666666666666,0.5,15,6,0.05555555555555558,2,0,2
13,Mop_the_floor,49,6,0.0,0.0,0.0,12,0,0.0,0.0,0.0,9,0,0.0,0,0,0
14,Wipe_bowls,29,6,0.16666666666666666,0.3333333333333333,0.2222222222222222,12,2,0.25,0.16666666666666666,0.2,4,1,-0.0222222222222222,0,1,-1
15,Wipe_windows_and_tables,43,9,0.0,0.0,0.0,0,0,0.4,0.2222222222222222,0.2857142857142857,5,2,0.2857142857142857,2,0,2
16,Fold_clothes,12,9,0.4,0.2222222222222222,0.2857142857142857,5,2,0.6666666666666666,0.2222222222222222,0.3333333333333333,3,2,0.047619047619047616,0,0,0
17,Tap_the_keyboard,69,17,0.5833333333333334,0.4117647058823529,0.4827586206896552,12,7,0.6363636363636364,0.4117647058823529,0.5,11,7,0.017241379310344807,1,1,0
18,Write,27,11,0.2222222222222222,0.18181818181818182,0.2,9,2,0.25,0.09090909090909091,0.13333333333333333,4,1,-0.06666666666666668,1,2,-1
19,Make_a_phone_call,35,8,0.3333333333333333,0.375,0.35294117647058826,9,3,0.0,0.0,0.0,4,0,-0.35294117647058826,0,3,-3
20,Check_the_time,82,12,0.21428571428571427,0.25,0.23076923076923078,14,3,0.23076923076923078,0.5,0.3157894736842105,26,6,0.08502024291497973,4,1,3
21,Read_documents,56,15,0.4,0.13333333333333333,0.2,5,2,0.2608695652173913,0.4,0.3157894736842105,23,6,0.1157894736842105,4,0,4
22,Turn_pages,50,9,0.20833333333333334,0.5555555555555556,0.30303030303030304,24,5,0.2,0.1111111111111111,0.14285714285714285,5,1,-0.1601731601731602,0,4,-4
23,Listen_to_music_with_headphones,58,17,0.45454545454545453,0.5882352941176471,0.5128205128205128,22,10,0.391304347826087,0.5294117647058824,0.45,23,9,-0.06282051282051276,0,1,-1
24,Use_a_mobile_phone,32,16,0.16666666666666666,0.25,0.2,24,4,0.14285714285714285,0.125,0.13333333333333333,14,2,-0.06666666666666668,2,4,-2
25,Watch_TV,6,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,6,2,0.0,0.0,0.0,0,0,-0.3333333333333333,0,2,-2
26,Play_games,28,12,0.2222222222222222,0.16666666666666666,0.19047619047619047,9,2,0.25,0.25,0.25,12,3,0.059523809523809534,2,1,1
27,Take_a_selfie,27,14,0.3333333333333333,0.21428571428571427,0.2608695652173913,9,3,0.42857142857142855,0.21428571428571427,0.2857142857142857,7,3,0.0248447204968944,1,1,0
28,Jog_in_place,26,11,0.9,0.8181818181818182,0.8571428571428571,10,9,0.7,0.6363636363636364,0.6666666666666666,10,7,-0.19047619047619047,0,2,-2
29,Do_squats,62,15,0.375,0.6,0.46153846153846156,24,9,0.3333333333333333,0.8,0.47058823529411764,36,12,0.009049773755656076,3,0,3
30,Do_jumping_jacks,38,6,0.35294117647058826,1.0,0.5217391304347826,17,6,0.4,1.0,0.5714285714285714,15,6,0.0496894409937888,0,0,0
