class_id,action_name,train_support,val_support,precision_best_accuracy,recall_best_accuracy,f1_best_accuracy,predicted_count_best_accuracy,correct_count_best_accuracy,true_probability_mean_best_accuracy,true_rank_mean_best_accuracy,true_rank_median_best_accuracy,top_confused_class_best_accuracy,top_confused_action_best_accuracy,top_confusion_count_best_accuracy,precision_best_macro,recall_best_macro,f1_best_macro,predicted_count_best_macro,correct_count_best_macro,true_probability_mean_best_macro,true_rank_mean_best_macro,true_rank_median_best_macro,top_confused_class_best_macro,top_confused_action_best_macro,top_confusion_count_best_macro,delta_precision_macro_minus_accuracy,delta_recall_macro_minus_accuracy,delta_f1_macro_minus_accuracy,delta_predicted_count_macro_minus_accuracy,delta_true_rank_macro_minus_accuracy
2,Comb_hair,45,9,0.0,0.0,0.0,6,0,0.0558794476091861,6.0,6.0,5,Put_on_clothes,5,0.2727272727272727,0.3333333333333333,0.3,11,3,0.1983127444982528,2.6666666666666665,3.0,5,Put_on_clothes,3,0.2727272727272727,0.3333333333333333,0.3,5,-3.333333333333333
6,Drink_water,107,13,0.0,0.0,0.0,3,0,0.0548195466399192,9.307692307692308,6.0,37,Take_medicine,4,0.3333333333333333,0.5384615384615384,0.4117647058823529,21,7,0.441877156496048,4.538461538461538,1.0,12,Sweep_the_floor,2,0.3333333333333333,0.5384615384615384,0.4117647058823529,18,-4.76923076923077
8,Take_and_use_tableware,82,14,0.0,0.0,0.0,7,0,0.0507892556488513,10.928571428571429,8.0,24,Use_a_mobile_phone,3,0.0,0.0,0.0,14,0,0.1120324805378913,6.857142857142857,3.0,14,Wipe_bowls,4,0.0,0.0,0.0,7,-4.071428571428572
14,Wipe_bowls,29,6,0.0,0.0,0.0,7,0,0.0265288893133401,6.666666666666667,5.0,4,Wipe_hands,2,0.1666666666666666,0.1666666666666666,0.1666666666666666,6,1,0.13356314599514,6.666666666666667,4.5,37,Take_medicine,2,0.1666666666666666,0.1666666666666666,0.1666666666666666,-1,0.0
18,Write,27,11,0.0,0.0,0.0,1,0,0.0600602738559246,3.909090909090909,3.0,17,Tap_the_keyboard,5,0.0,0.0,0.0,0,0,0.0234341155737638,7.181818181818182,6.0,26,Play_games,5,0.0,0.0,0.0,-1,3.2727272727272725
19,Make_a_phone_call,35,8,0.0,0.0,0.0,0,0,0.0264569148421287,11.25,7.5,5,Put_on_clothes,2,0.0,0.0,0.0,0,0,0.0334592387080192,13.25,11.0,5,Put_on_clothes,2,0.0,0.0,0.0,0,2.0
25,Watch_TV,6,6,0.0,0.0,0.0,0,0,0.004703817423433,16.166666666666668,15.5,3,Take_off_clothes,2,0.0,0.0,0.0,0,0,0.0076026651076972,13.833333333333334,14.0,6,Drink_water,2,0.0,0.0,0.0,0,-2.333333333333334
35,Do_lunges,21,5,0.0,0.0,0.0,0,0,0.0087698446586728,18.0,18.0,32,Stand_up,2,0.0,0.0,0.0,1,0,0.0160187128931283,15.2,20.0,34,Sit_down,3,0.0,0.0,0.0,1,-2.8000000000000007
37,Take_medicine,51,17,0.1,0.0588235294117647,0.074074074074074,10,1,0.0595073923468589,12.0,10.0,3,Take_off_clothes,3,0.0833333333333333,0.0588235294117647,0.0689655172413793,12,1,0.0939040780067443,6.176470588235294,4.0,27,Take_a_selfie,6,-0.0166666666666666,0.0,-0.0051085568326947,2,-5.823529411764706
39,Take_body_temperature,40,15,0.0909090909090909,0.0666666666666666,0.0769230769230769,11,1,0.0988233909010887,4.933333333333334,4.0,20,Check_the_time,5,0.1875,0.2,0.1935483870967742,16,3,0.1683517545461654,3.2666666666666666,4.0,38,Massage_oneself,5,0.096590909090909,0.1333333333333333,0.1166253101736972,5,-1.666666666666667
24,Use_a_mobile_phone,32,16,0.1111111111111111,0.0625,0.08,9,1,0.0673142597079277,7.4375,4.0,11,Peel_fruits,4,0.125,0.0625,0.0833333333333333,8,1,0.0878043919801712,5.75,6.5,11,Peel_fruits,6,0.0138888888888888,0.0,0.0033333333333333,-1,-1.6875
38,Massage_oneself,50,12,0.1111111111111111,0.1666666666666666,0.1333333333333333,18,2,0.0994595065712928,6.666666666666667,6.0,23,Listen_to_music_with_headphones,3,0.2727272727272727,0.25,0.2608695652173913,11,3,0.1156261265277862,9.333333333333334,10.0,27,Take_a_selfie,3,0.1616161616161616,0.0833333333333333,0.1275362318840579,-7,2.666666666666667
3,Take_off_clothes,30,11,0.1071428571428571,0.2727272727272727,0.1538461538461538,28,3,0.2100777477025985,3.909090909090909,2.0,5,Put_on_clothes,2,0.1111111111111111,0.0909090909090909,0.1,9,1,0.1131965592503547,5.818181818181818,5.0,5,Put_on_clothes,3,0.0039682539682539,-0.1818181818181818,-0.0538461538461538,-19,1.9090909090909087
20,Check_the_time,82,12,0.125,0.3333333333333333,0.1818181818181818,32,4,0.2428662925958633,3.4166666666666665,2.0,8,Take_and_use_tableware,2,0.0833333333333333,0.1666666666666666,0.1111111111111111,24,2,0.1844379305839538,5.5,4.0,8,Take_and_use_tableware,3,-0.0416666666666666,-0.1666666666666666,-0.0707070707070707,-8,2.083333333333333
22,Turn_pages,50,9,0.5,0.1111111111111111,0.1818181818181818,2,1,0.2124671787023544,2.6666666666666665,3.0,21,Read_documents,5,0.3,0.3333333333333333,0.3157894736842105,10,3,0.1360284090042114,6.333333333333333,5.0,11,Peel_fruits,2,-0.2,0.2222222222222222,0.1339712918660286,8,3.6666666666666665
10,Stir_drinks,100,16,0.6666666666666666,0.125,0.2105263157894736,3,2,0.0844268575310707,6.0625,4.5,9,Pour_drinks,2,0.2352941176470588,0.25,0.2424242424242424,17,4,0.2471447736024856,4.25,2.5,9,Pour_drinks,5,-0.4313725490196078,0.125,0.0318979266347687,14,-1.8125
13,Mop_the_floor,49,6,0.3333333333333333,0.1666666666666666,0.2222222222222222,3,1,0.1702704429626464,9.0,7.5,2,Comb_hair,2,0.25,0.5,0.3333333333333333,12,3,0.3260055184364319,8.833333333333334,5.5,39,Take_body_temperature,2,-0.0833333333333333,0.3333333333333333,0.1111111111111111,9,-0.166666666666666
16,Fold_clothes,12,9,0.2222222222222222,0.2222222222222222,0.2222222222222222,9,2,0.2089445143938064,5.222222222222222,2.0,3,Take_off_clothes,2,1.0,0.1111111111111111,0.2,1,1,0.1186563298106193,8.11111111111111,6.0,28,Jog_in_place,3,0.7777777777777778,-0.1111111111111111,-0.0222222222222222,-8,2.8888888888888884
5,Put_on_clothes,39,15,0.2272727272727272,0.3333333333333333,0.2702702702702703,22,5,0.3402524888515472,2.333333333333333,2.0,3,Take_off_clothes,4,0.3333333333333333,0.3333333333333333,0.3333333333333333,15,5,0.2000260949134826,4.866666666666666,3.0,31,Do_stretching_exercises,3,0.106060606060606,0.0,0.063063063063063,-7,2.5333333333333328
27,Take_a_selfie,27,14,0.2777777777777778,0.3571428571428571,0.3125,18,5,0.2347723096609115,8.142857142857142,4.0,20,Check_the_time,3,0.25,0.3571428571428571,0.2941176470588235,20,5,0.2591045200824737,8.285714285714286,4.5,39,Take_body_temperature,3,-0.0277777777777777,0.0,-0.0183823529411764,2,0.1428571428571441
