class_id,action_name,train_support,val_support
0,Wash_face,32,12
1,Brush_teeth,36,12
2,Comb_hair,45,9
3,Take_off_clothes,30,11
4,Wipe_hands,55,15
5,Put_on_clothes,39,15
6,Drink_water,107,13
7,Eat_food,122,32
8,Take_and_use_tableware,82,14
9,Pour_drinks,114,16
10,Stir_drinks,100,16
11,Peel_fruits,88,18
12,Sweep_the_floor,50,9
13,Mop_the_floor,49,6
14,Wipe_bowls,29,6
15,Wipe_windows_and_tables,43,9
16,Fold_clothes,12,9
17,Tap_the_keyboard,69,17
18,Write,27,11
19,Make_a_phone_call,35,8
20,Check_the_time,82,12
21,Read_documents,56,15
22,Turn_pages,50,9
23,Listen_to_music_with_headphones,58,17
24,Use_a_mobile_phone,32,16
25,Watch_TV,6,6
26,Play_games,28,12
27,Take_a_selfie,27,14
28,Jog_in_place,26,11
29,Do_squats,62,15
30,Do_jumping_jacks,38,6
31,Do_stretching_exercises,67,18
32,Stand_up,60,24
33,Lie_down,27,6
34,Sit_down,115,31
35,Do_lunges,21,5
36,Walk,260,71
37,Take_medicine,51,17
38,Massage_oneself,50,12
39,Take_body_temperature,40,15
