source_class,source_action,target_class,target_action,count_best_accuracy,count_best_macro,delta_macro_minus_accuracy
29,Do_squats,3,Take_off_clothes,6,3,-3
7,Eat_food,11,Peel_fruits,5,10,5
2,Comb_hair,5,Put_on_clothes,5,3,-2
18,Write,17,Tap_the_keyboard,5,3,-2
31,Do_stretching_exercises,30,Do_jumping_jacks,5,3,-2
39,Take_body_temperature,20,Check_the_time,5,1,-4
22,Turn_pages,21,Read_documents,5,0,-5
24,Use_a_mobile_phone,11,Peel_fruits,4,6,2
6,Drink_water,37,Take_medicine,4,2,-2
5,Put_on_clothes,3,Take_off_clothes,4,1,-3
1,Brush_teeth,38,Massage_oneself,4,0,-4
18,Write,21,Read_documents,4,0,-4
26,Play_games,20,Check_the_time,4,0,-4
39,Take_body_temperature,38,Massage_oneself,3,5,2
4,Wipe_hands,0,Wash_face,3,4,1
21,Read_documents,11,Peel_fruits,3,3,0
38,Massage_oneself,27,Take_a_selfie,3,3,0
4,Wipe_hands,11,Peel_fruits,3,2,-1
24,Use_a_mobile_phone,26,Play_games,3,2,-1
27,Take_a_selfie,20,Check_the_time,3,2,-1
7,Eat_food,24,Use_a_mobile_phone,3,1,-2
8,Take_and_use_tableware,24,Use_a_mobile_phone,3,1,-2
31,Do_stretching_exercises,3,Take_off_clothes,3,1,-2
38,Massage_oneself,23,Listen_to_music_with_headphones,3,1,-2
7,Eat_food,23,Listen_to_music_with_headphones,3,0,-3
9,Pour_drinks,14,Wipe_bowls,3,0,-3
15,Wipe_windows_and_tables,36,Walk,3,0,-3
24,Use_a_mobile_phone,34,Sit_down,3,0,-3
33,Lie_down,21,Read_documents,3,0,-3
37,Take_medicine,3,Take_off_clothes,3,0,-3
37,Take_medicine,20,Check_the_time,3,0,-3
10,Stir_drinks,9,Pour_drinks,2,5,3
12,Sweep_the_floor,13,Mop_the_floor,2,5,3
8,Take_and_use_tableware,14,Wipe_bowls,2,4,2
31,Do_stretching_exercises,20,Check_the_time,2,4,2
3,Take_off_clothes,5,Put_on_clothes,2,3,1
8,Take_and_use_tableware,11,Peel_fruits,2,3,1
10,Stir_drinks,37,Take_medicine,2,3,1
20,Check_the_time,8,Take_and_use_tableware,2,3,1
35,Do_lunges,34,Sit_down,2,3,1
37,Take_medicine,39,Take_body_temperature,2,3,1
2,Comb_hair,1,Brush_teeth,2,2,0
6,Drink_water,12,Sweep_the_floor,2,2,0
7,Eat_food,9,Pour_drinks,2,2,0
7,Eat_food,20,Check_the_time,2,2,0
8,Take_and_use_tableware,32,Stand_up,2,2,0
11,Peel_fruits,6,Drink_water,2,2,0
17,Tap_the_keyboard,15,Wipe_windows_and_tables,2,2,0
19,Make_a_phone_call,5,Put_on_clothes,2,2,0
20,Check_the_time,17,Tap_the_keyboard,2,2,0
