class_id,action_name,top_misclassified_as_class,top_misclassified_as_action,top_misclassified_count,top_misclassified_rate,top_error_source_class,top_error_source_action,top_error_source_count
0,Wash_face,3,Take_off_clothes,1,0.08333333333333333,4,Wipe_hands,3
1,Brush_teeth,38,Massage_oneself,4,0.3333333333333333,2,Comb_hair,2
2,Comb_hair,5,Put_on_clothes,5,0.5555555555555556,7,Eat_food,2
3,Take_off_clothes,5,Put_on_clothes,2,0.18181818181818182,29,Do_squats,6
4,Wipe_hands,0,Wash_face,3,0.2,8,Take_and_use_tableware,2
5,Put_on_clothes,3,Take_off_clothes,4,0.26666666666666666,2,Comb_hair,5
6,Drink_water,37,Take_medicine,4,0.3076923076923077,11,Peel_fruits,2
7,Eat_food,11,Peel_fruits,5,0.15625,19,Make_a_phone_call,1
8,Take_and_use_tableware,24,Use_a_mobile_phone,3,0.21428571428571427,20,Check_the_time,2
9,Pour_drinks,14,Wipe_bowls,3,0.1875,7,Eat_food,2
10,Stir_drinks,9,Pour_drinks,2,0.125,11,Peel_fruits,1
11,Peel_fruits,6,Drink_water,2,0.1111111111111111,7,Eat_food,5
12,Sweep_the_floor,13,Mop_the_floor,2,0.2222222222222222,6,Drink_water,2
13,Mop_the_floor,2,Comb_hair,2,0.3333333333333333,12,Sweep_the_floor,2
14,Wipe_bowls,4,Wipe_hands,2,0.3333333333333333,9,Pour_drinks,3
15,Wipe_windows_and_tables,36,Walk,3,0.3333333333333333,17,Tap_the_keyboard,2
16,Fold_clothes,3,Take_off_clothes,2,0.2222222222222222,5,Put_on_clothes,2
17,Tap_the_keyboard,15,Wipe_windows_and_tables,2,0.11764705882352941,18,Write,5
18,Write,17,Tap_the_keyboard,5,0.45454545454545453,22,Turn_pages,1
19,Make_a_phone_call,5,Put_on_clothes,2,0.25,0,Wash_face,0
20,Check_the_time,8,Take_and_use_tableware,2,0.16666666666666666,39,Take_body_temperature,5
21,Read_documents,11,Peel_fruits,3,0.2,22,Turn_pages,5
22,Turn_pages,21,Read_documents,5,0.5555555555555556,37,Take_medicine,1
23,Listen_to_music_with_headphones,12,Sweep_the_floor,2,0.11764705882352941,7,Eat_food,3
24,Use_a_mobile_phone,11,Peel_fruits,4,0.25,7,Eat_food,3
25,Watch_TV,3,Take_off_clothes,2,0.3333333333333333,0,Wash_face,0
26,Play_games,20,Check_the_time,4,0.3333333333333333,24,Use_a_mobile_phone,3
27,Take_a_selfie,20,Check_the_time,3,0.21428571428571427,38,Massage_oneself,3
28,Jog_in_place,36,Walk,2,0.18181818181818182,16,Fold_clothes,1
29,Do_squats,3,Take_off_clothes,6,0.4,34,Sit_down,1
30,Do_jumping_jacks,0,Wash_face,0,0.0,31,Do_stretching_exercises,5
31,Do_stretching_exercises,30,Do_jumping_jacks,5,0.2777777777777778,3,Take_off_clothes,1
32,Stand_up,0,Wash_face,0,0.0,8,Take_and_use_tableware,2
33,Lie_down,21,Read_documents,3,0.5,0,Wash_face,0
34,Sit_down,29,Do_squats,1,0.03225806451612903,24,Use_a_mobile_phone,3
35,Do_lunges,32,Stand_up,2,0.4,0,Wash_face,0
36,Walk,32,Stand_up,1,0.014084507042253521,15,Wipe_windows_and_tables,3
37,Take_medicine,3,Take_off_clothes,3,0.17647058823529413,6,Drink_water,4
38,Massage_oneself,23,Listen_to_music_with_headphones,3,0.25,1,Brush_teeth,4
39,Take_body_temperature,20,Check_the_time,5,0.3333333333333333,5,Put_on_clothes,2
