class_id,action_name,top_misclassified_as_class,top_misclassified_as_action,top_misclassified_count,top_misclassified_rate,top_error_source_class,top_error_source_action,top_error_source_count
0,Wash_face,0,Wash_face,0,0.0,4,Wipe_hands,4
1,Brush_teeth,2,Comb_hair,2,0.16666666666666666,2,Comb_hair,2
2,Comb_hair,5,Put_on_clothes,3,0.3333333333333333,1,Brush_teeth,2
3,Take_off_clothes,5,Put_on_clothes,3,0.2727272727272727,29,Do_squats,3
4,Wipe_hands,0,Wash_face,4,0.26666666666666666,1,Brush_teeth,2
5,Put_on_clothes,31,Do_stretching_exercises,3,0.2,2,Comb_hair,3
6,Drink_water,12,Sweep_the_floor,2,0.15384615384615385,23,Listen_to_music_with_headphones,5
7,Eat_food,11,Peel_fruits,10,0.3125,19,Make_a_phone_call,2
8,Take_and_use_tableware,14,Wipe_bowls,4,0.2857142857142857,20,Check_the_time,3
9,Pour_drinks,10,Stir_drinks,3,0.1875,10,Stir_drinks,5
10,Stir_drinks,9,Pour_drinks,5,0.3125,11,Peel_fruits,5
11,Peel_fruits,10,Stir_drinks,5,0.2777777777777778,7,Eat_food,10
12,Sweep_the_floor,13,Mop_the_floor,5,0.5555555555555556,6,Drink_water,2
13,Mop_the_floor,39,Take_body_temperature,2,0.3333333333333333,12,Sweep_the_floor,5
14,Wipe_bowls,37,Take_medicine,2,0.3333333333333333,8,Take_and_use_tableware,4
15,Wipe_windows_and_tables,31,Do_stretching_exercises,2,0.2222222222222222,8,Take_and_use_tableware,2
16,Fold_clothes,28,Jog_in_place,3,0.3333333333333333,0,Wash_face,0
17,Tap_the_keyboard,9,Pour_drinks,2,0.11764705882352941,18,Write,3
18,Write,26,Play_games,5,0.45454545454545453,0,Wash_face,0
19,Make_a_phone_call,5,Put_on_clothes,2,0.25,0,Wash_face,0
20,Check_the_time,8,Take_and_use_tableware,3,0.25,31,Do_stretching_exercises,4
21,Read_documents,22,Turn_pages,4,0.26666666666666666,0,Wash_face,0
22,Turn_pages,11,Peel_fruits,2,0.2222222222222222,21,Read_documents,4
23,Listen_to_music_with_headphones,6,Drink_water,5,0.29411764705882354,5,Put_on_clothes,1
24,Use_a_mobile_phone,11,Peel_fruits,6,0.375,26,Play_games,3
25,Watch_TV,6,Drink_water,2,0.3333333333333333,0,Wash_face,0
26,Play_games,10,Stir_drinks,3,0.25,18,Write,5
27,Take_a_selfie,39,Take_body_temperature,3,0.21428571428571427,37,Take_medicine,6
28,Jog_in_place,36,Walk,2,0.18181818181818182,16,Fold_clothes,3
29,Do_squats,3,Take_off_clothes,3,0.2,34,Sit_down,3
30,Do_jumping_jacks,31,Do_stretching_exercises,1,0.16666666666666666,31,Do_stretching_exercises,3
31,Do_stretching_exercises,20,Check_the_time,4,0.2222222222222222,5,Put_on_clothes,3
32,Stand_up,36,Walk,4,0.16666666666666666,8,Take_and_use_tableware,2
33,Lie_down,15,Wipe_windows_and_tables,2,0.3333333333333333,17,Tap_the_keyboard,1
34,Sit_down,29,Do_squats,3,0.0967741935483871,35,Do_lunges,3
35,Do_lunges,34,Sit_down,3,0.6,16,Fold_clothes,1
36,Walk,32,Stand_up,1,0.014084507042253521,32,Stand_up,4
37,Take_medicine,27,Take_a_selfie,6,0.35294117647058826,10,Stir_drinks,3
38,Massage_oneself,27,Take_a_selfie,3,0.25,39,Take_body_temperature,5
39,Take_body_temperature,38,Massage_oneself,5,0.3333333333333333,27,Take_a_selfie,3
