sample_id,split,class_id,action_name,user_id,trial_id,depth_frames,ir_frames,paired_frames,depth_unparsed,ir_unparsed,duplicate_pair_keys,duplicate_timestamps,unreadable_images,complete_pairing,reason
train__c00__user16__1-1-1,train,0,Wash_face,user16,1-1-1,47,47,47,0,0,0,0,0,True,
train__c00__user16__1-1-2,train,0,Wash_face,user16,1-1-2,55,55,55,0,0,0,0,0,True,
train__c00__user16__1-1-3,train,0,Wash_face,user16,1-1-3,22,22,22,0,0,0,0,0,True,
train__c00__user18__7-1-1,train,0,Wash_face,user18,7-1-1,20,20,20,0,0,0,0,0,True,
train__c00__user18__7-1-2,train,0,Wash_face,user18,7-1-2,13,13,13,0,0,0,0,0,True,
train__c00__user18__7-1-3,train,0,Wash_face,user18,7-1-3,3,3,3,0,0,0,0,0,True,
train__c00__user20__4-2-1,train,0,Wash_face,user20,4-2-1,42,42,42,0,0,0,0,0,True,
train__c00__user20__4-2-2,train,0,Wash_face,user20,4-2-2,23,23,23,0,0,0,0,0,True,
train__c00__user20__4-2-3,train,0,Wash_face,user20,4-2-3,34,34,34,0,0,0,0,0,True,
train__c00__user21__1-1-1,train,0,Wash_face,user21,1-1-1,14,14,14,0,0,0,0,0,True,
train__c00__user21__1-1-2,train,0,Wash_face,user21,1-1-2,10,10,10,0,0,0,0,0,True,
train__c00__user21__1-1-3,train,0,Wash_face,user21,1-1-3,5,5,5,0,0,0,0,0,True,
train__c00__user21__4-2-1,train,0,Wash_face,user21,4-2-1,7,7,7,0,0,0,0,0,True,
train__c00__user21__4-2-2,train,0,Wash_face,user21,4-2-2,6,6,6,0,0,0,0,0,True,
train__c00__user21__4-2-3,train,0,Wash_face,user21,4-2-3,9,9,9,0,0,0,0,0,True,
train__c00__user22__1-1-2,train,0,Wash_face,user22,1-1-2,25,25,25,0,0,0,0,0,True,
train__c00__user22__1-1-3,train,0,Wash_face,user22,1-1-3,8,8,8,0,0,0,0,0,True,
train__c00__user22__2-2-1,train,0,Wash_face,user22,2-2-1,17,17,17,0,0,0,0,0,True,
train__c00__user22__2-2-2,train,0,Wash_face,user22,2-2-2,13,13,13,0,0,0,0,0,True,
train__c00__user22__2-2-3,train,0,Wash_face,user22,2-2-3,4,4,4,0,0,0,0,0,True,
train__c00__user5__1-1-1,train,0,Wash_face,user5,1-1-1,40,40,40,0,0,0,0,0,True,
train__c00__user5__1-1-2,train,0,Wash_face,user5,1-1-2,38,38,38,0,0,0,0,0,True,
train__c00__user5__1-1-3,train,0,Wash_face,user5,1-1-3,30,30,30,0,0,0,0,0,True,
train__c00__user6__1-1-1,train,0,Wash_face,user6,1-1-1,47,47,47,0,0,0,0,0,True,
train__c00__user6__1-1-2,train,0,Wash_face,user6,1-1-2,45,45,45,0,0,0,0,0,True,
train__c00__user6__1-1-3,train,0,Wash_face,user6,1-1-3,34,34,34,0,0,0,0,0,True,
train__c00__user8__1-1-1,train,0,Wash_face,user8,1-1-1,26,26,26,0,0,0,0,0,True,
train__c00__user8__1-1-2,train,0,Wash_face,user8,1-1-2,24,24,24,0,0,0,0,0,True,
train__c00__user8__1-1-3,train,0,Wash_face,user8,1-1-3,18,18,18,0,0,0,0,0,True,
train__c00__user8__7-1-1,train,0,Wash_face,user8,7-1-1,25,25,25,0,0,0,0,0,True,
train__c00__user8__7-1-2,train,0,Wash_face,user8,7-1-2,28,28,28,0,0,0,0,0,True,
train__c00__user8__7-1-3,train,0,Wash_face,user8,7-1-3,18,18,18,0,0,0,0,0,True,
train__c01__user16__1-1-1,train,1,Brush_teeth,user16,1-1-1,32,32,32,0,0,0,0,0,True,
train__c01__user16__1-1-2,train,1,Brush_teeth,user16,1-1-2,58,58,58,0,0,0,0,0,True,
train__c01__user16__1-1-3,train,1,Brush_teeth,user16,1-1-3,19,19,19,0,0,0,0,0,True,
train__c01__user18__1-1-1,train,1,Brush_teeth,user18,1-1-1,41,41,41,0,0,0,0,0,True,
train__c01__user18__1-1-2,train,1,Brush_teeth,user18,1-1-2,35,35,35,0,0,0,0,0,True,
train__c01__user18__1-1-3,train,1,Brush_teeth,user18,1-1-3,31,31,31,0,0,0,0,0,True,
train__c01__user18__7-1-1,train,1,Brush_teeth,user18,7-1-1,23,23,23,0,0,0,0,0,True,
train__c01__user18__7-1-2,train,1,Brush_teeth,user18,7-1-2,13,13,13,0,0,0,0,0,True,
train__c01__user18__7-1-3,train,1,Brush_teeth,user18,7-1-3,5,5,5,0,0,0,0,0,True,
train__c01__user19__1-1-1,train,1,Brush_teeth,user19,1-1-1,18,18,18,0,0,0,0,0,True,
train__c01__user19__1-1-2,train,1,Brush_teeth,user19,1-1-2,7,7,7,0,0,0,0,0,True,
train__c01__user19__1-1-3,train,1,Brush_teeth,user19,1-1-3,14,14,14,0,0,0,0,0,True,
train__c01__user20__4-2-1,train,1,Brush_teeth,user20,4-2-1,22,22,22,0,0,0,0,0,True,
train__c01__user20__4-2-2,train,1,Brush_teeth,user20,4-2-2,12,12,12,0,0,0,0,0,True,
train__c01__user20__4-2-3,train,1,Brush_teeth,user20,4-2-3,20,20,20,0,0,0,0,0,True,
train__c01__user21__4-2-1,train,1,Brush_teeth,user21,4-2-1,15,15,15,0,0,0,0,0,True,
train__c01__user21__4-2-2,train,1,Brush_teeth,user21,4-2-2,11,11,11,0,0,0,0,0,True,
train__c01__user21__4-2-3,train,1,Brush_teeth,user21,4-2-3,10,10,10,0,0,0,0,0,True,
train__c01__user22__1-1-2,train,1,Brush_teeth,user22,1-1-2,16,16,16,0,0,0,0,0,True,
train__c01__user22__1-1-3,train,1,Brush_teeth,user22,1-1-3,8,8,8,0,0,0,0,0,True,
train__c01__user22__2-2-1,train,1,Brush_teeth,user22,2-2-1,18,18,18,0,0,0,0,0,True,
train__c01__user22__2-2-2,train,1,Brush_teeth,user22,2-2-2,10,10,10,0,0,0,0,0,True,
train__c01__user22__2-2-3,train,1,Brush_teeth,user22,2-2-3,7,7,7,0,0,0,0,0,True,
train__c01__user6__1-1-1,train,1,Brush_teeth,user6,1-1-1,72,72,72,0,0,0,0,0,True,
train__c01__user6__1-1-2,train,1,Brush_teeth,user6,1-1-2,76,76,76,0,0,0,0,0,True,
train__c01__user6__1-1-3,train,1,Brush_teeth,user6,1-1-3,28,28,28,0,0,0,0,0,True,
train__c01__user7__1-1-1,train,1,Brush_teeth,user7,1-1-1,36,36,36,0,0,0,0,0,True,
train__c01__user7__1-1-2,train,1,Brush_teeth,user7,1-1-2,18,18,18,0,0,0,0,0,True,
train__c01__user7__1-1-3,train,1,Brush_teeth,user7,1-1-3,21,21,21,0,0,0,0,0,True,
train__c01__user8__1-1-1,train,1,Brush_teeth,user8,1-1-1,26,26,26,0,0,0,0,0,True,
train__c01__user8__1-1-2,train,1,Brush_teeth,user8,1-1-2,46,46,46,0,0,0,0,0,True,
train__c01__user8__1-1-3,train,1,Brush_teeth,user8,1-1-3,40,40,40,0,0,0,0,0,True,
train__c01__user8__7-1-1,train,1,Brush_teeth,user8,7-1-1,13,13,13,0,0,0,0,0,True,
train__c01__user8__7-1-2,train,1,Brush_teeth,user8,7-1-2,16,16,16,0,0,0,0,0,True,
train__c01__user8__7-1-3,train,1,Brush_teeth,user8,7-1-3,12,12,12,0,0,0,0,0,True,
train__c01__user9__1-1-1,train,1,Brush_teeth,user9,1-1-1,25,25,25,0,0,0,0,0,True,
train__c02__user16__2-2-1,train,2,Comb_hair,user16,2-2-1,32,32,32,0,0,0,0,0,True,
train__c02__user16__2-2-2,train,2,Comb_hair,user16,2-2-2,45,45,45,0,0,0,0,0,True,
train__c02__user16__2-2-3,train,2,Comb_hair,user16,2-2-3,17,17,17,0,0,0,0,0,True,
train__c02__user18__7-1-1,train,2,Comb_hair,user18,7-1-1,24,24,24,0,0,0,0,0,True,
train__c02__user18__7-1-2,train,2,Comb_hair,user18,7-1-2,13,13,13,0,0,0,0,0,True,
train__c02__user18__7-1-3,train,2,Comb_hair,user18,7-1-3,6,6,6,0,0,0,0,0,True,
train__c02__user19__1-1-1,train,2,Comb_hair,user19,1-1-1,11,11,11,0,0,0,0,0,True,
train__c02__user19__1-1-2,train,2,Comb_hair,user19,1-1-2,10,10,10,0,0,0,0,0,True,
train__c02__user19__1-1-3,train,2,Comb_hair,user19,1-1-3,13,13,13,0,0,0,0,0,True,
train__c02__user1__1-1-1,train,2,Comb_hair,user1,1-1-1,56,56,56,0,0,0,0,0,True,
train__c02__user1__1-1-2,train,2,Comb_hair,user1,1-1-2,53,53,53,0,0,0,0,0,True,
train__c02__user1__1-1-3,train,2,Comb_hair,user1,1-1-3,16,16,16,0,0,0,0,0,True,
train__c02__user20__1-1-1,train,2,Comb_hair,user20,1-1-1,25,25,25,0,0,0,0,0,True,
train__c02__user20__1-1-2,train,2,Comb_hair,user20,1-1-2,20,20,20,0,0,0,0,0,True,
train__c02__user20__1-1-3,train,2,Comb_hair,user20,1-1-3,25,25,25,0,0,0,0,0,True,
train__c02__user20__4-2-1,train,2,Comb_hair,user20,4-2-1,13,13,13,0,0,0,0,0,True,
train__c02__user20__4-2-2,train,2,Comb_hair,user20,4-2-2,16,16,16,0,0,0,0,0,True,
train__c02__user20__4-2-3,train,2,Comb_hair,user20,4-2-3,18,18,18,0,0,0,0,0,True,
train__c02__user21__4-2-1,train,2,Comb_hair,user21,4-2-1,16,16,16,0,0,0,0,0,True,
train__c02__user21__4-2-2,train,2,Comb_hair,user21,4-2-2,11,11,11,0,0,0,0,0,True,
train__c02__user21__4-2-3,train,2,Comb_hair,user21,4-2-3,7,7,7,0,0,0,0,0,True,
train__c02__user22__1-2-1,train,2,Comb_hair,user22,1-2-1,17,17,17,0,0,0,0,0,True,
train__c02__user22__1-2-2,train,2,Comb_hair,user22,1-2-2,6,6,6,0,0,0,0,0,True,
train__c02__user22__1-2-3,train,2,Comb_hair,user22,1-2-3,7,7,7,0,0,0,0,0,True,
train__c02__user22__2-2-1,train,2,Comb_hair,user22,2-2-1,13,13,13,0,0,0,0,0,True,
train__c02__user22__2-2-2,train,2,Comb_hair,user22,2-2-2,17,17,17,0,0,0,0,0,True,
train__c02__user22__2-2-3,train,2,Comb_hair,user22,2-2-3,8,8,8,0,0,0,0,0,True,
train__c02__user3__1-2-1,train,2,Comb_hair,user3,1-2-1,12,12,12,0,0,0,0,0,True,
train__c02__user3__1-2-3,train,2,Comb_hair,user3,1-2-3,5,5,5,0,0,0,0,0,True,
train__c02__user5__1-1-1,train,2,Comb_hair,user5,1-1-1,66,66,66,0,0,0,0,0,True,
train__c02__user5__1-1-2,train,2,Comb_hair,user5,1-1-2,79,79,79,0,0,0,0,0,True,
train__c02__user5__1-1-3,train,2,Comb_hair,user5,1-1-3,24,24,24,0,0,0,0,0,True,
train__c02__user5__7-1-1,train,2,Comb_hair,user5,7-1-1,70,70,70,0,0,0,0,0,True,
train__c02__user5__7-1-2,train,2,Comb_hair,user5,7-1-2,62,62,62,0,0,0,0,0,True,
train__c02__user5__7-1-3,train,2,Comb_hair,user5,7-1-3,59,59,59,0,0,0,0,0,True,
train__c02__user6__2-2-1,train,2,Comb_hair,user6,2-2-1,24,24,24,0,0,0,0,0,True,
train__c02__user6__2-2-2,train,2,Comb_hair,user6,2-2-2,37,37,37,0,0,0,0,0,True,
train__c02__user7__1-1-1,train,2,Comb_hair,user7,1-1-1,36,36,36,0,0,0,0,0,True,
train__c02__user7__1-1-2,train,2,Comb_hair,user7,1-1-2,14,14,14,0,0,0,0,0,True,
train__c02__user7__1-1-3,train,2,Comb_hair,user7,1-1-3,33,33,33,0,0,0,0,0,True,
train__c02__user8__7-1-2,train,2,Comb_hair,user8,7-1-2,8,8,8,0,0,0,0,0,True,
train__c02__user8__7-1-3,train,2,Comb_hair,user8,7-1-3,6,6,6,0,0,0,0,0,True,
train__c02__user9__1-1-1,train,2,Comb_hair,user9,1-1-1,19,19,19,0,0,0,0,0,True,
train__c02__user9__1-1-2,train,2,Comb_hair,user9,1-1-2,13,13,13,0,0,0,0,0,True,
train__c02__user9__1-1-3,train,2,Comb_hair,user9,1-1-3,10,10,10,0,0,0,0,0,True,
train__c03__user18__6-1-1,train,3,Take_off_clothes,user18,6-1-1,35,35,35,0,0,0,0,0,True,
train__c03__user18__6-1-2,train,3,Take_off_clothes,user18,6-1-2,11,11,11,0,0,0,0,0,True,
train__c03__user18__6-1-3,train,3,Take_off_clothes,user18,6-1-3,22,22,22,0,0,0,0,0,True,
train__c03__user18__7-1-1,train,3,Take_off_clothes,user18,7-1-1,16,16,16,0,0,0,0,0,True,
train__c03__user18__7-1-2,train,3,Take_off_clothes,user18,7-1-2,10,10,10,0,0,0,0,0,True,
train__c03__user18__7-1-3,train,3,Take_off_clothes,user18,7-1-3,11,11,11,0,0,0,0,0,True,
train__c03__user19__3-1-1,train,3,Take_off_clothes,user19,3-1-1,49,49,49,0,0,0,0,0,True,
train__c03__user19__3-1-2,train,3,Take_off_clothes,user19,3-1-2,35,35,35,0,0,0,0,0,True,
train__c03__user19__3-1-3,train,3,Take_off_clothes,user19,3-1-3,20,20,20,0,0,0,0,0,True,
train__c03__user22__6-1-1,train,3,Take_off_clothes,user22,6-1-1,32,32,32,0,0,0,0,0,True,
train__c03__user22__6-1-2,train,3,Take_off_clothes,user22,6-1-2,27,27,27,0,0,0,0,0,True,
