difficulty_rank,epoch,class_id,action_name,train_support,val_support,precision,recall,f1,predicted_count,correct_count,true_probability_mean,true_rank_mean,true_rank_median,top_confused_class_id,top_confused_action,top_confusion_count,correct_confidence_mean,wrong_confidence_mean
1,9,2,Comb_hair,45,9,0.0,0.0,0.0,6,0,0.05587944760918617,6.0,6.0,5,Put_on_clothes,5,,0.47702059149742126
2,9,6,Drink_water,107,13,0.0,0.0,0.0,3,0,0.05481954663991928,9.307692307692308,6.0,37,Take_medicine,4,,0.49245113134384155
3,9,8,Take_and_use_tableware,82,14,0.0,0.0,0.0,7,0,0.050789255648851395,10.928571428571429,8.0,24,Use_a_mobile_phone,3,,0.5537669062614441
4,9,14,Wipe_bowls,29,6,0.0,0.0,0.0,7,0,0.026528889313340187,6.666666666666667,5.0,4,Wipe_hands,2,,0.542590320110321
5,9,18,Write,27,11,0.0,0.0,0.0,1,0,0.060060273855924606,3.909090909090909,3.0,17,Tap_the_keyboard,5,,0.6189685463905334
6,9,19,Make_a_phone_call,35,8,0.0,0.0,0.0,0,0,0.026456914842128754,11.25,7.5,5,Put_on_clothes,2,,0.5522243976593018
7,9,25,Watch_TV,6,6,0.0,0.0,0.0,0,0,0.004703817423433065,16.166666666666668,15.5,3,Take_off_clothes,2,,0.44974276423454285
8,9,35,Do_lunges,21,5,0.0,0.0,0.0,0,0,0.00876984465867281,18.0,18.0,32,Stand_up,2,,0.5589898228645325
9,9,37,Take_medicine,51,17,0.1,0.058823529411764705,0.07407407407407407,10,1,0.05950739234685898,12.0,10.0,3,Take_off_clothes,3,0.45096346735954285,0.36217695474624634
10,9,39,Take_body_temperature,40,15,0.09090909090909091,0.06666666666666667,0.07692307692307693,11,1,0.09882339090108871,4.933333333333334,4.0,20,Check_the_time,5,0.33221155405044556,0.5098812580108643
11,9,24,Use_a_mobile_phone,32,16,0.1111111111111111,0.0625,0.08,9,1,0.0673142597079277,7.4375,4.0,11,Peel_fruits,4,0.29080572724342346,0.5486012101173401
12,9,38,Massage_oneself,50,12,0.1111111111111111,0.16666666666666666,0.13333333333333333,18,2,0.09945950657129288,6.666666666666667,6.0,23,Listen_to_music_with_headphones,3,0.42799869179725647,0.6141238808631897
13,9,3,Take_off_clothes,30,11,0.10714285714285714,0.2727272727272727,0.15384615384615385,28,3,0.21007774770259857,3.909090909090909,2.0,5,Put_on_clothes,2,0.4870378077030182,0.5109685659408569
14,9,20,Check_the_time,82,12,0.125,0.3333333333333333,0.18181818181818182,32,4,0.24286629259586334,3.4166666666666665,2.0,8,Take_and_use_tableware,2,0.5632690787315369,0.6158574223518372
15,9,22,Turn_pages,50,9,0.5,0.1111111111111111,0.18181818181818182,2,1,0.21246717870235443,2.6666666666666665,3.0,21,Read_documents,5,0.2670164108276367,0.3525436222553253
16,9,10,Stir_drinks,100,16,0.6666666666666666,0.125,0.21052631578947367,3,2,0.08442685753107071,6.0625,4.5,9,Pour_drinks,2,0.30370229482650757,0.47977858781814575
17,9,13,Mop_the_floor,49,6,0.3333333333333333,0.16666666666666666,0.2222222222222222,3,1,0.17027044296264648,9.0,7.5,2,Comb_hair,2,0.6252577304840088,0.43992167711257935
18,9,16,Fold_clothes,12,9,0.2222222222222222,0.2222222222222222,0.2222222222222222,9,2,0.20894451439380646,5.222222222222222,2.0,3,Take_off_clothes,2,0.5071082711219788,0.4013705253601074
19,9,5,Put_on_clothes,39,15,0.22727272727272727,0.3333333333333333,0.2702702702702703,22,5,0.34025248885154724,2.3333333333333335,2.0,3,Take_off_clothes,4,0.6361349821090698,0.4237249493598938
20,9,27,Take_a_selfie,27,14,0.2777777777777778,0.35714285714285715,0.3125,18,5,0.23477230966091156,8.142857142857142,4.0,20,Check_the_time,3,0.5879591703414917,0.46520212292671204
21,9,26,Play_games,28,12,0.3333333333333333,0.3333333333333333,0.3333333333333333,12,4,0.22168231010437012,9.666666666666666,8.5,20,Check_the_time,4,0.5864639282226562,0.41132086515426636
22,9,7,Eat_food,122,32,0.875,0.21875,0.35,8,7,0.20726704597473145,9.125,4.0,11,Peel_fruits,5,0.7943701148033142,0.4945220947265625
