difficulty_rank,epoch,class_id,action_name,train_support,val_support,precision,recall,f1,predicted_count,correct_count,true_probability_mean,true_rank_mean,true_rank_median,top_confused_class_id,top_confused_action,top_confusion_count,correct_confidence_mean,wrong_confidence_mean
1,8,8,Take_and_use_tableware,82,14,0.0,0.0,0.0,14,0,0.11203248053789139,6.857142857142857,3.0,14,Wipe_bowls,4,,0.45228657126426697
2,8,18,Write,27,11,0.0,0.0,0.0,0,0,0.023434115573763847,7.181818181818182,6.0,26,Play_games,5,,0.5941569805145264
3,8,19,Make_a_phone_call,35,8,0.0,0.0,0.0,0,0,0.03345923870801926,13.25,11.0,5,Put_on_clothes,2,,0.5589849948883057
4,8,25,Watch_TV,6,6,0.0,0.0,0.0,0,0,0.0076026651076972485,13.833333333333334,14.0,6,Drink_water,2,,0.4358460605144501
5,8,35,Do_lunges,21,5,0.0,0.0,0.0,1,0,0.016018712893128395,15.2,20.0,34,Sit_down,3,,0.6547398567199707
6,8,37,Take_medicine,51,17,0.08333333333333333,0.058823529411764705,0.06896551724137931,12,1,0.09390407800674438,6.176470588235294,4.0,27,Take_a_selfie,6,0.328941285610199,0.49401426315307617
7,8,24,Use_a_mobile_phone,32,16,0.125,0.0625,0.08333333333333333,8,1,0.0878043919801712,5.75,6.5,11,Peel_fruits,6,0.4631228446960449,0.5035041570663452
8,8,3,Take_off_clothes,30,11,0.1111111111111111,0.09090909090909091,0.1,9,1,0.11319655925035477,5.818181818181818,5.0,5,Put_on_clothes,3,0.20736627280712128,0.5266222357749939
9,8,20,Check_the_time,82,12,0.08333333333333333,0.16666666666666666,0.1111111111111111,24,2,0.18443793058395386,5.5,4.0,8,Take_and_use_tableware,3,0.6838209629058838,0.43988561630249023
10,8,12,Sweep_the_floor,50,9,0.25,0.1111111111111111,0.15384615384615385,4,1,0.2125464528799057,4.888888888888889,2.0,13,Mop_the_floor,5,0.2541968524456024,0.5565087199211121
11,8,14,Wipe_bowls,29,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,6,1,0.13356314599514008,6.666666666666667,4.5,37,Take_medicine,2,0.4073907732963562,0.4639073312282562
12,8,39,Take_body_temperature,40,15,0.1875,0.2,0.1935483870967742,16,3,0.16835175454616547,3.2666666666666666,4.0,38,Massage_oneself,5,0.4445476531982422,0.38346004486083984
13,8,16,Fold_clothes,12,9,1.0,0.1111111111111111,0.2,1,1,0.11865632981061935,8.11111111111111,6.0,28,Jog_in_place,3,0.6545126438140869,0.45398494601249695
14,8,11,Peel_fruits,88,18,0.17142857142857143,0.3333333333333333,0.22641509433962265,35,6,0.3394036293029785,4.944444444444445,2.5,10,Stir_drinks,5,0.8333485722541809,0.5617255568504333
15,8,23,Listen_to_music_with_headphones,58,17,0.3333333333333333,0.17647058823529413,0.23076923076923078,9,3,0.138219952583313,8.235294117647058,8.0,6,Drink_water,5,0.6426680088043213,0.4190652668476105
16,8,10,Stir_drinks,100,16,0.23529411764705882,0.25,0.24242424242424243,17,4,0.24714477360248566,4.25,2.5,9,Pour_drinks,5,0.5831813812255859,0.4194311201572418
17,8,26,Play_games,28,12,0.2727272727272727,0.25,0.2608695652173913,11,3,0.19061841070652008,8.166666666666666,2.5,10,Stir_drinks,3,0.49959596991539,0.33928167819976807
18,8,38,Massage_oneself,50,12,0.2727272727272727,0.25,0.2608695652173913,11,3,0.11562612652778625,9.333333333333334,10.0,27,Take_a_selfie,3,0.42721521854400635,0.5509855151176453
19,8,27,Take_a_selfie,27,14,0.25,0.35714285714285715,0.29411764705882354,20,5,0.25910452008247375,8.285714285714286,4.5,39,Take_body_temperature,3,0.6687816381454468,0.38049787282943726
20,8,2,Comb_hair,45,9,0.2727272727272727,0.3333333333333333,0.3,11,3,0.19831274449825287,2.6666666666666665,3.0,5,Put_on_clothes,3,0.4011061489582062,0.5244012475013733
21,8,22,Turn_pages,50,9,0.3,0.3333333333333333,0.3157894736842105,10,3,0.13602840900421143,6.333333333333333,5.0,11,Peel_fruits,2,0.33631977438926697,0.5968175530433655
22,8,5,Put_on_clothes,39,15,0.3333333333333333,0.3333333333333333,0.3333333333333333,15,5,0.20002609491348267,4.866666666666666,3.0,31,Do_stretching_exercises,3,0.5054301023483276,0.4853638708591461
23,8,13,Mop_the_floor,49,6,0.25,0.5,0.3333333333333333,12,3,0.3260055184364319,8.833333333333334,5.5,39,Take_body_temperature,2,0.641513466835022,0.28922370076179504
24,8,21,Read_documents,56,15,1.0,0.2,0.3333333333333333,3,3,0.17182902991771698,8.4,2.0,22,Turn_pages,4,0.3584059774875641,0.49622103571891785
25,8,15,Wipe_windows_and_tables,43,9,0.25,0.6666666666666666,0.36363636363636365,24,6,0.5355086922645569,6.555555555555555,1.0,31,Do_stretching_exercises,2,0.8019301891326904,0.513383686542511
26,8,6,Drink_water,107,13,0.3333333333333333,0.5384615384615384,0.4117647058823529,21,7,0.441877156496048,4.538461538461538,1.0,12,Sweep_the_floor,2,0.7501935958862305,0.3992241621017456
27,8,7,Eat_food,122,32,0.5238095238095238,0.34375,0.41509433962264153,21,11,0.26973941922187805,5.09375,4.0,11,Peel_fruits,10,0.6842519044876099,0.4401009976863861
28,8,31,Do_stretching_exercises,67,18,0.375,0.5,0.42857142857142855,24,9,0.37718096375465393,6.277777777777778,1.5,20,Check_the_time,4,0.6301097869873047,0.40746214985847473
29,8,9,Pour_drinks,114,16,0.4444444444444444,0.5,0.47058823529411764,18,8,0.3934360146522522,2.875,1.5,10,Stir_drinks,3,0.5926034450531006,0.5051146745681763
30,8,17,Tap_the_keyboard,69,17,0.42857142857142855,0.5294117647058824,0.47368421052631576,21,9,0.3895554542541504,5.294117647058823,1.0,9,Pour_drinks,2,0.6908631920814514,0.5113916993141174
31,8,33,Lie_down,27,6,0.6,0.5,0.5454545454545454,5,3,0.4651014506816864,4.5,3.5,15,Wipe_windows_and_tables,2,0.8955749869346619,0.36622658371925354
32,8,4,Wipe_hands,55,15,0.5714285714285714,0.5333333333333333,0.5517241379310345,14,8,0.3654972314834595,2.4,1.0,0,Wash_face,4,0.6320242285728455,0.6978780627250671
33,8,29,Do_squats,62,15,0.7,0.4666666666666667,0.56,10,7,0.42700397968292236,4.533333333333333,2.0,3,Take_off_clothes,3,0.8476132154464722,0.4042552411556244
34,8,1,Brush_teeth,36,12,0.6666666666666666,0.5,0.5714285714285714,9,6,0.3577028214931488,2.3333333333333335,1.5,2,Comb_hair,2,0.5124256014823914,0.42058393359184265
35,8,28,Jog_in_place,26,11,0.5294117647058824,0.8181818181818182,0.6428571428571429,17,9,0.4941370189189911,1.2727272727272727,1.0,36,Walk,2,0.5772517323493958,0.46370744705200195
36,8,30,Do_jumping_jacks,38,6,0.5555555555555556,0.8333333333333334,0.6666666666666666,9,5,0.6653679013252258,1.1666666666666667,1.0,31,Do_stretching_exercises,1,0.7249414324760437,0.48685866594314575
37,8,32,Stand_up,60,24,0.7619047619047619,0.6666666666666666,0.7111111111111111,21,16,0.5263571739196777,1.7083333333333333,1.0,36,Walk,4,0.7018738389015198,0.5414698123931885
38,8,34,Sit_down,115,31,0.75,0.7741935483870968,0.7619047619047619,32,24,0.7765748500823975,1.3225806451612903,1.0,29,Do_squats,3,0.9394606947898865,0.669188916683197
39,8,0,Wash_face,32,12,0.75,1.0,0.8571428571428571,16,12,0.8618597388267517,1.0,1.0,-1,,0,0.8618597388267517,
40,8,36,Walk,260,71,0.8860759493670886,0.9859154929577465,0.9333333333333333,79,70,0.9845730662345886,1.0140845070422535,1.0,32,Stand_up,1,0.9975792169570923,0.8386445045471191
