sample_id,split,class_id,action_name,user_id,trial_id,depth_frames,ir_frames,paired_frames,depth_duplicate_keys,ir_duplicate_keys,depth_unparsed,ir_unparsed,complete_pairing,reason
train__c06__user16__1-2-1,train,6,Drink_water,user16,1-2-1,25,25,25,0,0,0,0,True,
train__c06__user16__1-2-2,train,6,Drink_water,user16,1-2-2,29,29,29,0,0,0,0,True,
train__c06__user16__1-2-3,train,6,Drink_water,user16,1-2-3,20,20,20,0,0,0,0,True,
train__c06__user16__3-2-1,train,6,Drink_water,user16,3-2-1,31,31,31,0,0,0,0,True,
train__c06__user16__3-2-2,train,6,Drink_water,user16,3-2-2,25,25,25,0,0,0,0,True,
train__c06__user16__3-2-3,train,6,Drink_water,user16,3-2-3,13,13,13,0,0,0,0,True,
train__c06__user16__5-3-1,train,6,Drink_water,user16,5-3-1,138,138,138,0,0,0,0,True,
train__c06__user16__5-3-2,train,6,Drink_water,user16,5-3-2,78,78,78,0,0,0,0,True,
train__c06__user16__5-3-3,train,6,Drink_water,user16,5-3-3,32,32,32,0,0,0,0,True,
train__c06__user16__6-2-1,train,6,Drink_water,user16,6-2-1,16,16,16,0,0,0,0,True,
train__c06__user16__6-2-2,train,6,Drink_water,user16,6-2-2,13,13,13,0,0,0,0,True,
train__c06__user16__6-2-3,train,6,Drink_water,user16,6-2-3,19,19,19,0,0,0,0,True,
train__c06__user18__6-2-1,train,6,Drink_water,user18,6-2-1,9,9,9,0,0,0,0,True,
train__c06__user18__6-2-3,train,6,Drink_water,user18,6-2-3,5,5,5,0,0,0,0,True,
train__c06__user19__3-2-1,train,6,Drink_water,user19,3-2-1,13,13,13,0,0,0,0,True,
train__c06__user19__3-2-2,train,6,Drink_water,user19,3-2-2,11,11,11,0,0,0,0,True,
train__c06__user19__3-2-3,train,6,Drink_water,user19,3-2-3,17,17,17,0,0,0,0,True,
train__c06__user19__7-2-1,train,6,Drink_water,user19,7-2-1,16,16,16,0,0,0,0,True,
train__c06__user19__7-2-2,train,6,Drink_water,user19,7-2-2,20,20,20,0,0,0,0,True,
train__c06__user19__7-2-3,train,6,Drink_water,user19,7-2-3,20,20,20,0,0,0,0,True,
train__c06__user1__4-1-1,train,6,Drink_water,user1,4-1-1,61,61,61,0,0,0,0,True,
train__c06__user1__4-1-2,train,6,Drink_water,user1,4-1-2,47,47,47,0,0,0,0,True,
train__c06__user1__4-1-3,train,6,Drink_water,user1,4-1-3,22,22,22,0,0,0,0,True,
train__c06__user1__5-1-1,train,6,Drink_water,user1,5-1-1,34,34,34,0,0,0,0,True,
train__c06__user1__5-1-2,train,6,Drink_water,user1,5-1-2,29,29,29,0,0,0,0,True,
train__c06__user1__5-1-3,train,6,Drink_water,user1,5-1-3,15,15,15,0,0,0,0,True,
train__c06__user20__2-1-1,train,6,Drink_water,user20,2-1-1,21,21,21,0,0,0,0,True,
train__c06__user20__2-1-2,train,6,Drink_water,user20,2-1-2,30,30,30,0,0,0,0,True,
train__c06__user20__2-1-3,train,6,Drink_water,user20,2-1-3,10,10,10,0,0,0,0,True,
train__c06__user20__4-1-1,train,6,Drink_water,user20,4-1-1,30,30,30,0,0,0,0,True,
train__c06__user20__4-1-2,train,6,Drink_water,user20,4-1-2,10,10,10,0,0,0,0,True,
train__c06__user20__4-1-3,train,6,Drink_water,user20,4-1-3,15,15,15,0,0,0,0,True,
train__c06__user21__6-2-1,train,6,Drink_water,user21,6-2-1,26,26,26,0,0,0,0,True,
train__c06__user21__6-2-2,train,6,Drink_water,user21,6-2-2,28,28,28,0,0,0,0,True,
train__c06__user21__6-2-3,train,6,Drink_water,user21,6-2-3,10,10,10,0,0,0,0,True,
train__c06__user21__7-1-1,train,6,Drink_water,user21,7-1-1,16,16,16,0,0,0,0,True,
train__c06__user21__7-1-2,train,6,Drink_water,user21,7-1-2,11,11,11,0,0,0,0,True,
train__c06__user21__7-1-3,train,6,Drink_water,user21,7-1-3,19,19,19,0,0,0,0,True,
train__c06__user22__2-1-1,train,6,Drink_water,user22,2-1-1,32,32,32,0,0,0,0,True,
train__c06__user22__2-1-2,train,6,Drink_water,user22,2-1-2,20,20,20,0,0,0,0,True,
train__c06__user22__2-1-3,train,6,Drink_water,user22,2-1-3,12,12,12,0,0,0,0,True,
train__c06__user22__4-3-1,train,6,Drink_water,user22,4-3-1,16,16,16,0,0,0,0,True,
train__c06__user22__4-3-2,train,6,Drink_water,user22,4-3-2,14,14,14,0,0,0,0,True,
train__c06__user22__4-3-3,train,6,Drink_water,user22,4-3-3,24,24,24,0,0,0,0,True,
train__c06__user22__6-2-1,train,6,Drink_water,user22,6-2-1,23,23,23,0,0,0,0,True,
train__c06__user22__6-2-2,train,6,Drink_water,user22,6-2-2,15,15,15,0,0,0,0,True,
train__c06__user22__6-2-3,train,6,Drink_water,user22,6-2-3,14,14,14,0,0,0,0,True,
train__c06__user2__1-2-1,train,6,Drink_water,user2,1-2-1,30,30,30,0,0,0,0,True,
train__c06__user2__1-2-2,train,6,Drink_water,user2,1-2-2,24,24,24,0,0,0,0,True,
train__c06__user2__1-2-3,train,6,Drink_water,user2,1-2-3,18,18,18,0,0,0,0,True,
train__c06__user2__2-1-1,train,6,Drink_water,user2,2-1-1,15,15,15,0,0,0,0,True,
train__c06__user2__2-1-2,train,6,Drink_water,user2,2-1-2,19,19,19,0,0,0,0,True,
train__c06__user2__2-1-3,train,6,Drink_water,user2,2-1-3,19,19,19,0,0,0,0,True,
train__c06__user2__2-2-1,train,6,Drink_water,user2,2-2-1,40,40,40,0,0,0,0,True,
train__c06__user2__2-2-2,train,6,Drink_water,user2,2-2-2,24,24,24,0,0,0,0,True,
train__c06__user2__2-2-3,train,6,Drink_water,user2,2-2-3,16,16,16,0,0,0,0,True,
train__c06__user2__4-2-1,train,6,Drink_water,user2,4-2-1,14,14,14,0,0,0,0,True,
train__c06__user2__4-2-2,train,6,Drink_water,user2,4-2-2,9,9,9,0,0,0,0,True,
train__c06__user2__4-2-3,train,6,Drink_water,user2,4-2-3,10,10,10,0,0,0,0,True,
train__c06__user3__1-2-1,train,6,Drink_water,user3,1-2-1,20,20,20,0,0,0,0,True,
train__c06__user3__1-2-2,train,6,Drink_water,user3,1-2-2,20,20,20,0,0,0,0,True,
train__c06__user3__1-2-3,train,6,Drink_water,user3,1-2-3,8,8,8,0,0,0,0,True,
train__c06__user3__4-1-1,train,6,Drink_water,user3,4-1-1,22,22,22,0,0,0,0,True,
train__c06__user3__4-1-2,train,6,Drink_water,user3,4-1-2,34,34,34,0,0,0,0,True,
train__c06__user3__4-1-3,train,6,Drink_water,user3,4-1-3,13,13,13,0,0,0,0,True,
train__c06__user3__5-1-1,train,6,Drink_water,user3,5-1-1,18,18,18,0,0,0,0,True,
train__c06__user3__5-1-2,train,6,Drink_water,user3,5-1-2,11,11,11,0,0,0,0,True,
train__c06__user3__5-1-3,train,6,Drink_water,user3,5-1-3,18,18,18,0,0,0,0,True,
train__c06__user5__1-2-1,train,6,Drink_water,user5,1-2-1,26,26,26,0,0,0,0,True,
train__c06__user5__1-2-2,train,6,Drink_water,user5,1-2-2,28,28,28,0,0,0,0,True,
train__c06__user5__1-2-3,train,6,Drink_water,user5,1-2-3,20,20,20,0,0,0,0,True,
train__c06__user5__2-1-1,train,6,Drink_water,user5,2-1-1,75,75,75,0,0,0,0,True,
train__c06__user5__2-1-2,train,6,Drink_water,user5,2-1-2,61,61,61,0,0,0,0,True,
train__c06__user5__2-1-3,train,6,Drink_water,user5,2-1-3,47,47,47,0,0,0,0,True,
train__c06__user5__3-2-1,train,6,Drink_water,user5,3-2-1,33,33,33,0,0,0,0,True,
train__c06__user5__3-2-2,train,6,Drink_water,user5,3-2-2,17,17,17,0,0,0,0,True,
train__c06__user5__3-2-3,train,6,Drink_water,user5,3-2-3,24,24,24,0,0,0,0,True,
train__c06__user5__6-2-1,train,6,Drink_water,user5,6-2-1,38,38,38,0,0,0,0,True,
train__c06__user5__6-2-2,train,6,Drink_water,user5,6-2-2,71,71,71,0,0,0,0,True,
train__c06__user5__6-2-3,train,6,Drink_water,user5,6-2-3,26,26,26,0,0,0,0,True,
train__c06__user5__7-2-1,train,6,Drink_water,user5,7-2-1,53,53,53,0,0,0,0,True,
