expert_label,original_class_id,action_name,precision_depth_only,recall_depth_only,f1_depth_only,support,precision_depth_ir,recall_depth_ir,f1_depth_ir,masked_f1,masked_recall,shuffled_f1,shuffled_recall,f1_delta_depth_ir_minus_depth_only,recall_delta_depth_ir_minus_depth_only
0,6,Drink_water,0.5454545454545454,0.4615384615384615,0.5,13,0.3333333333333333,0.3846153846153846,0.3571428571428571,0.3,0.2307692307692307,0.1052631578947368,0.0769230769230769,-0.1428571428571429,-0.07692307692307693
1,7,Eat_food,0.5833333333333334,0.4375,0.5,32,0.7058823529411765,0.375,0.4897959183673469,0.3925233644859813,0.65625,0.196078431372549,0.15625,-0.010204081632653073,-0.0625
2,10,Stir_drinks,0.3076923076923077,1.0,0.4705882352941176,16,0.75,0.5625,0.6428571428571429,0.3636363636363636,0.25,0.4615384615384615,0.375,0.17226890756302532,-0.4375
3,14,Wipe_bowls,0.0,0.0,0.0,6,0.5,0.8333333333333334,0.625,0.3529411764705882,0.5,0.2857142857142857,0.5,0.625,0.8333333333333334
4,19,Make_a_phone_call,0.0,0.0,0.0,8,0.1052631578947368,0.5,0.1739130434782608,0.0,0.0,0.0,0.0,0.1739130434782608,0.5
5,22,Turn_pages,0.1764705882352941,0.3333333333333333,0.2307692307692307,9,0.4444444444444444,0.8888888888888888,0.5925925925925926,0.0,0.0,0.3333333333333333,0.4444444444444444,0.36182336182336183,0.5555555555555556
6,25,Watch_TV,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.25,0.1666666666666666,0.0,0.0
7,26,Play_games,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0.0,0.125,0.0833333333333333,0.0,0.0
8,27,Take_a_selfie,0.6153846153846154,0.5714285714285714,0.5925925925925926,14,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.0,0.0,0.4864864864864865,0.6428571428571429,0.02279202279202286,0.0
9,37,Take_medicine,0.0,0.0,0.0,17,0.0,0.0,0.0,0.3,0.3529411764705882,0.0555555555555555,0.0588235294117647,0.0,0.0
10,39,Take_body_temperature,0.5294117647058824,0.6,0.5625,15,0.4285714285714285,0.6,0.5,0.25,0.2666666666666666,0.375,0.4,-0.0625,0.0
