sample_id,split,class_id,action_name,reason
train__c00__user16__1-1-1,train,0,Wash_face,one_per_class_split
train__c00__user23__1-1-1,val,0,Wash_face,one_per_class_split
train__c01__user16__1-1-1,train,1,Brush_teeth,one_per_class_split
train__c01__user17__1-1-1,val,1,Brush_teeth,one_per_class_split
train__c02__user16__2-2-1,train,2,Comb_hair,one_per_class_split
train__c02__user17__1-1-1,val,2,Comb_hair,one_per_class_split
train__c03__user18__6-1-1,train,3,Take_off_clothes,one_per_class_split
train__c03__user17__6-1-1,val,3,Take_off_clothes,one_per_class_split
train__c04__user16__2-2-1,train,4,Wipe_hands,one_per_class_split
train__c04__user17__1-1-1,val,4,Wipe_hands,one_per_class_split
train__c05__user18__6-1-1,train,5,Put_on_clothes,one_per_class_split
train__c05__user17__1-1-1,val,5,Put_on_clothes,one_per_class_split
train__c06__user16__1-2-1,train,6,Drink_water,one_per_class_split
train__c06__user23__5-3-3,val,6,Drink_water,one_per_class_split
train__c07__user16__1-2-1,train,7,Eat_food,one_per_class_split
train__c07__user17__1-2-1,val,7,Eat_food,one_per_class_split
train__c08__user16__6-2-1,train,8,Take_and_use_tableware,one_per_class_split
train__c08__user17__1-2-1,val,8,Take_and_use_tableware,one_per_class_split
train__c09__user16__1-2-1,train,9,Pour_drinks,one_per_class_split
train__c09__user17__1-2-1,val,9,Pour_drinks,one_per_class_split
train__c10__user16__1-2-1,train,10,Stir_drinks,one_per_class_split
train__c10__user17__2-1-1,val,10,Stir_drinks,one_per_class_split
train__c11__user16__1-2-1,train,11,Peel_fruits,one_per_class_split
train__c11__user17__7-2-1,val,11,Peel_fruits,one_per_class_split
train__c12__user16__3-1-1,train,12,Sweep_the_floor,one_per_class_split
train__c12__user17__3-1-1,val,12,Sweep_the_floor,one_per_class_split
train__c13__user16__3-1-1,train,13,Mop_the_floor,one_per_class_split
train__c13__user17__3-1-1,val,13,Mop_the_floor,one_per_class_split
train__c14__user16__3-2-1,train,14,Wipe_bowls,one_per_class_split
train__c14__user17__3-2-1,val,14,Wipe_bowls,one_per_class_split
train__c15__user16__3-3-1,train,15,Wipe_windows_and_tables,one_per_class_split
train__c15__user17__2-2-1,val,15,Wipe_windows_and_tables,one_per_class_split
train__c16__user18__2-1-1,train,16,Fold_clothes,one_per_class_split
train__c16__user17__6-1-1,val,16,Fold_clothes,one_per_class_split
train__c17__user16__4-1-1,train,17,Tap_the_keyboard,one_per_class_split
train__c17__user17__4-1-1,val,17,Tap_the_keyboard,one_per_class_split
train__c18__user18__4-1-1,train,18,Write,one_per_class_split
train__c18__user23__4-1-1,val,18,Write,one_per_class_split
train__c19__user16__4-1-1,train,19,Make_a_phone_call,one_per_class_split
train__c19__user23__4-2-1,val,19,Make_a_phone_call,one_per_class_split
train__c20__user16__4-1-1,train,20,Check_the_time,one_per_class_split
train__c20__user17__1-2-1,val,20,Check_the_time,one_per_class_split
train__c21__user16__4-1-1,train,21,Read_documents,one_per_class_split
train__c21__user17__4-1-1,val,21,Read_documents,one_per_class_split
train__c22__user16__4-1-1,train,22,Turn_pages,one_per_class_split
train__c22__user24__1-2-1,val,22,Turn_pages,one_per_class_split
train__c23__user16__4-1-1,train,23,Listen_to_music_with_headphones,one_per_class_split
train__c23__user17__6-2-1,val,23,Listen_to_music_with_headphones,one_per_class_split
train__c24__user16__6-2-1,train,24,Use_a_mobile_phone,one_per_class_split
train__c24__user17__1-2-3,val,24,Use_a_mobile_phone,one_per_class_split
train__c25__user1__5-1-1,train,25,Watch_TV,one_per_class_split
train__c25__user24__2-2-1,val,25,Watch_TV,one_per_class_split
train__c26__user16__5-3-1,train,26,Play_games,one_per_class_split
train__c26__user23__5-1-1,val,26,Play_games,one_per_class_split
train__c27__user18__1-2-1,train,27,Take_a_selfie,one_per_class_split
train__c27__user17__1-2-1,val,27,Take_a_selfie,one_per_class_split
train__c28__user16__4-1-1,train,28,Jog_in_place,one_per_class_split
train__c28__user17__3-1-1,val,28,Jog_in_place,one_per_class_split
train__c29__user16__3-1-1,train,29,Do_squats,one_per_class_split
train__c29__user17__4-1-1,val,29,Do_squats,one_per_class_split
train__c30__user16__6-1-1,train,30,Do_jumping_jacks,one_per_class_split
train__c30__user17__2-2-1,val,30,Do_jumping_jacks,one_per_class_split
train__c31__user18__5-1-1,train,31,Do_stretching_exercises,one_per_class_split
train__c31__user17__3-1-1,val,31,Do_stretching_exercises,one_per_class_split
train__c32__user16__3-1-1,train,32,Stand_up,one_per_class_split
train__c32__user17__4-1-1,val,32,Stand_up,one_per_class_split
train__c33__user16__5-3-1,train,33,Lie_down,one_per_class_split
train__c33__user17__2-2-1,val,33,Lie_down,one_per_class_split
train__c34__user16__4-1-1,train,34,Sit_down,one_per_class_split
train__c34__user17__1-2-1,val,34,Sit_down,one_per_class_split
train__c35__user16__6-1-1,train,35,Do_lunges,one_per_class_split
train__c35__user23__1-2-1,val,35,Do_lunges,one_per_class_split
train__c36__user16__1-1-1,train,36,Walk,one_per_class_split
