depth_representation,user_id,samples,accuracy,macro_f1
raw,user17,166,0.2891566265060241,0.11528854285433232
raw,user23,131,0.26717557251908397,0.08628495034377386
raw,user24,159,0.27044025157232704,0.08019949494949494
raw,user4,134,0.17164179104477612,0.05228070175438597
relative,user17,166,0.2891566265060241,0.10253360215053764
relative,user23,131,0.22137404580152673,0.08646212121212121
relative,user24,159,0.3018867924528302,0.08928208062671553
relative,user4,134,0.27611940298507465,0.10572772256982783
raw+relative,user17,166,0.29518072289156627,0.1072519854226136
raw+relative,user23,131,0.22900763358778625,0.08007167257167257
raw+relative,user24,159,0.27044025157232704,0.08220184869775034
raw+relative,user4,134,0.2462686567164179,0.05845156369183828
