class_id,action_name,train_trials,train_users,status,validation_support,full_recall,stream_only__ir:global__recall,stream_only__ir:global__delta,stream_only__ir:person_context__recall,stream_only__ir:person_context__delta,stream_only__ir:left_hand_object__recall,stream_only__ir:left_hand_object__delta,stream_only__ir:right_hand_object__recall,stream_only__ir:right_hand_object__delta,stream_only__depth:global__recall,stream_only__depth:global__delta,stream_only__depth:person_context__recall,stream_only__depth:person_context__delta,stream_only__depth:left_hand_object__recall,stream_only__depth:left_hand_object__delta,stream_only__depth:right_hand_object__recall,stream_only__depth:right_hand_object__delta,stream_drop__ir:global__recall,stream_drop__ir:global__delta,stream_drop__ir:person_context__recall,stream_drop__ir:person_context__delta,stream_drop__ir:left_hand_object__recall,stream_drop__ir:left_hand_object__delta,stream_drop__ir:right_hand_object__recall,stream_drop__ir:right_hand_object__delta,stream_drop__depth:global__recall,stream_drop__depth:global__delta,stream_drop__depth:person_context__recall,stream_drop__depth:person_context__delta,stream_drop__depth:left_hand_object__recall,stream_drop__depth:left_hand_object__delta,stream_drop__depth:right_hand_object__recall,stream_drop__depth:right_hand_object__delta,modality_only__ir__recall,modality_only__ir__delta,modality_only__depth__recall,modality_only__depth__delta,modality_drop__ir__recall,modality_drop__ir__delta,modality_drop__depth__recall,modality_drop__depth__delta,view_only__global__recall,view_only__global__delta,view_only__person_context__recall,view_only__person_context__delta,view_only__left_hand_object__recall,view_only__left_hand_object__delta,view_only__right_hand_object__recall,view_only__right_hand_object__delta,view_drop__global__recall,view_drop__global__delta,view_drop__person_context__recall,view_drop__person_context__delta,view_drop__left_hand_object__recall,view_drop__left_hand_object__delta,view_drop__right_hand_object__recall,view_drop__right_hand_object__delta
0,Wash_face,29,7,observed,3,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6666666666666666,-0.33333333333333337,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,Brush_teeth,30,8,observed,6,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
2,Comb_hair,40,11,observed,5,0.8,0.8,0.0,0.8,0.0,0.8,0.0,1.0,0.19999999999999996,0.8,0.0,1.0,0.19999999999999996,0.6,-0.20000000000000007,1.0,0.19999999999999996,0.8,0.0,0.8,0.0,0.8,0.0,0.8,0.0,1.0,0.19999999999999996,0.8,0.0,0.8,0.0,0.8,0.0,1.0,0.19999999999999996,0.8,0.0,0.8,0.0,1.0,0.19999999999999996,0.8,0.0,1.0,0.19999999999999996,0.8,0.0,1.0,0.19999999999999996,1.0,0.19999999999999996,0.8,0.0,0.8,0.0,0.8,0.0
3,Take_off_clothes,24,5,deferred_dataset_coverage,6,0.8333333333333334,1.0,0.16666666666666663,0.8333333333333334,0.0,0.6666666666666666,-0.16666666666666674,0.6666666666666666,-0.16666666666666674,0.5,-0.33333333333333337,1.0,0.16666666666666663,1.0,0.16666666666666663,1.0,0.16666666666666663,0.8333333333333334,0.0,1.0,0.16666666666666663,1.0,0.16666666666666663,1.0,0.16666666666666663,1.0,0.16666666666666663,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,1.0,0.16666666666666663,1.0,0.16666666666666663,0.8333333333333334,0.0,0.8333333333333334,0.0,1.0,0.16666666666666663,1.0,0.16666666666666663,0.8333333333333334,0.0,1.0,0.16666666666666663,0.8333333333333334,0.0,0.8333333333333334,0.0,1.0,0.16666666666666663
4,Wipe_hands,46,10,observed,9,0.6666666666666666,0.6666666666666666,0.0,0.5555555555555556,-0.11111111111111105,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0,0.6666666666666666,0.0
5,Put_on_clothes,33,7,observed,6,1.0,0.8333333333333334,-0.16666666666666663,1.0,0.0,1.0,0.0,1.0,0.0,0.8333333333333334,-0.16666666666666663,0.8333333333333334,-0.16666666666666663,1.0,0.0,1.0,0.0,1.0,0.0,0.8333333333333334,-0.16666666666666663,0.8333333333333334,-0.16666666666666663,1.0,0.0,1.0,0.0,1.0,0.0,0.8333333333333334,-0.16666666666666663,1.0,0.0,1.0,0.0,0.8333333333333334,-0.16666666666666663,0.8333333333333334,-0.16666666666666663,1.0,0.0,0.8333333333333334,-0.16666666666666663,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8333333333333334,-0.16666666666666663,0.8333333333333334,-0.16666666666666663
6,Drink_water,92,12,observed,15,0.8,0.9333333333333333,0.1333333333333333,0.7333333333333333,-0.06666666666666676,0.8,0.0,0.7333333333333333,-0.06666666666666676,0.8,0.0,0.8666666666666667,0.06666666666666665,0.6666666666666666,-0.13333333333333341,0.6666666666666666,-0.13333333333333341,0.8,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.7333333333333333,-0.06666666666666676,0.8,0.0,0.8,0.0,0.8,0.0,0.8666666666666667,0.06666666666666665,0.7333333333333333,-0.06666666666666676,0.7333333333333333,-0.06666666666666676,0.8666666666666667,0.06666666666666665,0.8666666666666667,0.06666666666666665,0.8,0.0,0.8,0.0,0.6666666666666666,-0.13333333333333341,0.6666666666666666,-0.13333333333333341,0.8,0.0,0.8,0.0,0.8,0.0
7,Eat_food,97,12,observed,25,0.64,0.56,-0.07999999999999996,0.6,-0.040000000000000036,0.72,0.07999999999999996,0.6,-0.040000000000000036,0.6,-0.040000000000000036,0.56,-0.07999999999999996,0.6,-0.040000000000000036,0.68,0.040000000000000036,0.64,0.0,0.68,0.040000000000000036,0.68,0.040000000000000036,0.68,0.040000000000000036,0.64,0.0,0.68,0.040000000000000036,0.68,0.040000000000000036,0.64,0.0,0.64,0.0,0.68,0.040000000000000036,0.68,0.040000000000000036,0.64,0.0,0.6,-0.040000000000000036,0.64,0.0,0.76,0.12,0.72,0.07999999999999996,0.64,0.0,0.68,0.040000000000000036,0.6,-0.040000000000000036,0.64,0.0
8,Take_and_use_tableware,55,8,observed,27,0.25925925925925924,0.4444444444444444,0.18518518518518517,0.37037037037037035,0.1111111111111111,0.18518518518518517,-0.07407407407407407,0.3333333333333333,0.07407407407407407,0.2222222222222222,-0.037037037037037035,0.2962962962962963,0.037037037037037035,0.37037037037037035,0.1111111111111111,0.2962962962962963,0.037037037037037035,0.37037037037037035,0.1111111111111111,0.2962962962962963,0.037037037037037035,0.2962962962962963,0.037037037037037035,0.3333333333333333,0.07407407407407407,0.3333333333333333,0.07407407407407407,0.3333333333333333,0.07407407407407407,0.2962962962962963,0.037037037037037035,0.2962962962962963,0.037037037037037035,0.3333333333333333,0.07407407407407407,0.3333333333333333,0.07407407407407407,0.3333333333333333,0.07407407407407407,0.3333333333333333,0.07407407407407407,0.37037037037037035,0.1111111111111111,0.2962962962962963,0.037037037037037035,0.3333333333333333,0.07407407407407407,0.37037037037037035,0.1111111111111111,0.37037037037037035,0.1111111111111111,0.3333333333333333,0.07407407407407407,0.2962962962962963,0.037037037037037035,0.3333333333333333,0.07407407407407407
9,Pour_drinks,96,12,observed,18,0.8888888888888888,0.5555555555555556,-0.33333333333333326,0.8333333333333334,-0.05555555555555547,0.8888888888888888,0.0,0.8333333333333334,-0.05555555555555547,0.5555555555555556,-0.33333333333333326,0.7222222222222222,-0.16666666666666663,0.6666666666666666,-0.2222222222222222,0.8333333333333334,-0.05555555555555547,0.8888888888888888,0.0,0.8333333333333334,-0.05555555555555547,0.8333333333333334,-0.05555555555555547,0.8888888888888888,0.0,0.8888888888888888,0.0,0.8888888888888888,0.0,0.8888888888888888,0.0,0.8888888888888888,0.0,0.8888888888888888,0.0,0.8333333333333334,-0.05555555555555547,0.8333333333333334,-0.05555555555555547,0.8888888888888888,0.0,0.5555555555555556,-0.33333333333333326,0.8333333333333334,-0.05555555555555547,0.8888888888888888,0.0,0.8888888888888888,0.0,0.8888888888888888,0.0,0.8333333333333334,-0.05555555555555547,0.8888888888888888,0.0,0.8888888888888888,0.0
