fold,scope,modality,availability_kind,assigned_user_count,users_with_data_count,trial_count,class_count,canonical_trial_count,canonical_class_count,missing_user_ids,missing_class_ids,canonical_missing_class_ids,modality_specific_missing_class_ids
0,outer_train,Depth,manifest_present,9,9,1529,40,1606,40,,,,
0,outer_train,IMU,manifest_present,9,9,1510,40,1606,40,,,,
0,outer_train,IR,manifest_present,9,9,1530,40,1606,40,,,,
0,outer_train,Radar,manifest_present,9,9,1520,40,1606,40,,,,
0,outer_train,Skeleton,manifest_present,9,9,1529,40,1606,40,,,,
0,outer_train,Thermal,manifest_present,9,9,1491,40,1606,40,,,,
0,outer_train,Skeleton,master_clean_usable_non_strict_oof,9,9,1529,40,1606,40,,,,
0,outer_validation,Depth,manifest_present,5,5,812,39,821,39,,25,25,
0,outer_validation,IMU,manifest_present,5,5,809,39,821,39,,25,25,
0,outer_validation,IR,manifest_present,5,5,812,39,821,39,,25,25,
0,outer_validation,Radar,manifest_present,5,5,809,39,821,39,,25,25,
0,outer_validation,Skeleton,manifest_present,5,5,812,39,821,39,,25,25,
0,outer_validation,Thermal,manifest_present,5,5,808,39,821,39,,25,25,
0,outer_validation,Skeleton,master_clean_usable_non_strict_oof,5,5,812,39,821,39,,25,25,
0,inner_fit,Depth,manifest_present,6,6,1052,40,1066,40,,,,
0,inner_fit,IMU,manifest_present,6,6,1048,40,1066,40,,,,
0,inner_fit,IR,manifest_present,6,6,1052,40,1066,40,,,,
0,inner_fit,Radar,manifest_present,6,6,1043,40,1066,40,,,,
0,inner_fit,Skeleton,manifest_present,6,6,1052,40,1066,40,,,,
0,inner_fit,Thermal,manifest_present,6,6,969,40,1066,40,,,,
0,inner_fit,Skeleton,master_clean_usable_non_strict_oof,6,6,1052,40,1066,40,,,,
0,inner_validation,Depth,manifest_present,3,3,477,39,540,39,,25,25,
0,inner_validation,IMU,manifest_present,3,3,462,39,540,39,,25,25,
0,inner_validation,IR,manifest_present,3,3,478,39,540,39,,25,25,
0,inner_validation,Radar,manifest_present,3,3,477,39,540,39,,25,25,
0,inner_validation,Skeleton,manifest_present,3,3,477,39,540,39,,25,25,
0,inner_validation,Thermal,manifest_present,3,3,522,39,540,39,,25,25,
0,inner_validation,Skeleton,master_clean_usable_non_strict_oof,3,3,477,39,540,39,,25,25,
1,outer_train,Depth,manifest_present,10,10,1674,40,1751,40,,,,
1,outer_train,IMU,manifest_present,10,10,1656,40,1751,40,,,,
1,outer_train,IR,manifest_present,10,10,1675,40,1751,40,,,,
1,outer_train,Radar,manifest_present,10,10,1671,40,1751,40,,,,
1,outer_train,Skeleton,manifest_present,10,10,1674,40,1751,40,,,,
1,outer_train,Thermal,manifest_present,10,10,1705,40,1751,40,,,,
1,outer_train,Skeleton,master_clean_usable_non_strict_oof,10,10,1674,40,1751,40,,,,
1,outer_validation,Depth,manifest_present,4,4,667,40,676,40,,,,
1,outer_validation,IMU,manifest_present,4,4,663,40,676,40,,,,
1,outer_validation,IR,manifest_present,4,4,667,40,676,40,,,,
1,outer_validation,Radar,manifest_present,4,4,658,40,676,40,,,,
1,outer_validation,Skeleton,manifest_present,4,4,667,40,676,40,,,,
1,outer_validation,Thermal,manifest_present,4,4,594,40,676,40,,,,
1,outer_validation,Skeleton,master_clean_usable_non_strict_oof,4,4,667,40,676,40,,,,
1,inner_fit,Depth,manifest_present,7,7,1224,40,1238,40,,,,
1,inner_fit,IMU,manifest_present,7,7,1221,40,1238,40,,,,
1,inner_fit,IR,manifest_present,7,7,1224,40,1238,40,,,,
1,inner_fit,Radar,manifest_present,7,7,1221,40,1238,40,,,,
1,inner_fit,Skeleton,manifest_present,7,7,1224,40,1238,40,,,,
1,inner_fit,Thermal,manifest_present,7,7,1209,40,1238,40,,,,
1,inner_fit,Skeleton,master_clean_usable_non_strict_oof,7,7,1224,40,1238,40,,,,
1,inner_validation,Depth,manifest_present,3,3,450,37,513,38,,25|26|33,25|26,33
1,inner_validation,IMU,manifest_present,3,3,435,37,513,38,,25|26|33,25|26,33
1,inner_validation,IR,manifest_present,3,3,451,37,513,38,,25|26|33,25|26,33
1,inner_validation,Radar,manifest_present,3,3,450,37,513,38,,25|26|33,25|26,33
1,inner_validation,Skeleton,manifest_present,3,3,450,37,513,38,,25|26|33,25|26,33
1,inner_validation,Thermal,manifest_present,3,3,496,38,513,38,,25|26,25|26,
1,inner_validation,Skeleton,master_clean_usable_non_strict_oof,3,3,450,37,513,38,,25|26|33,25|26,33
2,outer_train,Depth,manifest_present,9,9,1479,40,1497,40,,,,
2,outer_train,IMU,manifest_present,9,9,1472,40,1497,40,,,,
2,outer_train,IR,manifest_present,9,9,1479,40,1497,40,,,,
2,outer_train,Radar,manifest_present,9,9,1467,40,1497,40,,,,
2,outer_train,Skeleton,manifest_present,9,9,1479,40,1497,40,,,,
2,outer_train,Thermal,manifest_present,9,9,1402,40,1497,40,,,,
2,outer_train,Skeleton,master_clean_usable_non_strict_oof,9,9,1479,40,1497,40,,,,
2,outer_validation,Depth,manifest_present,5,5,862,40,930,40,,,,
2,outer_validation,IMU,manifest_present,5,5,847,40,930,40,,,,
2,outer_validation,IR,manifest_present,5,5,863,40,930,40,,,,
2,outer_validation,Radar,manifest_present,5,5,862,40,930,40,,,,
2,outer_validation,Skeleton,manifest_present,5,5,862,40,930,40,,,,
2,outer_validation,Thermal,manifest_present,5,5,897,40,930,40,,,,
2,outer_validation,Skeleton,master_clean_usable_non_strict_oof,5,5,862,40,930,40,,,,
2,inner_fit,Depth,manifest_present,6,6,953,40,963,40,,,,
2,inner_fit,IMU,manifest_present,6,6,946,40,963,40,,,,
2,inner_fit,IR,manifest_present,6,6,953,40,963,40,,,,
2,inner_fit,Radar,manifest_present,6,6,944,40,963,40,,,,
2,inner_fit,Skeleton,manifest_present,6,6,953,40,963,40,,,,
2,inner_fit,Thermal,manifest_present,6,6,944,40,963,40,,,,
2,inner_fit,Skeleton,master_clean_usable_non_strict_oof,6,6,953,40,963,40,,,,
2,inner_validation,Depth,manifest_present,3,3,526,39,534,39,,25,25,
2,inner_validation,IMU,manifest_present,3,3,526,39,534,39,,25,25,
2,inner_validation,IR,manifest_present,3,3,526,39,534,39,,25,25,
2,inner_validation,Radar,manifest_present,3,3,523,39,534,39,,25,25,
2,inner_validation,Skeleton,manifest_present,3,3,526,39,534,39,,25,25,
2,inner_validation,Thermal,manifest_present,3,3,458,39,534,39,,25,25,
2,inner_validation,Skeleton,master_clean_usable_non_strict_oof,3,3,526,39,534,39,,25,25,
