user_id,canonical_trials,development_role,Depth_present_trials,IMU_present_trials,IR_present_trials,Radar_present_trials,Skeleton_present_trials,Thermal_present_trials,Skeleton_master_clean_usable_trials
user1,153,train14,149,145,149,145,149,151,149
user16,186,train14,186,186,186,186,186,185,186
user17,166,heldout4,166,160,166,161,166,163,160
user18,179,train14,178,178,178,178,178,177,178
user19,188,train14,186,186,186,186,186,183,186
user2,168,train14,167,167,167,164,167,95,167
user20,159,train14,159,159,159,159,159,159,159
user21,133,train14,133,130,133,133,133,132,133
user22,194,train14,191,185,192,191,191,182,191
user23,141,heldout4,131,131,132,131,131,132,131
user24,159,heldout4,159,159,159,159,159,155,159
user3,163,train14,161,161,161,158,161,154,161
user4,143,heldout4,134,134,134,134,134,142,134
user5,160,train14,100,91,100,100,100,155,100
user6,203,train14,201,201,201,201,201,195,201
user7,185,train14,184,184,184,184,184,182,184
user8,169,train14,165,165,165,163,165,163,165
user9,187,train14,181,181,181,181,181,186,181
