sample_id,action_name,mobilenet_attention_entropy,resnet18_attention_entropy,mobilenet_depth_gate_mean,resnet18_depth_gate_mean,mobilenet_embedding_norm,resnet18_embedding_norm,mobilenet_residual_abs_mean,resnet18_residual_abs_mean
train__c00__user23__1-1-1,Wash_face,1.3808527e-06,1.948317,0.4960022,0.49909565,15.65974,9.151432,1.721283,0.59059143
train__c00__user23__1-1-2,Wash_face,0.5766977,0.47203037,0.49628907,0.49919128,18.807512,7.515945,2.225891,0.45100403
train__c00__user23__1-1-3,Wash_face,0.0019684886,0.6712168,0.4958913,0.49919638,20.481512,7.4779434,2.4723206,0.46258926
train__c00__user24__6-2-1,Wash_face,0.9705274,1.1467761,0.49356383,0.49916178,25.35379,8.128405,3.3583832,0.47436947
train__c00__user24__6-2-2,Wash_face,0.9209065,1.8249025,0.4942149,0.4991862,22.795568,7.715773,2.8840942,0.4511299
train__c00__user24__6-2-3,Wash_face,0.008554911,1.0563881,0.4944743,0.4992279,20.396517,7.4989004,2.420044,0.46202087
train__c00__user24__7-1-1,Wash_face,0.00027109837,0.4425999,0.49354962,0.4991801,24.778328,7.9477415,3.39917,0.4646721
train__c00__user24__7-1-2,Wash_face,0.45847404,0.26277277,0.49453735,0.49923196,24.74564,7.5440474,3.2527523,0.48850822
train__c00__user24__7-1-3,Wash_face,6.620574e-05,0.9748817,0.49424946,0.49920958,24.07317,7.5155473,3.2662888,0.45739746
train__c00__user4__1-1-1,Wash_face,0.17131093,0.7624954,0.49135843,0.49926555,21.396158,9.056164,2.8147125,0.5930443
train__c00__user4__1-1-2,Wash_face,1.1647298,0.11891949,0.49144998,0.4992503,21.459703,10.160035,2.7803497,0.7272072
train__c00__user4__1-1-3,Wash_face,3.077396e-05,0.6751559,0.49266255,0.49926248,22.821571,8.329249,3.0835571,0.5066061
train__c01__user17__1-1-1,Brush_teeth,0.039726276,1.4376533,0.4950368,0.49924216,25.055862,7.52372,3.4540405,0.45414734
train__c01__user17__1-1-2,Brush_teeth,0.010208824,0.6752533,0.49494323,0.4992391,16.459076,7.867874,2.1468506,0.46033478
train__c01__user17__1-1-3,Brush_teeth,2.0142158e-08,0.7143026,0.49493104,0.49924114,17.72456,7.8285823,2.1322212,0.45758057
train__c01__user23__1-1-1,Brush_teeth,1.3045743e-09,0.7385788,0.49641928,0.49917907,23.71779,8.851375,3.375824,0.55256176
train__c01__user23__1-1-2,Brush_teeth,0.00010202186,1.4535664,0.4960368,0.49922484,15.892,7.5061445,1.9354935,0.4763031
train__c01__user23__1-1-3,Brush_teeth,0.45115498,0.3954068,0.4963959,0.49920756,19.940962,7.5427866,2.4024658,0.45429993
train__c01__user24__6-2-1,Brush_teeth,0.19631127,1.8466097,0.4945872,0.49920452,28.778845,7.7552447,4.1033936,0.4544983
train__c01__user24__6-2-2,Brush_teeth,0.5697185,0.7648521,0.4952596,0.49923503,34.03255,7.960743,4.146042,0.53874254
train__c01__user24__6-2-3,Brush_teeth,4.6736574e-07,0.0072887773,0.49529725,0.4992513,18.890135,8.471054,2.117813,0.60570717
train__c01__user24__7-1-1,Brush_teeth,0.025645742,0.84961003,0.49490866,0.49922484,25.568296,7.640588,3.3409424,0.50095654
train__c01__user24__7-1-2,Brush_teeth,0.37856194,3.1216557e-06,0.49545696,0.49925843,25.65515,8.710815,3.2664032,0.6361637
train__c01__user24__7-1-3,Brush_teeth,0.00024553383,0.023838976,0.4952779,0.4992462,26.067013,8.057335,3.200348,0.54811
train__c02__user17__1-1-1,Comb_hair,7.5328394e-08,0.83421874,0.49143472,0.49917805,27.045477,9.8453665,4.0615234,0.6772728
train__c02__user17__1-1-2,Comb_hair,0.032642566,0.16982032,0.49482727,0.49925435,22.81003,7.527029,3.114685,0.47694778
train__c02__user17__1-1-3,Comb_hair,0.14709717,0.32885545,0.4935384,0.4992401,24.846794,7.756555,3.5184326,0.45324707
train__c02__user23__2-2-1,Comb_hair,0.38356152,1.2796512,0.49770406,0.49916178,22.796608,8.401383,3.1540222,0.50455666
train__c02__user23__2-2-2,Comb_hair,0.037756257,1.9957032,0.4962321,0.49919537,22.187994,7.786925,2.8879013,0.45417023
train__c02__user23__2-2-3,Comb_hair,0.0009463767,1.0208629,0.49575093,0.49921978,21.133244,7.531192,2.694069,0.45606232
train__c02__user24__7-1-1,Comb_hair,0.036222763,0.34450564,0.49498597,0.49923196,25.401985,7.5631013,3.3631592,0.48845863
train__c02__user24__7-1-2,Comb_hair,1.2986578e-09,0.021420836,0.495402,0.49925536,18.83101,8.594979,2.2170868,0.6228981
train__c02__user24__7-1-3,Comb_hair,0.50290585,0.59672844,0.4951884,0.49924418,21.449497,7.9938965,2.7273865,0.5412755
train__c03__user17__6-1-1,Take_off_clothes,0.6688652,1.2930256,0.4898285,0.4992696,17.725212,20.363178,1.8628845,1.875473
train__c03__user17__6-1-2,Take_off_clothes,0.7023119,0.8261206,0.49129945,0.4992686,18.489143,19.771074,2.2072525,1.8107605
train__c03__user17__6-1-3,Take_off_clothes,6.778987e-05,0.19095805,0.49266255,0.49926758,20.367315,18.918896,2.6079884,1.7260132
train__c03__user23__4-3-1,Take_off_clothes,1.5521595,0.31485558,0.4936493,0.4992696,23.309002,17.817825,3.3539124,1.6091309
train__c03__user23__4-3-2,Take_off_clothes,1.6922345,0.09465827,0.49238688,0.4992686,22.969429,18.503279,3.3553925,1.677887
train__c03__user23__4-3-3,Take_off_clothes,0.07608867,0.20178506,0.49326885,0.49927267,21.298033,18.26401,2.9577484,1.6538239
train__c03__user23__5-2-1,Take_off_clothes,1.5847801e-08,0.0037571287,0.4957774,0.49922892,20.143864,7.513496,2.386982,0.48035622
train__c03__user23__5-2-2,Take_off_clothes,1.3353058,0.11571888,0.4972412,0.4991801,21.53672,7.6566844,2.5798187,0.45161438
train__c03__user23__5-2-3,Take_off_clothes,0.31109995,0.2868124,0.49630535,0.4992208,21.004221,7.636496,2.5459137,0.50288963
train__c03__user4__5-2-2,Take_off_clothes,0.08374129,0.9046456,0.48848063,0.49926147,21.1679,12.760942,3.0152817,1.0393524
train__c03__user4__5-2-3,Take_off_clothes,9.515858e-09,0.35790384,0.49171346,0.49926454,18.560272,8.414829,1.9021091,0.5251608
train__c04__user17__1-1-1,Wipe_hands,0.3783449,1.0853807,0.49451092,0.499175,21.611162,9.655872,2.8058472,0.6547489
train__c04__user17__1-1-2,Wipe_hands,0.1405334,1.5902374,0.49428812,0.49921468,26.488771,8.300247,3.5420227,0.4938507
train__c04__user17__1-1-3,Wipe_hands,0.7457139,1.2258185,0.4948934,0.49921876,23.897282,7.9503393,2.9912872,0.46320915
train__c04__user17__7-2-1,Wipe_hands,9.492933e-09,0.7310959,0.48802593,0.49919432,26.708336,15.837637,3.6324005,1.6612091
train__c04__user17__7-2-2,Wipe_hands,0.002514519,0.2982806,0.4907257,0.49921265,25.758146,17.63624,3.60141,2.0708313
train__c04__user17__7-2-3,Wipe_hands,0.05422491,0.036909543,0.49253032,0.4992462,23.27813,11.676548,3.2625427,1.1255264
train__c04__user23__1-1-1,Wipe_hands,0.005881395,1.3063595,0.49766845,0.49920145,17.20049,7.7710085,1.9305801,0.45231628
train__c04__user23__1-1-2,Wipe_hands,0.64883107,0.714378,0.4969869,0.49922588,14.419273,7.49849,1.6218433,0.4713478
train__c04__user23__1-1-3,Wipe_hands,0.35553485,0.037590675,0.496758,0.49921063,15.97157,7.4963655,1.7945557,0.45419312
train__c04__user24__6-2-1,Wipe_hands,0.5032062,0.9382298,0.4951894,0.49920958,27.525478,7.6774673,3.5800323,0.45123672
train__c04__user24__6-2-2,Wipe_hands,0.91467047,0.8150418,0.49570924,0.49921265,18.956562,7.5064564,2.5248451,0.46294403
train__c04__user24__6-2-3,Wipe_hands,0.03921748,1.1067653,0.49562073,0.4992269,18.501396,7.6291947,2.2235107,0.45332336
train__c04__user4__1-1-1,Wipe_hands,0.17379542,0.6724372,0.4937144,0.49926758,19.22208,7.531045,2.3971405,0.4502716
train__c04__user4__1-1-2,Wipe_hands,0.5440388,1.491013,0.49358013,0.49926758,24.698378,7.6445837,3.3065186,0.4491272
train__c04__user4__1-1-3,Wipe_hands,0.002337161,1.0761606,0.49391583,0.49926758,26.723806,7.487245,3.8400269,0.45474243
train__c05__user17__1-1-1,Put_on_clothes,0.005839836,0.6097605,0.4962036,0.49914142,23.34852,9.681035,3.3394012,0.6630764
train__c05__user17__1-1-2,Put_on_clothes,0.061284263,1.1431122,0.49570414,0.49914142,20.779055,9.96163,2.9659424,0.6953926
train__c05__user17__1-1-3,Put_on_clothes,0.012373163,1.2744373,0.4949931,0.49913839,22.46588,9.896186,2.9336853,0.6908016
train__c05__user17__6-1-1,Put_on_clothes,0.00014475104,2.3265526e-05,0.48737997,0.4992696,20.209038,20.534956,2.6769562,1.8971863
train__c05__user17__6-1-2,Put_on_clothes,1.2986578e-09,0.6733561,0.48734233,0.4992635,17.942226,20.356094,1.7660103,1.8784637
train__c05__user17__6-1-3,Put_on_clothes,0.0031371978,0.001542704,0.48783976,0.49926555,17.233034,20.69898,1.763649,1.9201965
train__c05__user23__4-3-1,Put_on_clothes,0.90619063,3.1155462e-06,0.4906606,0.4992757,18.993685,18.932943,2.484932,1.7404785
train__c05__user23__4-3-2,Put_on_clothes,0.7126135,0.26902288,0.49137166,0.49926656,19.207914,19.25156,2.4136238,1.7600098
train__c05__user23__4-3-3,Put_on_clothes,0.0007226167,8.435697e-06,0.49273172,0.4992737,17.316946,17.98632,1.8973618,1.6286774
