class_id,action_name,val_support,base_f1,base_recall,base_true_rank_mean,mobilenet_f1,mobilenet_recall,mobilenet_true_rank_mean,mobilenet_rescued,mobilenet_harmed,mobilenet_net_rescue,resnet18_f1,resnet18_recall,resnet18_true_rank_mean,resnet18_rescued,resnet18_harmed,resnet18_net_rescue,delta_resnet_vs_base,delta_resnet_vs_mobilenet
0,Wash_face,12,0.8571428571428571,1.0,1.0,0.8571428571428571,1.0,1.0,0,0,0,0.8571428571428571,1.0,1.0,0,0,0,0.0,0.0
1,Brush_teeth,12,0.5714285714285714,0.5,2.3333333333333335,0.5714285714285714,0.5,1.8333333333333333,0,0,0,0.5714285714285714,0.5,2.0833333333333335,0,0,0,0.0,0.0
2,Comb_hair,9,0.3,0.3333333333333333,2.6666666666666665,0.15789473684210525,0.3333333333333333,2.5555555555555554,0,0,0,0.25,0.3333333333333333,2.6666666666666665,0,0,0,-0.04999999999999999,0.09210526315789475
3,Take_off_clothes,11,0.1,0.09090909090909091,5.818181818181818,0.1,0.09090909090909091,5.2727272727272725,0,0,0,0.1,0.09090909090909091,5.090909090909091,0,0,0,0.0,0.0
4,Wipe_hands,15,0.5517241379310345,0.5333333333333333,2.4,0.5517241379310345,0.5333333333333333,2.066666666666667,0,0,0,0.5517241379310345,0.5333333333333333,2.2666666666666666,0,0,0,0.0,0.0
5,Put_on_clothes,15,0.3333333333333333,0.3333333333333333,4.866666666666666,0.3333333333333333,0.3333333333333333,4.6,0,0,0,0.3333333333333333,0.3333333333333333,4.533333333333333,0,0,0,0.0,0.0
6,Drink_water,13,0.4117647058823529,0.5384615384615384,4.538461538461538,0.4444444444444444,0.46153846153846156,6.461538461538462,0,1,-1,0.358974358974359,0.5384615384615384,5.3076923076923075,1,1,0,-0.052790346907993946,-0.08547008547008544
7,Eat_food,32,0.41509433962264153,0.34375,5.09375,0.3870967741935484,0.375,7.03125,1,0,1,0.4090909090909091,0.28125,6.46875,0,2,-2,-0.006003430531732412,0.02199413489736074
8,Take_and_use_tableware,14,0.0,0.0,6.857142857142857,0.34285714285714286,0.42857142857142855,6.714285714285714,6,0,6,0.2727272727272727,0.21428571428571427,6.142857142857143,3,0,3,0.2727272727272727,-0.07012987012987015
9,Pour_drinks,16,0.47058823529411764,0.5,2.875,0.42857142857142855,0.5625,2.4375,1,0,1,0.4782608695652174,0.6875,2.625,3,0,3,0.007672634271099765,0.04968944099378886
10,Stir_drinks,16,0.24242424242424243,0.25,4.25,0.41379310344827586,0.375,5.1875,2,0,2,0.17391304347826086,0.125,5.4375,0,2,-2,-0.06851119894598157,-0.239880059970015
11,Peel_fruits,18,0.22641509433962265,0.3333333333333333,4.944444444444445,0.3181818181818182,0.3888888888888889,4.444444444444445,2,1,1,0.25925925925925924,0.3888888888888889,4.666666666666667,1,0,1,0.0328441649196366,-0.05892255892255893
12,Sweep_the_floor,9,0.15384615384615385,0.1111111111111111,4.888888888888889,0.15384615384615385,0.1111111111111111,4.222222222222222,0,0,0,0.16666666666666666,0.1111111111111111,4.666666666666667,0,0,0,0.012820512820512803,0.012820512820512803
13,Mop_the_floor,6,0.3333333333333333,0.5,8.833333333333334,0.3333333333333333,0.5,7.833333333333333,0,0,0,0.3157894736842105,0.5,8.666666666666666,0,0,0,-0.017543859649122806,-0.017543859649122806
14,Wipe_bowls,6,0.16666666666666666,0.16666666666666666,6.666666666666667,0.0,0.0,12.666666666666666,0,1,-1,0.2857142857142857,0.3333333333333333,12.0,1,0,1,0.11904761904761904,0.2857142857142857
15,Wipe_windows_and_tables,9,0.36363636363636365,0.6666666666666666,6.555555555555555,0.36363636363636365,0.6666666666666666,5.777777777777778,0,0,0,0.36363636363636365,0.6666666666666666,5.888888888888889,0,0,0,0.0,0.0
16,Fold_clothes,9,0.2,0.1111111111111111,8.11111111111111,0.2,0.1111111111111111,6.777777777777778,0,0,0,0.2,0.1111111111111111,7.444444444444445,0,0,0,0.0,0.0
17,Tap_the_keyboard,17,0.47368421052631576,0.5294117647058824,5.294117647058823,0.5294117647058824,0.5294117647058824,4.588235294117647,0,0,0,0.4864864864864865,0.5294117647058824,4.647058823529412,0,0,0,0.01280227596017075,-0.042925278219395846
18,Write,11,0.0,0.0,7.181818181818182,0.0,0.0,5.636363636363637,0,0,0,0.0,0.0,6.545454545454546,0,0,0,0.0,0.0
19,Make_a_phone_call,8,0.0,0.0,13.25,0.0,0.0,15.75,0,0,0,0.0,0.0,13.5,0,0,0,0.0,0.0
