scope,class_id,action_name,samples,frames,left_elbow_valid_rate,right_elbow_valid_rate,left_wrist_valid_rate,right_wrist_valid_rate,both_elbow_valid_rate,one_elbow_only_rate,no_elbow_rate,both_wrist_valid_rate,one_wrist_only_rate,direction_roi_valid_rate,wrist_only_fallback_rate,hand_head_roi_valid_rate,two_hand_roi_valid_rate,two_hand_merge_trigger_rate,left_right_directional_iou_mean,old_tight_iou_mean,old_tight_overlap_rate,new_directional_overlap_rate,projected_point_out_of_bounds_rate,interaction_roi_area_ratio_mean,wrist_edge_distance_mean,artificial_keypoint_count,invalid_view_nonzero_gate_count
overall,,ALL,2910,84906,0.9625114832874002,0.9541021835912656,0.9547146255859421,0.943667114220432,0.9493086472098556,0.017996372458954604,0.03269498033118979,0.9359880338256424,0.02640567215508916,0.9473476550538242,0.0018432148493628228,0.0606082020116364,0.48109674227969756,0.48109674227969756,0.21487455668705857,0.29023952989593604,0.4174616634866794,0.2936306032553648,0.004711092266742043,0.03343184385539085,0.48285321347437726,0,0
class,0,Wash_face,44,1111,0.9981998199819982,0.9927992799279928,0.9981998199819982,0.9873987398739874,0.9927992799279928,0.005400540054005399,0.0018001800180017982,0.9873987398739874,0.010801080108010798,0.9914491449144914,0.0013501350135013501,0.004500450045004501,0.8496849684968497,0.8496849684968497,0.46175071436150666,0.6414902630043288,0.90999099909991,0.7686768676867687,0.0,0.06462249371058008,0.4847102957089456,0,0
class,1,Brush_teeth,48,1081,0.9981498612395929,0.9185938945420906,0.996299722479186,0.9398704902867715,0.9185938945420906,0.07955596669750231,0.0018501387604070243,0.9398704902867715,0.05642923219241443,0.9495837187789085,0.0185013876040703,0.006475485661424603,0.4227567067530065,0.4227567067530065,0.27655802146739705,0.265987677286852,0.3792784458834413,0.38390379278445885,0.00046253469010175765,0.07251823016345,0.4818203014207041,0,0
class,2,Comb_hair,54,1301,0.9769408147578785,0.9423520368946964,0.9761721752498078,0.9415833973866257,0.9423520368946964,0.03458877786318216,0.023059185242121437,0.9415833973866257,0.034588777863182166,0.9523443504996156,0.006533435818601072,0.15833973866256726,0.6179861644888547,0.6179861644888547,0.3272234001891744,0.3825820786343368,0.5626441199077633,0.47501921598770175,0.0,0.04366549316236743,0.4884744524543419,0,0
class,3,Take_off_clothes,41,1231,0.9821283509341998,0.9902518277822908,0.9512591389114541,0.9520714865962632,0.9740048740861088,0.024370430544272945,0.0016246953696181928,0.9155158407798538,0.07229894394800974,0.9508529650690496,0.0008123476848090979,0.019496344435418343,0.29000812347684807,0.29000812347684807,0.13480518913239986,0.21521583554477927,0.2826969943135662,0.15678310316815597,0.002030869212022744,0.027052890024791724,0.48356771791107184,0,0
class,4,Wipe_hands,70,1626,0.9969249692496925,0.992619926199262,0.9969249692496925,0.993849938499385,0.992619926199262,0.004305043050430501,0.0030750307503075013,0.993849938499385,0.0030750307503075026,0.9935424354243543,0.0018450184501844985,0.0006150061500615,0.9194341943419434,0.9194341943419434,0.4521634540077285,0.5010431947147641,0.8351783517835178,0.7638376383763837,0.0,0.06881777156627794,0.48609017768615875,0,0
class,5,Put_on_clothes,54,3311,0.9565086076713983,0.9347629115070976,0.9417094533373603,0.8731501057082452,0.9266082754454847,0.03805496828752641,0.03533675626698881,0.8628813047417698,0.08909694956206585,0.904862579281184,0.002567200241618835,0.19873150105708245,0.279371790999698,0.279371790999698,0.15689246718440122,0.18867247060224818,0.23376623376623376,0.18785865297493204,0.002114164904862571,0.045752075916801395,0.48141191351165297,0,0
class,6,Drink_water,120,3279,0.9862763037511436,0.984141506556877,0.9856663616956389,0.9813967673071058,0.984141506556877,0.002134797194266543,0.013723696248856358,0.9807868252516011,0.0054894784995425435,0.9827691369319914,0.0007624275693809082,0.19304666056724612,0.5559621835925587,0.5559621835925587,0.2707555680794908,0.37047255318581684,0.5202805733455321,0.41110094541018605,0.018450747179017988,0.03558770708595468,0.4818658103809083,0,0
class,7,Eat_food,154,3856,0.9961099585062241,0.9937759336099585,0.9961099585062241,0.9940352697095436,0.9937759336099585,0.0023340248962655592,0.003890041493775933,0.9940352697095436,0.002074688796680497,0.9944242738589212,0.0006483402489626551,0.11903526970954356,0.7051348547717843,0.7051348547717843,0.2714123389721946,0.3724510108070291,0.5557572614107884,0.3822614107883817,0.005446058091286306,0.03448575544709631,0.4861991631091259,0,0
class,8,Take_and_use_tableware,96,2804,0.989657631954351,0.9696861626248217,0.9885877318116976,0.9579172610556348,0.9696861626248217,0.019971469329529243,0.01034236804564907,0.9579172610556348,0.030670470756062766,0.9723609129814551,0.0008915834522111257,0.05064194008559201,0.4985734664764622,0.4985734664764622,0.2713979782743029,0.27621678195490096,0.36590584878744653,0.37089871611982883,0.011233951497860196,0.043360679474168974,0.4782590472302831,0,0
class,9,Pour_drinks,130,3997,0.9899924943707781,0.9842381786339754,0.9899924943707781,0.9737302977232924,0.9842381786339754,0.005754315736802598,0.010007505629221916,0.9737302977232924,0.016262196647485606,0.9804853640230172,0.001376032024018011,0.00350262697022767,0.5849387040280211,0.5849387040280211,0.303009110208642,0.32644908599057326,0.48436327245434074,0.46960220165123845,0.0010007505629221905,0.03840384436228367,0.4814532223659245,0,0
class,10,Stir_drinks,116,2747,0.995995631598107,0.9952675646159447,0.995995631598107,0.9949035311248635,0.9952675646159447,0.0007280669821623581,0.004004368401892974,0.9949035311248635,0.0010921004732435385,0.995085547870404,0.0003640334910811791,0.005824535857298871,0.5744448489261011,0.5744448489261011,0.24091315750693099,0.293718318223701,0.4113578449217328,0.31088460138332724,0.0,0.04649031840259368,0.4806672447392582,0,0
class,11,Peel_fruits,106,3966,0.9798285426122038,0.9793242561775088,0.9798285426122038,0.9788199697428139,0.9793242561775088,0.000504286434694905,0.020171457387796268,0.9788199697428139,0.0010085728693898118,0.9793242561775088,0.0,0.00151285930408472,0.8552697932425618,0.8552697932425618,0.2832560479186336,0.4329447162284061,0.705748865355522,0.41427130610186585,0.0,0.03569614349331832,0.4883876656319719,0,0
class,12,Sweep_the_floor,59,3812,0.9756033578174187,0.9774396642182581,0.965897166841553,0.9651101783840503,0.9682581322140609,0.016526757607555082,0.01521511017838405,0.9480587618048268,0.034889821615949626,0.9652413431269675,0.0002623294858342063,0.025708289611752352,0.2439664218258132,0.2439664218258132,0.15452008316843857,0.17571253845563323,0.21825813221406087,0.2088142707240294,0.02229800629590766,0.030766575771788478,0.4752358686528779,0,0
class,13,Mop_the_floor,55,2553,0.9949079514296906,0.9839404622013318,0.9858989424206815,0.982373678025852,0.982373678025852,0.014101057579318444,0.003525264394829611,0.9761065413239326,0.016059537798668224,0.981590285938112,0.002546024285154718,0.014884449667058354,0.3325499412455934,0.3325499412455934,0.19947214770322147,0.20500479049094467,0.29416372894633763,0.2788875832354093,0.017822169996083034,0.03343922425319735,0.47661909243311545,0,0
class,14,Wipe_bowls,35,1441,0.9805690492713394,0.9611380985426787,0.9722414989590562,0.9770992366412213,0.9611380985426787,0.01943095072866065,0.01943095072866065,0.9687716863289383,0.0117973629424011,0.9659958362248439,0.00867453157529493,0.0,0.8521859819569744,0.8521859819569744,0.3422110257754303,0.4504153053641402,0.6696738376127689,0.5128383067314365,0.0,0.04956787772861865,0.4873599295687295,0,0
class,15,Wipe_windows_and_tables,52,1973,0.9589457678661936,0.9330968068930563,0.9204257475924987,0.9082615306639635,0.9310694374049671,0.02990369994931575,0.039026862645717184,0.8813988849467815,0.06588950836289913,0.9082615306639635,0.006082108464267605,0.013684744044602121,0.49822605169792195,0.49822605169792195,0.3075057251809134,0.3340697418235348,0.4161175874303092,0.46021287379624937,0.004561581348200708,0.026881266462730324,0.47142321677209154,0,0
class,16,Fold_clothes,21,1148,0.9982578397212544,0.9982578397212544,0.9939024390243902,0.9973867595818815,0.9973867595818815,0.0017421602787456394,0.0008710801393728222,0.9921602787456446,0.00696864111498257,0.9956445993031359,0.0,0.07229965156794423,0.5287456445993032,0.5287456445993032,0.2724470737867239,0.3258605270682208,0.48519163763066203,0.41202090592334495,0.0,0.023278738541580454,0.4921527354611337,0,0
class,17,Tap_the_keyboard,86,3369,0.9260908281389136,0.9249035322054022,0.9260908281389136,0.9240130602552686,0.9249035322054022,0.0011872959335114254,0.07390917186108638,0.9240130602552686,0.002077767883644996,0.9249035322054022,0.00014841199168892847,0.005342831700801425,0.5701988720688632,0.5701988720688632,0.2232633092647335,0.330403931748784,0.4784802612051054,0.26031463342238054,0.0,0.016852653158989154,0.4918419118150906,0,0
class,18,Write,38,1169,0.9264328485885372,0.9187339606501284,0.9264328485885372,0.913601368691189,0.9187339606501284,0.0076988879384088885,0.07356715141146279,0.913601368691189,0.012831479897348154,0.91830624465355,0.0017108639863130863,0.03678357570573139,0.5560307955517536,0.5560307955517536,0.24466834682333893,0.3793170383348232,0.5543199315654406,0.31736526946107785,0.0,0.016297978934592075,0.4899859187233846,0,0
class,19,Make_a_phone_call,43,1451,0.9972432804962095,0.9965541006202618,0.9972432804962095,0.9965541006202618,0.9965541006202618,0.0006891798759476221,0.0027567195037904862,0.9965541006202618,0.0006891798759476221,0.9968986905582357,0.0,0.06409372846312887,0.4789800137835975,0.4789800137835975,0.1661688607156554,0.29714843096194865,0.5210199862164024,0.23569951757408683,0.0,0.017528563883087506,0.4900330218835012,0,0
class,20,Check_the_time,94,1451,0.9703652653342523,0.9703652653342523,0.9703652653342523,0.9703652653342523,0.9703652653342523,0.0,0.029634734665747762,0.9703652653342523,0.0,0.9703652653342523,0.0,0.14334941419710545,0.44245348035837356,0.44245348035837356,0.1555208729035956,0.2733913970117359,0.4183321847002068,0.1881461061337009,0.0006891798759476217,0.019167340931466225,0.48799702824207775,0,0
class,21,Read_documents,71,2797,0.9831962817304255,0.9674651412227386,0.9831962817304255,0.9503038970325348,0.9674651412227386,0.015731140507686803,0.016803718269574542,0.9503038970325348,0.03289238469789059,0.9660350375402217,0.0007150518412584873,0.0017876296031462272,0.551662495530926,0.551662495530926,0.18498688706841657,0.3276195008894301,0.5087593850554165,0.1944941008223096,0.0,0.01663716691153613,0.48965421134353715,0,0
class,22,Turn_pages,59,2071,0.9439884113954611,0.9290197971994205,0.9435055528730082,0.9227426364075326,0.9290197971994205,0.014968614196040557,0.05601158860453887,0.9222597778850796,0.02172863351038145,0.9321583775953646,0.0009657170449058385,0.013520038628681792,0.607436021245775,0.607436021245775,0.2400041149387256,0.4071233306464977,0.5818445195557702,0.3051665861902463,0.0,0.017288212157462696,0.48914423046114386,0,0
class,23,Listen_to_music_with_headphones,75,2817,0.9755058572949947,0.9779907703230387,0.9726659566915158,0.9747958821441249,0.9737309194178204,0.006034788782392616,0.020234291799787,0.972310969116081,0.002839900603478876,0.9728434504792333,0.0008874689385871492,0.3134540291089812,0.42314518991835287,0.42314518991835287,0.1850603560521259,0.29531797926501363,0.40823571175008877,0.27689030883919064,0.001419950301739439,0.01995624540909924,0.4888509851442316,0,0
class,24,Use_a_mobile_phone,48,1535,0.9869706840390879,0.9830618892508143,0.9856677524429968,0.9817589576547231,0.9830618892508143,0.003908794788273613,0.013029315960912046,0.9804560260586319,0.006514657980456021,0.9830618892508143,0.0006514657980456019,0.013680781758957655,0.7061889250814333,0.7061889250814333,0.18571538880637298,0.4192826134422703,0.7120521172638437,0.2280130293159609,0.000651465798045602,0.015296146951627898,0.4854352488774042,0,0
class,25,Watch_TV,12,459,0.971677559912854,0.971677559912854,0.971677559912854,0.971677559912854,0.971677559912854,0.0,0.028322440087145958,0.971677559912854,0.0,0.971677559912854,0.0,0.0,0.4553376906318083,0.4553376906318083,0.23309395187544535,0.36700866337267535,0.5577342047930284,0.3747276688453159,0.0,0.01912133915913905,0.49224849632882345,0,0
class,26,Play_games,40,1384,0.9848265895953757,0.9732658959537572,0.9848265895953757,0.9725433526011561,0.9732658959537572,0.011560693641618497,0.015173410404624277,0.9725433526011561,0.012283236994219654,0.9786849710982659,0.0,0.00722543352601156,0.8251445086705202,0.8251445086705202,0.19921052920942045,0.4571054389823181,0.7355491329479769,0.24855491329479767,0.0,0.015161465186702612,0.4888646684107725,0,0
class,27,Take_a_selfie,41,1284,0.8940809968847352,0.8940809968847352,0.8933021806853583,0.8940809968847352,0.8940809968847352,0.0,0.1059190031152648,0.8933021806853583,0.0007788161993769457,0.8936915887850467,0.0,0.06542056074766354,0.5038940809968847,0.5038940809968847,0.25055764897160127,0.3211165629806614,0.45794392523364486,0.34034267912772587,0.0,0.02499785333817399,0.4917057317344687,0,0
class,28,Jog_in_place,37,1375,1.0,0.9949090909090909,1.0,0.9963636363636363,0.9949090909090909,0.0050909090909090895,0.0,0.9963636363636363,0.0036363636363636338,0.9974545454545455,0.0007272727272727263,0.007272727272727269,0.3970909090909091,0.3970909090909091,0.09246291557902635,0.17296569339346815,0.21309090909090905,0.08072727272727272,0.0018181818181818173,0.02216470340368418,0.48735806666721,0,0
class,29,Do_squats,77,2446,0.9877350776778414,0.9922322158626329,0.9803761242845462,0.9926410466067048,0.9869174161896974,0.006132461161079309,0.006950122649223217,0.9795584627964022,0.013900245298446438,0.9858953393295176,0.0006132461161079307,0.1713000817661488,0.2812755519215045,0.2812755519215045,0.13829769770389108,0.15689122770396882,0.19174161896974654,0.17457072771872445,0.00020441537203597687,0.02496513812966452,0.490839156123428,0,0
class,30,Do_jumping_jacks,44,1401,0.9992862241256245,0.9992862241256245,0.9814418272662384,0.9992862241256245,0.9985724482512491,0.0014275517487508898,0.0,0.9807280513918629,0.019271948608137034,0.9903640256959315,0.0,0.044967880085653084,0.09493219129193434,0.09493219129193434,0.06363422014294516,0.05098684762004922,0.05710206995003567,0.08279800142755173,0.00856531049250535,0.03524071140896837,0.48519060096512684,0,0
