class_id,action_name,train_support,val_support,base_precision,base_recall,base_f1,final_precision,final_recall,final_f1,delta_precision,delta_recall,delta_f1,base_true_rank_mean,final_true_rank_mean,delta_true_rank,rescued_count,harmed_count,net_rescue,top_confusion_base,top_confusion_final
0,Wash_face,32,12,0.75,1.0,0.8571428571428571,0.75,1.0,0.8571428571428571,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,,
1,Brush_teeth,36,12,0.6666666666666666,0.5,0.5714285714285714,0.6666666666666666,0.5,0.5714285714285714,0.0,0.0,0.0,2.3333333333333335,1.8333333333333333,-0.5000000000000002,0,0,0,2:Comb_hair (2),2:Comb_hair (2)
2,Comb_hair,45,9,0.2727272727272727,0.3333333333333333,0.3,0.10344827586206896,0.3333333333333333,0.15789473684210525,-0.16927899686520376,0.0,-0.14210526315789473,2.6666666666666665,2.5555555555555554,-0.11111111111111116,0,0,0,5:Put_on_clothes (3),5:Put_on_clothes (3)
3,Take_off_clothes,30,11,0.1111111111111111,0.09090909090909091,0.1,0.1111111111111111,0.09090909090909091,0.1,0.0,0.0,0.0,5.818181818181818,5.2727272727272725,-0.5454545454545459,0,0,0,5:Put_on_clothes (3),5:Put_on_clothes (3)
4,Wipe_hands,55,15,0.5714285714285714,0.5333333333333333,0.5517241379310345,0.5714285714285714,0.5333333333333333,0.5517241379310345,0.0,0.0,0.0,2.4,2.066666666666667,-0.33333333333333304,0,0,0,0:Wash_face (4),0:Wash_face (4)
5,Put_on_clothes,39,15,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,4.866666666666666,4.6,-0.2666666666666666,0,0,0,31:Do_stretching_exercises (3),31:Do_stretching_exercises (3)
6,Drink_water,107,13,0.3333333333333333,0.5384615384615384,0.4117647058823529,0.42857142857142855,0.46153846153846156,0.4444444444444444,0.09523809523809523,-0.07692307692307687,0.0326797385620915,4.538461538461538,6.461538461538462,1.9230769230769234,0,1,-1,12:Sweep_the_floor (2),7:Eat_food (2)
7,Eat_food,122,32,0.5238095238095238,0.34375,0.41509433962264153,0.4,0.375,0.3870967741935484,-0.12380952380952381,0.03125,-0.027997565429093152,5.09375,7.03125,1.9375,1,0,1,11:Peel_fruits (10),11:Peel_fruits (7)
8,Take_and_use_tableware,82,14,0.0,0.0,0.0,0.2857142857142857,0.42857142857142855,0.34285714285714286,0.2857142857142857,0.42857142857142855,0.34285714285714286,6.857142857142857,6.714285714285714,-0.14285714285714235,6,0,6,14:Wipe_bowls (4),15:Wipe_windows_and_tables (2)
9,Pour_drinks,114,16,0.4444444444444444,0.5,0.47058823529411764,0.34615384615384615,0.5625,0.42857142857142855,-0.09829059829059827,0.0625,-0.04201680672268909,2.875,2.4375,-0.4375,1,0,1,10:Stir_drinks (3),8:Take_and_use_tableware (2)
10,Stir_drinks,100,16,0.23529411764705882,0.25,0.24242424242424243,0.46153846153846156,0.375,0.41379310344827586,0.22624434389140274,0.125,0.17136886102403343,4.25,5.1875,0.9375,2,0,2,9:Pour_drinks (5),9:Pour_drinks (4)
11,Peel_fruits,88,18,0.17142857142857143,0.3333333333333333,0.22641509433962265,0.2692307692307692,0.3888888888888889,0.3181818181818182,0.09780219780219779,0.05555555555555558,0.09176672384219553,4.944444444444445,4.444444444444445,-0.5,2,1,1,10:Stir_drinks (5),10:Stir_drinks (3)
12,Sweep_the_floor,50,9,0.25,0.1111111111111111,0.15384615384615385,0.25,0.1111111111111111,0.15384615384615385,0.0,0.0,0.0,4.888888888888889,4.222222222222222,-0.666666666666667,0,0,0,13:Mop_the_floor (5),13:Mop_the_floor (5)
13,Mop_the_floor,49,6,0.25,0.5,0.3333333333333333,0.25,0.5,0.3333333333333333,0.0,0.0,0.0,8.833333333333334,7.833333333333333,-1.0000000000000009,0,0,0,39:Take_body_temperature (2),2:Comb_hair (3)
14,Wipe_bowls,29,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,-0.16666666666666666,-0.16666666666666666,-0.16666666666666666,6.666666666666667,12.666666666666666,5.999999999999999,0,1,-1,37:Take_medicine (2),2:Comb_hair (1)
15,Wipe_windows_and_tables,43,9,0.25,0.6666666666666666,0.36363636363636365,0.25,0.6666666666666666,0.36363636363636365,0.0,0.0,0.0,6.555555555555555,5.777777777777778,-0.7777777777777777,0,0,0,31:Do_stretching_exercises (2),31:Do_stretching_exercises (2)
16,Fold_clothes,12,9,1.0,0.1111111111111111,0.2,1.0,0.1111111111111111,0.2,0.0,0.0,0.0,8.11111111111111,6.777777777777778,-1.333333333333333,0,0,0,28:Jog_in_place (3),28:Jog_in_place (3)
17,Tap_the_keyboard,69,17,0.42857142857142855,0.5294117647058824,0.47368421052631576,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.10084033613445381,0.0,0.055727554179566596,5.294117647058823,4.588235294117647,-0.7058823529411766,0,0,0,9:Pour_drinks (2),9:Pour_drinks (3)
18,Write,27,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.181818181818182,5.636363636363637,-1.545454545454545,0,0,0,26:Play_games (5),21:Read_documents (3)
19,Make_a_phone_call,35,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.25,15.75,2.5,0,0,0,5:Put_on_clothes (2),5:Put_on_clothes (2)
20,Check_the_time,82,12,0.08333333333333333,0.16666666666666666,0.1111111111111111,0.07692307692307693,0.16666666666666666,0.10526315789473684,-0.006410256410256401,0.0,-0.005847953216374269,5.5,4.166666666666667,-1.333333333333333,0,0,0,8:Take_and_use_tableware (3),8:Take_and_use_tableware (3)
21,Read_documents,56,15,1.0,0.2,0.3333333333333333,0.4375,0.4666666666666667,0.45161290322580644,-0.5625,0.26666666666666666,0.11827956989247312,8.4,11.266666666666667,2.866666666666667,4,0,4,22:Turn_pages (4),11:Peel_fruits (3)
22,Turn_pages,50,9,0.3,0.3333333333333333,0.3157894736842105,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.033333333333333326,0.0,0.017543859649122806,6.333333333333333,6.444444444444445,0.1111111111111116,1,1,0,11:Peel_fruits (2),15:Wipe_windows_and_tables (2)
23,Listen_to_music_with_headphones,58,17,0.3333333333333333,0.17647058823529413,0.23076923076923078,0.4166666666666667,0.29411764705882354,0.3448275862068966,0.08333333333333337,0.11764705882352941,0.11405835543766579,8.235294117647058,5.588235294117647,-2.6470588235294112,2,0,2,6:Drink_water (5),6:Drink_water (3)
24,Use_a_mobile_phone,32,16,0.125,0.0625,0.08333333333333333,0.375,0.1875,0.25,0.25,0.125,0.16666666666666669,5.75,8.3125,2.5625,2,0,2,11:Peel_fruits (6),7:Eat_food (3)
25,Watch_TV,6,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.833333333333334,32.166666666666664,18.33333333333333,0,0,0,6:Drink_water (2),7:Eat_food (3)
26,Play_games,28,12,0.2727272727272727,0.25,0.2608695652173913,0.5,0.16666666666666666,0.25,0.2272727272727273,-0.08333333333333334,-0.010869565217391297,8.166666666666666,15.583333333333334,7.416666666666668,1,2,-1,10:Stir_drinks (3),24:Use_a_mobile_phone (3)
27,Take_a_selfie,27,14,0.25,0.35714285714285715,0.29411764705882354,0.3333333333333333,0.2857142857142857,0.3076923076923077,0.08333333333333331,-0.07142857142857145,0.01357466063348417,8.285714285714286,12.357142857142858,4.071428571428571,0,1,-1,39:Take_body_temperature (3),20:Check_the_time (3)
28,Jog_in_place,26,11,0.5294117647058824,0.8181818181818182,0.6428571428571429,0.5,0.8181818181818182,0.6206896551724138,-0.02941176470588236,0.0,-0.022167487684729092,1.2727272727272727,1.2727272727272727,0.0,0,0,0,36:Walk (2),36:Walk (2)
29,Do_squats,62,15,0.7,0.4666666666666667,0.56,0.7,0.4666666666666667,0.56,0.0,0.0,0.0,4.533333333333333,4.066666666666666,-0.4666666666666668,0,0,0,3:Take_off_clothes (3),3:Take_off_clothes (3)
30,Do_jumping_jacks,38,6,0.5555555555555556,0.8333333333333334,0.6666666666666666,0.5555555555555556,0.8333333333333334,0.6666666666666666,0.0,0.0,0.0,1.1666666666666667,1.1666666666666667,0.0,0,0,0,31:Do_stretching_exercises (1),31:Do_stretching_exercises (1)
31,Do_stretching_exercises,67,18,0.375,0.5,0.42857142857142855,0.34615384615384615,0.5,0.4090909090909091,-0.028846153846153855,0.0,-0.01948051948051943,6.277777777777778,5.0,-1.2777777777777777,0,0,0,20:Check_the_time (4),20:Check_the_time (4)
32,Stand_up,60,24,0.7619047619047619,0.6666666666666666,0.7111111111111111,0.7619047619047619,0.6666666666666666,0.7111111111111111,0.0,0.0,0.0,1.7083333333333333,1.6666666666666667,-0.04166666666666652,0,0,0,36:Walk (4),36:Walk (4)
33,Lie_down,27,6,0.6,0.5,0.5454545454545454,0.6,0.5,0.5454545454545454,0.0,0.0,0.0,4.5,4.166666666666667,-0.33333333333333304,0,0,0,15:Wipe_windows_and_tables (2),15:Wipe_windows_and_tables (2)
34,Sit_down,115,31,0.75,0.7741935483870968,0.7619047619047619,0.75,0.7741935483870968,0.7619047619047619,0.0,0.0,0.0,1.3225806451612903,1.3225806451612903,0.0,0,0,0,29:Do_squats (3),29:Do_squats (3)
35,Do_lunges,21,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,12.4,-2.799999999999999,0,0,0,34:Sit_down (3),34:Sit_down (3)
36,Walk,260,71,0.8860759493670886,0.9859154929577465,0.9333333333333333,0.8860759493670886,0.9859154929577465,0.9333333333333333,0.0,0.0,0.0,1.0140845070422535,1.0140845070422535,0.0,0,0,0,32:Stand_up (1),32:Stand_up (1)
37,Take_medicine,51,17,0.08333333333333333,0.058823529411764705,0.06896551724137931,0.0,0.0,0.0,-0.08333333333333333,-0.058823529411764705,-0.06896551724137931,6.176470588235294,12.882352941176471,6.705882352941177,0,1,-1,27:Take_a_selfie (6),2:Comb_hair (7)
38,Massage_oneself,50,12,0.2727272727272727,0.25,0.2608695652173913,0.125,0.16666666666666666,0.14285714285714285,-0.1477272727272727,-0.08333333333333334,-0.11801242236024845,9.333333333333334,6.25,-3.083333333333334,0,1,-1,27:Take_a_selfie (3),2:Comb_hair (2)
39,Take_body_temperature,40,15,0.1875,0.2,0.1935483870967742,0.3333333333333333,0.06666666666666667,0.1111111111111111,0.14583333333333331,-0.13333333333333336,-0.08243727598566308,3.2666666666666666,6.133333333333334,2.866666666666667,0,2,-2,38:Massage_oneself (5),38:Massage_oneself (6)
