sample_id,true_class_id,true_action,base_prediction,base_prediction_action,base_confidence,final_prediction,final_prediction_action,final_confidence,outcome,selected_view_weights,two_hand_roi_valid,hand_head_roi_valid,valid_keypoint_pattern
train__c00__user23__1-1-1,0,Wash_face,0,Wash_face,0.9507269674996086,0,Wash_face,0.9585182764086226,retained_correct,"{""global_context"": 0.7598027074059774, ""left_interaction"": 0.012832988140194915, ""right_interaction"": 0.033610122148380724, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.19375421834546466}",True,False,L11_R11|padding
train__c00__user23__1-1-2,0,Wash_face,0,Wash_face,0.8656943447087642,0,Wash_face,0.8686956425963009,retained_correct,"{""global_context"": 0.883742984972502, ""left_interaction"": 0.0007148904137705502, ""right_interaction"": 0.009877936620461313, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.10566430342824835}",True,False,L11_R11|padding
train__c00__user23__1-1-3,0,Wash_face,0,Wash_face,0.8689241588032955,0,Wash_face,0.8700220724529122,retained_correct,"{""global_context"": 0.9705565770467123, ""left_interaction"": 0.0019275479846530491, ""right_interaction"": 0.010544300907187991, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.016971594757503934}",True,False,L11_R11|padding
train__c00__user24__6-2-1,0,Wash_face,0,Wash_face,0.8046191292567139,0,Wash_face,0.8211572771454133,retained_correct,"{""global_context"": 0.9998688834054129, ""left_interaction"": 4.871792293020657e-05, ""right_interaction"": 5.1812897436320784e-05, ""hand_head_union"": 0.0, ""two_hand_table_context"": 3.0674020360623084e-05}",True,False,L11_R11|padding
train__c00__user24__6-2-2,0,Wash_face,0,Wash_face,0.848068672204762,0,Wash_face,0.8590478084950586,retained_correct,"{""global_context"": 0.9786129731398362, ""left_interaction"": 0.005432807482205904, ""right_interaction"": 0.013291562979037944, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.0026628019718023446}",True,False,L11_R11|padding
train__c00__user24__6-2-3,0,Wash_face,0,Wash_face,0.8158219504184903,0,Wash_face,0.8184902179012514,retained_correct,"{""global_context"": 0.9951491636388442, ""left_interaction"": 0.00014254428884562324, ""right_interaction"": 0.0012203728889717774, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.0034879055969855364}",True,False,L11_R11|padding
train__c00__user24__7-1-1,0,Wash_face,0,Wash_face,0.8641504838626002,0,Wash_face,0.8815198471962569,retained_correct,"{""global_context"": 0.8986265120967742, ""left_interaction"": 0.003403887633354433, ""right_interaction"": 0.09313085002283897, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.004838710831057641}",True,False,L11_R11|padding
train__c00__user24__7-1-2,0,Wash_face,0,Wash_face,0.6296089334683564,0,Wash_face,0.6346159717481015,retained_correct,"{""global_context"": 0.8921353022257487, ""left_interaction"": 0.030215644836425783, ""right_interaction"": 0.07728517850240071, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.0003638868841032187}",True,False,L11_R11|padding
train__c00__user24__7-1-3,0,Wash_face,0,Wash_face,0.8258053278808936,0,Wash_face,0.8306403564285632,retained_correct,"{""global_context"": 0.8389670962379092, ""left_interaction"": 0.0031400596102078757, ""right_interaction"": 0.14276481810070218, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.01512799376533145}",True,False,L11_R11|padding
train__c00__user4__1-1-1,0,Wash_face,0,Wash_face,0.9558157513099951,0,Wash_face,0.9614929212657902,retained_correct,"{""global_context"": 0.8452608925955636, ""left_interaction"": 0.0036013626626559664, ""right_interaction"": 0.05981396493457612, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.09132380144936698}",True,False,L11_R11|padding
train__c00__user4__1-1-2,0,Wash_face,0,Wash_face,0.96009420218176,0,Wash_face,0.9655675462760949,retained_correct,"{""global_context"": 0.7932906945546468, ""left_interaction"": 0.015365625421206156, ""right_interaction"": 0.018966461221377056, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.1723771890004476}",True,False,L11_R11
train__c00__user4__1-1-3,0,Wash_face,0,Wash_face,0.9529856847906163,0,Wash_face,0.9595671648743834,retained_correct,"{""global_context"": 0.6092583440965221, ""left_interaction"": 0.06189037138415921, ""right_interaction"": 0.06904112139055806, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.25981017081968244}",True,False,L11_R11|padding
train__c01__user17__1-1-1,1,Brush_teeth,1,Brush_teeth,0.643003349944429,1,Brush_teeth,0.6530128712054075,retained_correct,"{""global_context"": 0.9349307060241699, ""left_interaction"": 0.00012846071040257813, ""right_interaction"": 0.0649407982826233, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.0}",False,False,L11_R10|L11_R11|padding
train__c01__user17__1-1-2,1,Brush_teeth,1,Brush_teeth,0.4550236461845078,1,Brush_teeth,0.4626587124433731,retained_correct,"{""global_context"": 0.2066865348815918, ""left_interaction"": 0.593537712097168, ""right_interaction"": 0.19977581024169921, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.0}",False,False,L11_R11|padding
train__c01__user17__1-1-3,1,Brush_teeth,2,Comb_hair,0.4723525406323319,2,Comb_hair,0.480166950351001,unchanged_wrong,"{""global_context"": 0.6176180044809977, ""left_interaction"": 0.03659538924694061, ""right_interaction"": 0.3457866907119751, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.0}",False,False,L11_R11|padding
train__c01__user23__1-1-1,1,Brush_teeth,2,Comb_hair,0.5419245598708387,2,Comb_hair,0.6949586946480423,unchanged_wrong,"{""global_context"": 0.17359481713710687, ""left_interaction"": 0.7548385033240685, ""right_interaction"": 0.07156671621860602, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.0}",False,False,L11_R11|padding
train__c01__user23__1-1-2,1,Brush_teeth,1,Brush_teeth,0.3017145760511584,1,Brush_teeth,0.3029273341163814,retained_correct,"{""global_context"": 0.8343987464904785, ""left_interaction"": 0.0018478985875844955, ""right_interaction"": 0.16375336050987244, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.0}",False,False,L11_R11|padding
train__c01__user23__1-1-3,1,Brush_teeth,5,Put_on_clothes,0.29908906382482214,5,Put_on_clothes,0.31107716286840476,unchanged_wrong,"{""global_context"": 0.9579554848048998, ""left_interaction"": 2.355317321970411e-05, ""right_interaction"": 0.04202114758284196, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.0}",False,False,L11_R11|padding
train__c01__user24__6-2-1,1,Brush_teeth,1,Brush_teeth,0.648380476042057,1,Brush_teeth,0.6614310854185332,retained_correct,"{""global_context"": 0.9976507333608774, ""left_interaction"": 0.002316172879475814, ""right_interaction"": 3.313078195787966e-05, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.0}",False,False,L11_R00|L11_R01|L11_R11|padding
train__c01__user24__6-2-2,1,Brush_teeth,1,Brush_teeth,0.5203741174592051,1,Brush_teeth,0.5438857377898314,retained_correct,"{""global_context"": 0.0017544255824759603, ""left_interaction"": 0.0003924775228369981, ""right_interaction"": 0.9205036759376526, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.07734940201044083}",True,False,L11_R11|padding
train__c01__user24__6-2-3,1,Brush_teeth,27,Take_a_selfie,0.1572451301380884,27,Take_a_selfie,0.31964203937402436,unchanged_wrong,"{""global_context"": 0.9956981539726257, ""left_interaction"": 5.32100159489346e-07, ""right_interaction"": 0.004059374798089266, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.0002419581142021343}",True,False,L11_R11|padding
train__c01__user24__7-1-1,1,Brush_teeth,1,Brush_teeth,0.5060576531186123,1,Brush_teeth,0.5158456450524227,retained_correct,"{""global_context"": 0.5593173503875732, ""left_interaction"": 0.002625349909067154, ""right_interaction"": 0.3935399055480957, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.0445173035065333}",True,False,L11_R11|padding
train__c01__user24__7-1-2,1,Brush_teeth,4,Wipe_hands,0.651201063721543,4,Wipe_hands,0.6812399625725873,unchanged_wrong,"{""global_context"": 0.3310558994611104, ""left_interaction"": 0.004752109758555889, ""right_interaction"": 0.6641919612884521, ""hand_head_union"": 0.0, ""two_hand_table_context"": 1.0912413491344827e-08}",True,False,L11_R11|padding
train__c01__user24__7-1-3,1,Brush_teeth,4,Wipe_hands,0.4016912500436889,4,Wipe_hands,0.41166117970119004,unchanged_wrong,"{""global_context"": 0.5408109937395368, ""left_interaction"": 0.024663754871913364, ""right_interaction"": 0.43310584340776714, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.0014194308647087642}",True,False,L11_R11|padding
train__c02__user17__1-1-1,2,Comb_hair,2,Comb_hair,0.5022296635541301,2,Comb_hair,0.5195383842636822,retained_correct,"{""global_context"": 0.37125110626220703, ""left_interaction"": 0.35095922152201336, ""right_interaction"": 0.18097170193990073, ""hand_head_union"": 0.0006221703564127287, ""two_hand_table_context"": 0.09619577725728352}",True,True,L11_R11
train__c02__user17__1-1-2,2,Comb_hair,1,Brush_teeth,0.6199336269893124,1,Brush_teeth,0.6291061246576218,unchanged_wrong,"{""global_context"": 0.68528751893477, ""left_interaction"": 0.039845845916054466, ""right_interaction"": 0.1852790659124201, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.08958757465535944}",True,False,L11_R11|padding
train__c02__user17__1-1-3,2,Comb_hair,1,Brush_teeth,0.619118918461529,1,Brush_teeth,0.6326488862612553,unchanged_wrong,"{""global_context"": 0.01889893270674206, ""left_interaction"": 0.6553470520746141, ""right_interaction"": 0.28517511912754606, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.04057889041446504}",True,False,L11_R11|padding
train__c02__user23__2-2-1,2,Comb_hair,5,Put_on_clothes,0.46739172666068274,5,Put_on_clothes,0.48162643583616177,unchanged_wrong,"{""global_context"": 0.1801454888449775, ""left_interaction"": 0.1935449176364475, ""right_interaction"": 0.3364939159817166, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.2898157437642415}",True,False,L11_R10|L11_R11|padding
train__c02__user23__2-2-2,2,Comb_hair,5,Put_on_clothes,0.6597145938033462,5,Put_on_clothes,0.668441018284149,unchanged_wrong,"{""global_context"": 0.5773697580610003, ""left_interaction"": 0.3765902519226074, ""right_interaction"": 0.04603981971740723, ""hand_head_union"": 0.0, ""two_hand_table_context"": 3.318561019633697e-07}",True,False,L11_R11|padding
train__c02__user23__2-2-3,2,Comb_hair,5,Put_on_clothes,0.3131203770131021,5,Put_on_clothes,0.33547497347064603,unchanged_wrong,"{""global_context"": 0.6971482276916504, ""left_interaction"": 0.09280220270156861, ""right_interaction"": 0.21004738807678222, ""hand_head_union"": 2.267511990794446e-06, ""two_hand_table_context"": 0.0}",False,True,L11_R11|padding
train__c02__user24__7-1-1,2,Comb_hair,2,Comb_hair,0.34317324412987105,2,Comb_hair,0.4088870807876973,retained_correct,"{""global_context"": 0.6037062498239371, ""left_interaction"": 0.0004103519738866733, ""right_interaction"": 0.39588337678175706, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.0}",False,False,L11_R00|L11_R01|L11_R11|padding
train__c02__user24__7-1-2,2,Comb_hair,2,Comb_hair,0.3579155452900208,2,Comb_hair,0.37633772668491644,retained_correct,"{""global_context"": 0.40258872509002686, ""left_interaction"": 0.13846537470817566, ""right_interaction"": 0.4589230716228485, ""hand_head_union"": 0.0, ""two_hand_table_context"": 2.2807140339864418e-05}",True,False,L11_R11|padding
train__c02__user24__7-1-3,2,Comb_hair,4,Wipe_hands,0.4671283046496248,4,Wipe_hands,0.4958852696714945,unchanged_wrong,"{""global_context"": 0.3082666794459025, ""left_interaction"": 0.00022306931593144932, ""right_interaction"": 0.6915028095245361, ""hand_head_union"": 0.0, ""two_hand_table_context"": 7.43012848640016e-06}",True,False,L11_R01|L11_R11|padding
train__c03__user17__6-1-1,3,Take_off_clothes,34,Sit_down,0.8238206645250712,34,Sit_down,0.8255382668965704,unchanged_wrong,"{""global_context"": 0.8318668267665765, ""left_interaction"": 0.03523853803292299, ""right_interaction"": 0.13286291024623773, ""hand_head_union"": 0.0, ""two_hand_table_context"": 3.1794501970020625e-05}",True,False,L11_R11|padding
train__c03__user17__6-1-2,3,Take_off_clothes,3,Take_off_clothes,0.2073662737381831,3,Take_off_clothes,0.20941927446094158,retained_correct,"{""global_context"": 0.8883804678916931, ""left_interaction"": 0.04839695990085602, ""right_interaction"": 0.05423549935221672, ""hand_head_union"": 1.018224884319352e-05, ""two_hand_table_context"": 0.008976878598332405}",True,True,L11_R11|padding
train__c03__user17__6-1-3,3,Take_off_clothes,28,Jog_in_place,0.41371343738750704,28,Jog_in_place,0.4186568928675241,unchanged_wrong,"{""global_context"": 0.8487851402976296, ""left_interaction"": 0.08880844983187589, ""right_interaction"": 0.061755608428608284, ""hand_head_union"": 0.0005691901526667855, ""two_hand_table_context"": 8.160306606441736e-05}",True,True,L11_R11|padding
train__c03__user23__4-3-1,3,Take_off_clothes,20,Check_the_time,0.7181595484147923,20,Check_the_time,0.6156323619813882,unchanged_wrong,"{""global_context"": 0.9999627431233724, ""left_interaction"": 3.164935430201392e-05, ""right_interaction"": 5.5578959290869536e-06, ""hand_head_union"": 0.0, ""two_hand_table_context"": 5.222976445414436e-08}",True,False,L11_R11|padding
train__c03__user23__4-3-2,3,Take_off_clothes,26,Play_games,0.2079329413795358,21,Read_documents,0.31312231194461126,changed_wrong,"{""global_context"": 0.9996546109517416, ""left_interaction"": 2.745941098207065e-07, ""right_interaction"": 0.0003409814089536667, ""hand_head_union"": 4.089727857111332e-06, ""two_hand_table_context"": 3.1585521235536853e-12}",True,True,L11_R11|padding
train__c03__user23__4-3-3,3,Take_off_clothes,20,Check_the_time,0.36584225119563407,20,Check_the_time,0.3173351155030061,unchanged_wrong,"{""global_context"": 0.9948555441463695, ""left_interaction"": 0.0020131698864347793, ""right_interaction"": 0.003128431737422943, ""hand_head_union"": 2.902321284636855e-06, ""two_hand_table_context"": 3.690684359432506e-08}",True,True,L11_R11|padding
train__c03__user23__5-2-1,3,Take_off_clothes,5,Put_on_clothes,0.44855598777387096,5,Put_on_clothes,0.4759357345463341,unchanged_wrong,"{""global_context"": 0.9139486948649088, ""left_interaction"": 0.07590820888678233, ""right_interaction"": 0.010142266750335693, ""hand_head_union"": 0.0, ""two_hand_table_context"": 8.890200812553909e-07}",True,False,L11_R11|padding
train__c03__user23__5-2-2,3,Take_off_clothes,5,Put_on_clothes,0.44887288429011724,5,Put_on_clothes,0.46758004747248316,unchanged_wrong,"{""global_context"": 0.8066184520721436, ""left_interaction"": 0.10181350509325664, ""right_interaction"": 0.04501081506411234, ""hand_head_union"": 0.0, ""two_hand_table_context"": 0.046557227770487465}",True,False,L11_R11|padding
