sample_id,class_id,action_name,original_frame_count,sampled_indices,used_padding,temporal_valid_count,full_trial_start_covered,full_trial_end_covered,center24_coverage_ratio,full48_coverage_ratio,attention_peak_position,attention_peak_sampled_frame,attention_entropy,attention_distribution,dilation_1_activation_norm,dilation_2_activation_norm,dilation_4_activation_norm,dilation_8_activation_norm,dilation_16_activation_norm
train__c00__user23__1-1-1,0,Wash_face,43,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 -1 -1 -1 -1 -1,True,43,True,True,0.5581395348837209,1.0,8,8,1.3796429e-06,"[4.23184360985292e-31, 2.8232623833641414e-34, 5.104578105875159e-31, 5.718563274400047e-29, 8.830459117034796e-23, 5.882354016680522e-23, 1.4402244138974718e-16, 1.115261388353662e-15, 0.9999998807907104, 1.0255752952610664e-14, 6.470153731362449e-13, 8.188916010707563e-18, 1.5808327850270473e-20, 8.905033563954933e-19, 5.132212222223283e-21, 6.059951016957623e-20, 2.651384537186253e-23, 1.5544665674754123e-28, 2.4877725156904387e-31, 2.5239333147355367e-39, 9.809754555207188e-25, 3.712169971215076e-19, 1.9068482520063503e-20, 4.477731831987497e-19, 7.90612485843285e-31, 1.5817769866223642e-16, 1.1499767313623655e-19, 1.8454007382447697e-17, 5.8068112088447045e-18, 2.38670041055105e-21, 2.835969870420089e-17, 2.747075296121058e-21, 7.674231028431677e-08, 5.448415698640352e-13, 8.636209863834444e-15, 1.3855723512978813e-10, 8.497241793772416e-19, 7.467325320002008e-21, 1.1517090275010686e-22, 2.210662188378613e-24, 2.2139924417272014e-27, 4.653324819108652e-23, 1.4030687633325606e-21, 0.0, 0.0, 0.0, 0.0, 0.0]",1.7432438,2.01213,2.1201332,2.3764923,2.6499343
train__c00__user23__1-1-2,0,Wash_face,19,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,True,19,True,True,1.0,1.0,17,17,0.5766977,"[2.802213588634323e-20, 8.315644350886942e-08, 0.014864310622215271, 0.0041276696138083935, 1.3007855841351557e-06, 5.144706847204361e-06, 1.138325891880676e-10, 0.1648792028427124, 0.004533358849585056, 5.308017080096761e-06, 7.658442213731576e-10, 6.144475719338516e-07, 3.623041807971489e-13, 7.913450710689274e-13, 1.5761483203389614e-15, 6.625851343283751e-12, 1.642384348638469e-14, 0.8115638494491577, 1.911490471684374e-05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.4858984,1.8124336,1.8805579,2.1009932,2.315104
train__c00__user23__1-1-3,0,Wash_face,18,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,True,18,True,True,1.0,1.0,17,17,0.0019684879,"[8.751974809647755e-16, 1.8317541494033973e-13, 1.755236928024928e-11, 2.745652316615832e-10, 3.106551957898773e-07, 8.20935225180619e-13, 1.7181855938019908e-10, 1.0421321444686882e-10, 1.146282504679852e-13, 1.5981613601945277e-11, 4.826029983626134e-13, 1.7957886222432114e-15, 3.456266306142708e-12, 1.985952557959081e-08, 1.5466612879322383e-08, 1.8842192162082938e-07, 0.00020662971655838192, 0.9997928738594055, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1.5659314,1.8112597,1.8660058,2.143056,2.3757422
train__c00__user24__6-2-1,0,Wash_face,35,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,True,35,True,True,0.6857142857142857,1.0,14,14,0.9705274,"[4.389653536965274e-18, 4.303464651709093e-20, 1.8908104800869115e-21, 4.346345565416871e-19, 3.0773845174271604e-16, 2.396669401041998e-16, 7.530112059069005e-14, 3.408389239248355e-12, 2.7345981035153955e-09, 4.229057140037185e-06, 2.6728466764325276e-05, 1.1032155953216716e-06, 0.0005368556012399495, 0.3684200942516327, 0.5195556282997131, 0.00026164253358729184, 2.539746333241055e-07, 4.752018223364018e-10, 4.605814063474156e-10, 2.5184776139552945e-11, 3.003368442833221e-09, 1.4615231975767529e-06, 5.963926923868712e-06, 4.944269221596187e-06, 0.0021907060872763395, 2.4336546630365774e-05, 4.320254163303616e-07, 6.023353125783615e-05, 4.187333786376257e-07, 1.5893327542926272e-07, 3.978816831562426e-09, 3.66436325727193e-11, 9.35727953454979e-11, 9.05574424336919e-08, 0.10890477150678635, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.4024827,3.47237,3.364211,3.550971,3.7237766
train__c00__user24__6-2-2,0,Wash_face,26,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,True,26,True,True,0.9230769230769232,1.0,24,24,0.9209065,"[1.3133899650734089e-16, 6.32826742871513e-15, 5.225929533554614e-28, 7.336536271371296e-19, 1.5531448204146527e-18, 1.867818616788086e-12, 1.3356670436337481e-08, 2.549165101228823e-09, 1.252855781785911e-05, 1.2945728933289047e-08, 6.045690383871261e-07, 0.02487853355705738, 0.15239949524402618, 0.019375421106815338, 0.005380359943956137, 0.0014035508502274752, 0.0003439549182076007, 0.00036613811971619725, 1.559204247314483e-05, 8.169646025635302e-05, 0.00010490031854715198, 0.06762686371803284, 0.00010167288564844057, 5.986044016026426e-08, 0.7270573377609253, 0.0008512965869158506, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.3571143,2.5511494,2.5198762,2.687677,2.852374
train__c00__user24__6-2-3,0,Wash_face,17,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,True,17,True,True,1.0,1.0,7,7,0.00855491,"[4.913301878103193e-19, 1.0066277188024034e-15, 1.6482293146264638e-22, 6.554164329319878e-12, 9.616786655897158e-08, 1.1832381460408214e-05, 0.00043034617556259036, 0.9990798234939575, 9.306889114668593e-05, 0.00017387558182235807, 1.286711835746246e-06, 4.740678960502009e-10, 2.966641099444445e-10, 8.250474278380035e-14, 8.971974571158996e-15, 4.6868478875694564e-08, 0.00020973398932255805, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.0240257,2.2134469,2.2363322,2.4819462,2.6908286
train__c00__user24__7-1-1,0,Wash_face,31,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,True,31,True,True,0.7741935483870968,1.0,1,1,0.00027109732,"[2.616460506033036e-07, 0.9999768733978271, 2.163947226078009e-23, 1.4872577661861747e-23, 3.0260991287839727e-27, 4.5810762042430806e-23, 8.120152475884713e-22, 2.2827991415397264e-05, 3.658901306935469e-11, 9.08317170651578e-17, 1.0292581892217722e-16, 9.385620329969414e-20, 1.785892228100671e-14, 1.8794852826853337e-12, 9.45064447706312e-13, 4.187390711951622e-10, 1.0379504330679246e-12, 4.515442856320266e-15, 8.003814218381436e-14, 4.515442856320266e-15, 1.785892228100671e-14, 3.78642951100108e-17, 1.1530587513172274e-14, 4.861871840799648e-17, 3.7490728764853275e-18, 7.00418988710094e-18, 2.026729647300479e-17, 7.144468800205847e-16, 9.173679162163373e-16, 4.5989492769571427e-10, 5.050957985197613e-10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.8394785,3.867652,3.802496,4.0530477,4.2213945
train__c00__user24__7-1-2,0,Wash_face,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,True,15,True,True,1.0,1.0,7,7,0.45847404,"[3.7944079657941743e-16, 6.274783413164408e-22, 9.12975559504829e-22, 1.041704411939388e-14, 3.564516606464457e-16, 0.047878772020339966, 7.067578744468506e-10, 0.8756112456321716, 2.6600852868086805e-14, 2.6078561553139726e-16, 1.2197104868436352e-17, 3.392116230786164e-21, 2.0716767399329462e-14, 3.9089667917477366e-13, 0.07651005685329437, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.1479676,3.208631,3.1747293,3.3352568,3.4687324
train__c00__user24__7-1-3,0,Wash_face,21,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1,True,21,True,True,1.0,1.0,5,5,6.620452e-05,"[5.01473505210015e-06, 8.17910276647468e-26, 8.317832936354565e-18, 1.5946710532141007e-27, 1.259199450438786e-13, 0.9999949932098389, 2.9998787357615257e-20, 1.0265020596098973e-21, 1.7487693372297378e-24, 1.0712510211847878e-23, 2.9998787357615257e-20, 5.604511187799608e-20, 6.288087268341035e-21, 1.819518497277351e-20, 1.0133194114346104e-16, 4.100347867357283e-20, 6.350743130126372e-20, 4.995247042473642e-19, 8.426042316452916e-23, 2.254224411302186e-11, 7.391318113114664e-11, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",3.4829836,3.5377731,3.5012095,3.709331,3.8642147
train__c00__user4__1-1-1,0,Wash_face,42,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 -1 -1 -1 -1 -1 -1,True,42,True,True,0.5714285714285714,1.0,35,35,0.17131093,"[1.2998460902265474e-19, 3.761229536357713e-19, 4.892343362503377e-24, 7.333229972301785e-21, 1.2978909826743293e-16, 4.926238734729339e-17, 6.315901848828048e-14, 5.074969104353934e-14, 2.3395880077714537e-07, 2.551854804940315e-14, 1.578776605976051e-12, 6.800462250546274e-16, 8.109778040082949e-14, 2.1546857631449257e-09, 8.28465985050486e-15, 0.040533728897571564, 1.9291426836622906e-17, 2.3269904193929403e-17, 8.658842641674131e-20, 2.3501770860561897e-16, 3.4194876252355755e-16, 5.933240145939225e-14, 8.906848240723686e-14, 3.7929936325304964e-15, 1.7686739572919663e-10, 1.32189337601063e-11, 1.5988182440196397e-06, 6.4423947947200855e-12, 7.938587395957264e-13, 5.733406283070508e-08, 3.2443191471005772e-15, 3.7442826616995717e-10, 2.0241399667497717e-09, 2.1579320361869714e-12, 0.00017091043991968036, 0.9592933654785156, 4.613861723234969e-11, 2.1155618557433704e-14, 4.390708837447157e-16, 3.221996470687306e-22, 3.4932260784587986e-17, 9.864871142184484e-10, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2.9558485,3.0302458,2.9732122,3.2401073,3.421632
