mode,control,n,mean,std,p05,median,p95
25d,different_action,2085,0.7069294285219496,0.08851341360077629,0.5460697603165722,0.7177785418089443,0.8371739885392652
25d,left_right_swap,2085,0.7256718756635419,0.08792741169113104,0.5634822011121362,0.7357458302028861,0.8449862987267207
25d,positive_same_trial,2085,0.7712888921189014,0.09742092192779919,0.5864013187444618,0.7895922752601165,0.8929870608163204
25d,same_action_other_trial,2072,0.7430886288405806,0.09487709946386932,0.5686004241337487,0.753842413956133,0.8732405275701965
25d,time_shuffle,2085,0.7609267960125103,0.09613079943947261,0.5805643648710863,0.7775048862822351,0.8857623883558681
2d,different_action,2117,0.7151263883005673,0.08359020427081092,0.5706180287790087,0.7183320138999004,0.8463530920081039
2d,left_right_swap,2117,0.7571330836293491,0.07330154646071999,0.6359056726386867,0.7583934149864253,0.8726383454513776
2d,positive_same_trial,2117,0.8771556557806358,0.0477061113474924,0.8002506154492071,0.886288877074012,0.9301048715490666
2d,same_action_other_trial,2104,0.8024732357842362,0.09063627244766269,0.6158305905239344,0.8263507932403347,0.9068870257293357
2d,time_shuffle,2117,0.8441984377900259,0.06157517114174497,0.7443307147653674,0.8537687289699586,0.9164904677257577
