sample_id,reason
train__c20__user1__3-2-3,only 4 common frames
train__c23__user1__5-1-3,only 7 common frames
train__c21__user16__4-1-3,only 4 common frames
train__c21__user16__7-3-3,only 4 common frames
train__c36__user16__3-1-1,only 5 common frames
train__c00__user18__7-1-3,only 3 common frames
train__c01__user18__7-1-3,only 5 common frames
train__c02__user18__7-1-3,only 6 common frames
train__c04__user18__7-1-3,only 5 common frames
train__c06__user18__6-2-3,only 5 common frames
train__c09__user18__4-2-1,only 6 common frames
train__c09__user18__4-2-2,only 4 common frames
train__c09__user18__7-2-2,only 6 common frames
train__c09__user18__7-2-3,only 4 common frames
train__c18__user18__4-1-2,only 3 common frames
train__c18__user18__6-2-2,only 6 common frames
train__c20__user18__6-2-2,only 7 common frames
train__c32__user18__5-1-1,only 7 common frames
train__c32__user18__5-1-2,only 6 common frames
train__c32__user18__6-2-1,only 6 common frames
train__c32__user18__6-2-2,only 6 common frames
train__c34__user18__4-1-2,only 6 common frames
train__c34__user18__4-1-3,only 7 common frames
train__c37__user18__7-1-1,only 6 common frames
train__c37__user18__7-1-2,only 4 common frames
train__c37__user18__7-1-3,only 5 common frames
train__c37__user18__7-2-2,only 4 common frames
train__c37__user18__7-2-3,only 4 common frames
train__c01__user19__1-1-2,only 7 common frames
train__c10__user19__3-2-2,only 7 common frames
train__c10__user19__3-2-3,only 6 common frames
train__c20__user19__4-1-3,only 7 common frames
train__c20__user19__5-3-3,only 5 common frames
train__c21__user19__4-1-1,only 5 common frames
train__c21__user19__4-1-3,only 5 common frames
train__c26__user19__6-2-2,only 6 common frames
train__c33__user19__3-3-3,only 7 common frames
train__c34__user19__6-1-2,only 7 common frames
train__c36__user19__1-2-2,only 6 common frames
train__c36__user19__3-3-1,only 7 common frames
train__c36__user19__3-3-2,only 5 common frames
train__c36__user19__4-2-3,only 7 common frames
train__c36__user19__4-3-3,only 7 common frames
train__c07__user2__1-2-2,only 7 common frames
train__c07__user2__1-2-3,only 4 common frames
train__c07__user2__2-1-2,only 5 common frames
train__c07__user2__2-1-3,only 4 common frames
train__c07__user2__4-2-3,only 4 common frames
train__c11__user2__7-2-3,only 7 common frames
train__c21__user2__3-2-2,only 7 common frames
train__c32__user2__7-3-2,only 6 common frames
train__c34__user2__7-3-3,only 7 common frames
train__c10__user20__7-1-3,only 6 common frames
train__c20__user20__2-2-3,only 4 common frames
train__c20__user20__4-1-2,only 6 common frames
train__c20__user20__5-1-1,only 5 common frames
train__c20__user20__5-1-2,only 5 common frames
train__c00__user21__1-1-3,only 5 common frames
train__c00__user21__4-2-1,only 7 common frames
train__c00__user21__4-2-2,only 6 common frames
train__c02__user21__4-2-3,only 7 common frames
train__c32__user21__2-2-3,only 5 common frames
train__c32__user21__4-1-2,only 6 common frames
train__c32__user21__4-1-3,only 3 common frames
train__c36__user21__1-1-3,only 7 common frames
train__c36__user21__5-1-1,only 6 common frames
train__c36__user21__5-1-3,only 5 common frames
train__c39__user21__6-1-2,only 6 common frames
train__c39__user21__6-1-3,only 3 common frames
train__c00__user22__2-2-3,only 4 common frames
train__c01__user22__2-2-3,only 7 common frames
train__c02__user22__1-2-2,only 6 common frames
train__c02__user22__1-2-3,only 7 common frames
train__c04__user22__6-2-3,only 6 common frames
train__c07__user22__6-2-1,only 1 common frames
train__c09__user22__4-3-3,only 4 common frames
train__c11__user22__3-3-2,only 6 common frames
train__c11__user22__3-3-3,only 7 common frames
train__c17__user22__4-1-1,only 1 common frames
train__c20__user22__6-1-3,only 3 common frames
train__c31__user22__3-2-2,only 7 common frames
train__c32__user22__7-2-1,only 4 common frames
train__c32__user22__7-2-2,only 7 common frames
train__c34__user22__1-2-2,only 6 common frames
train__c34__user22__4-3-1,only 4 common frames
train__c34__user22__5-2-1,only 6 common frames
train__c34__user22__5-2-2,only 7 common frames
train__c34__user22__5-2-3,only 6 common frames
train__c36__user22__1-2-3,only 6 common frames
train__c36__user22__2-2-3,only 6 common frames
train__c36__user22__4-2-3,only 4 common frames
train__c37__user22__7-1-3,only 6 common frames
train__c02__user3__1-2-3,only 5 common frames
train__c07__user3__4-1-3,only 4 common frames
train__c07__user3__6-1-1,only 7 common frames
train__c07__user3__6-1-3,only 5 common frames
train__c07__user3__7-1-3,only 6 common frames
train__c22__user3__5-2-1,only 7 common frames
train__c32__user3__2-1-3,only 7 common frames
train__c32__user3__7-1-2,only 6 common frames
train__c32__user3__7-1-3,only 6 common frames
train__c33__user3__2-1-2,only 6 common frames
train__c34__user3__3-2-2,only 4 common frames
train__c34__user3__3-2-3,only 6 common frames
train__c34__user3__5-2-1,only 5 common frames
train__c34__user3__5-2-2,only 5 common frames
train__c34__user3__5-2-3,only 7 common frames
train__c10__user5__4-2-1,only 7 common frames
train__c20__user6__6-2-2,only 6 common frames
train__c20__user6__7-3-3,only 7 common frames
train__c24__user6__6-2-2,only 6 common frames
train__c28__user6__4-1-3,only 7 common frames
train__c32__user6__4-1-3,only 7 common frames
train__c36__user6__2-3-3,only 7 common frames
train__c36__user6__5-2-3,only 6 common frames
train__c08__user7__1-2-2,only 7 common frames
train__c20__user7__4-1-2,only 7 common frames
train__c20__user7__4-1-3,only 7 common frames
train__c29__user7__4-1-2,only 5 common frames
train__c32__user7__4-1-1,only 5 common frames
train__c32__user7__4-1-2,only 7 common frames
train__c32__user7__4-1-3,only 3 common frames
train__c34__user7__1-2-2,only 6 common frames
train__c34__user7__5-3-3,only 7 common frames
train__c34__user7__7-1-3,only 7 common frames
train__c36__user7__3-2-3,only 7 common frames
train__c36__user7__4-1-3,only 7 common frames
train__c36__user7__5-2-3,only 6 common frames
