mode,sample_id,class_id,action_name,user_id,trial_id,frames,best_shift_frames,coverage,rmse,pck,angle_correlation,velocity_correlation,matching_score,rank,gallery_size,retrieval_top1,retrieval_top5,reciprocal_rank,failure_reason
25d,train__c17__user1__3-2-1,17,Tap_the_keyboard,user1,3-2-1,67,-2,0.0,,,,,0.175,,,,,,low_joint_coverage
25d,train__c17__user1__3-2-2,17,Tap_the_keyboard,user1,3-2-2,66,-2,0.0,,,,,0.175,,,,,,low_joint_coverage
25d,train__c20__user1__3-2-1,20,Check_the_time,user1,3-2-1,13,-2,0.0,,,,,0.175,,,,,,low_joint_coverage
25d,train__c20__user1__3-2-2,20,Check_the_time,user1,3-2-2,9,-2,0.0,,,,,0.175,,,,,,low_joint_coverage
25d,train__c21__user1__6-2-2,21,Read_documents,user1,6-2-2,11,-2,0.0,,,,,0.175,,,,,,low_joint_coverage
25d,train__c21__user1__6-2-3,21,Read_documents,user1,6-2-3,10,-2,0.0,,,,,0.175,,,,,,low_joint_coverage
25d,train__c22__user1__6-2-2,22,Turn_pages,user1,6-2-2,19,-2,0.0,,,,,0.175,,,,,,low_joint_coverage
25d,train__c26__user19__6-2-3,26,Play_games,user19,6-2-3,16,-2,0.0,,,,,0.175,,,,,,low_joint_coverage
25d,train__c27__user19__6-2-3,27,Take_a_selfie,user19,6-2-3,18,-2,0.0,,,,,0.175,,,,,,low_joint_coverage
25d,train__c32__user2__4-3-3,32,Stand_up,user2,4-3-3,13,-2,0.0,,,,,0.175,,,,,,low_joint_coverage
2d,train__c17__user1__3-2-1,17,Tap_the_keyboard,user1,3-2-1,67,-2,0.0,,,,,0.175,,,,,,low_joint_coverage
2d,train__c17__user1__3-2-2,17,Tap_the_keyboard,user1,3-2-2,66,-2,0.0,,,,,0.175,,,,,,low_joint_coverage
2d,train__c20__user1__3-2-1,20,Check_the_time,user1,3-2-1,13,-2,0.0,,,,,0.175,,,,,,low_joint_coverage
2d,train__c20__user1__3-2-2,20,Check_the_time,user1,3-2-2,9,-2,0.0,,,,,0.175,,,,,,low_joint_coverage
2d,train__c21__user1__6-2-2,21,Read_documents,user1,6-2-2,11,-2,0.0,,,,,0.175,,,,,,low_joint_coverage
2d,train__c21__user1__6-2-3,21,Read_documents,user1,6-2-3,10,-2,0.0,,,,,0.175,,,,,,low_joint_coverage
2d,train__c22__user1__6-2-2,22,Turn_pages,user1,6-2-2,19,-2,0.0,,,,,0.175,,,,,,low_joint_coverage
2d,train__c26__user19__6-2-3,26,Play_games,user19,6-2-3,16,-2,0.0,,,,,0.175,,,,,,low_joint_coverage
2d,train__c27__user19__6-2-3,27,Take_a_selfie,user19,6-2-3,18,-2,0.0,,,,,0.175,,,,,,low_joint_coverage
2d,train__c32__user2__4-3-3,32,Stand_up,user2,4-3-3,13,-2,0.0,,,,,0.175,,,,,,low_joint_coverage
