mode,class_id,action_name,trials,frames,coverage,rmse,pck,angle_correlation,velocity_correlation,matching_score,retrieval_top1,retrieval_top5,reciprocal_rank
25d,0,Wash_face,27,26.85185185185185,0.5613375319428893,0.6353797419802116,0.41515907791689377,0.6976297387702033,0.14104638357190874,0.4881312658310256,0.7619047619047619,1.0,0.8531746031746033
25d,1,Brush_teeth,33,25.90909090909091,0.6288797061511348,0.3790628255284428,0.566228772239922,0.6060393220915825,0.19649777147293168,0.6074253971915756,0.28125,0.5625,0.4349885047914939
25d,2,Comb_hair,39,27.05128205128205,0.7273761101013323,0.4486334296474951,0.4252512308044938,0.639586964753149,0.18247811196388572,0.5576303762489211,0.3333333333333333,0.5641025641025641,0.45480731966864407
25d,3,Take_off_clothes,30,31.433333333333334,0.8379831998888984,0.5062409208221716,0.43107658992537395,0.4764756546183799,0.18669506131952265,0.5575401395086477,0.6333333333333333,0.8333333333333334,0.7478697155429829
25d,4,Wipe_hands,53,23.07547169811321,0.6553010629872017,0.34141841941543516,0.5184990384180146,0.6530873412097283,0.23336029865215582,0.5798736459192901,0.35555555555555557,0.6888888888888889,0.5120897065897067
25d,5,Put_on_clothes,39,63.256410256410255,0.6398895056985047,0.5035644824951606,0.38566558385051347,0.559902938683695,0.23673190099008007,0.5225040522580306,0.5,0.65625,0.5858922623536594
25d,6,Drink_water,106,26.971698113207548,0.8032927979716916,0.4564286702772566,0.4201467615485774,0.6513133042442488,0.28053967758612014,0.5723833098373748,0.3018867924528302,0.5943396226415094,0.44647537498826856
25d,7,Eat_food,109,26.75229357798165,0.8284692725623536,0.3950930287978527,0.4842506432707169,0.6891850334651304,0.24647589512016785,0.6115889765356554,0.22935779816513763,0.5871559633027523,0.40095950165881944
25d,8,Take_and_use_tableware,81,29.604938271604937,0.7652195076010498,0.44554819583768235,0.4242780183023111,0.506126909527855,0.23800702032756688,0.5533380783037292,0.38271604938271603,0.6419753086419753,0.49174635995935534
25d,9,Pour_drinks,109,31.201834862385322,0.7838692620185458,0.4243383105865378,0.461829355350878,0.48265330098010584,0.26186283221391526,0.5751179333110381,0.3302752293577982,0.7339449541284404,0.4940360188729562
25d,10,Stir_drinks,95,23.852631578947367,0.8077016469477531,0.3666069134264003,0.4755320902439935,0.5006029392367568,0.2284153277427327,0.5845042578333524,0.30526315789473685,0.6210526315789474,0.45086041022141365
25d,11,Peel_fruits,84,38.04761904761905,0.7730093093763986,0.33765477149234774,0.5095020744383917,0.6306651665086354,0.23402057678694765,0.6086404205492348,0.4024390243902439,0.6829268292682927,0.5410235672520686
25d,12,Sweep_the_floor,50,62.74,0.8722587398725073,0.5056269118239057,0.3778078130473067,0.5231734481596727,0.16882004525330363,0.5292903263976348,0.673469387755102,0.8979591836734694,0.7721646823270443
25d,13,Mop_the_floor,49,45.97959183673469,0.8866430749108672,0.5969550707231777,0.36740315649518535,0.5128642943214025,0.1241529889377374,0.5263339471659093,0.6938775510204082,0.8571428571428571,0.7829150252619641
25d,14,Wipe_bowls,29,40.689655172413794,0.7500346882908652,0.29916601197704457,0.5879469202471606,0.7526777869307844,0.28298182771443975,0.6691338411822524,0.7586206896551724,0.8275862068965517,0.8086328805294323
25d,15,Wipe_windows_and_tables,43,36.04651162790697,0.8350243300516904,0.5192337986332465,0.40724776474108654,0.3865301380673274,0.14571134838160416,0.5318159208474541,0.5714285714285714,0.8095238095238095,0.6947380661666376
25d,16,Fold_clothes,12,60.333333333333336,0.9565471690004134,0.7159443792761754,0.2556489672576471,0.40940678498613337,0.15113996380825515,0.46353782467597976,0.8333333333333334,0.9166666666666666,0.8783333333333333
25d,17,Tap_the_keyboard,68,39.338235294117645,0.8526585637144646,0.5789180562272779,0.33573418251407644,0.13942235257298566,0.20435802351717466,0.46767149926687157,0.046153846153846156,0.26153846153846155,0.17050958880307387
