mode,joint_index,joint_name,trials,coverage,pck,rmse,velocity_correlation
25d,5,left_shoulder,2152,0.9197841872773485,0.35926634634117377,0.2876120567036156,0.24133721601578403
25d,6,right_shoulder,2152,0.9197841872773485,0.30374645366209746,0.315560753693107,0.22915140532398307
25d,7,left_elbow,2152,0.9064122727211527,0.5034679285149557,0.39128547139948855,0.2590299255827982
25d,8,right_elbow,2152,0.8920078581600004,0.336476182130409,0.4252787636625554,0.24224096195934755
25d,9,left_wrist,2152,0.8984942741275818,0.3520578308788623,0.5061066287991232,0.2556626827126511
25d,10,right_wrist,2152,0.8870084427506909,0.28871005388480886,0.554935068008118,0.2234960500863903
25d,11,left_hip,2152,0.9197841872773485,0.9080493613041647,0.10406492792157253,0.21420271020721224
25d,12,right_hip,2152,0.9197841872773485,0.9080493613041647,0.10406492792157253,0.2142027102072124
25d,13,left_knee,2152,0.7394333483858512,0.2627013731694956,0.41038240312389007,0.19566747174349514
25d,14,right_knee,2152,0.675620527430661,0.26291989252413195,0.44977865288357016,0.20015156618162275
25d,15,left_ankle,2152,0.512615061148481,0.1463610061020181,0.8620443542683098,0.19756529253343028
25d,16,right_ankle,2152,0.45343077214727706,0.05669304601713647,0.8965016055634977,0.19031921713539487
2d,5,left_shoulder,2152,0.9459339686330681,0.917579102068302,0.11729487992850596,0.3133054216042076
2d,6,right_shoulder,2152,0.9459339686330681,0.9013698082287981,0.12632624791125732,0.28529959742025557
2d,7,left_elbow,2152,0.9434157298799714,0.8079600708244654,0.15973629171527556,0.3912057123487113
2d,8,right_elbow,2152,0.9337416994779432,0.7325243999436876,0.17928852205169094,0.344005069731385
2d,9,left_wrist,2152,0.9374685447157647,0.6885597552036137,0.2090276523708696,0.4012298889677032
2d,10,right_wrist,2152,0.9269531044923452,0.6163556261730899,0.24055718355424804,0.36046491990465823
2d,11,left_hip,2152,0.9459339686330681,0.9977784880759201,0.04334506998322684,0.2702666851094599
2d,12,right_hip,2152,0.9459339686330681,0.9977784880759201,0.04334506998322684,0.2702666851094599
2d,13,left_knee,2152,0.749026641857384,0.46897903760203485,0.236497559674911,0.22963263567436845
2d,14,right_knee,2152,0.6863525540835707,0.5402361403828096,0.22466156426215264,0.23226539931756432
2d,15,left_ankle,2152,0.5210763528399409,0.40145915053264375,0.3006360691166812,0.2223959083849991
2d,16,right_ankle,2152,0.46431170984782777,0.3936866729589817,0.3124200848145222,0.226813699056613
