mode,sample_id,class_id,action_name,user_id,trial_id,frames,best_shift_frames,coverage,rmse,pck,angle_correlation,velocity_correlation,matching_score,rank,gallery_size,retrieval_top1,retrieval_top5,reciprocal_rank
2d,train__c02__user1__1-1-1,2,Comb_hair,user1,1-1-1,56,-1,0.6378787878787879,0.23078453902007973,0.7458432304038005,0.1933098336266129,0.03142889388177841,0.6706898059137638,25.0,143.0,0.0,0.0,0.04
25d,train__c02__user1__1-1-1,2,Comb_hair,user1,1-1-1,56,-2,0.6358024691358025,0.3774221516540159,0.4587378640776699,0.1521370971386166,0.07481252709589944,0.5117107214023529,27.0,143.0,0.0,0.0,0.037037037037037035
2d,train__c02__user1__1-1-2,2,Comb_hair,user1,1-1-2,53,-1,0.655448717948718,0.21927030379211096,0.7408312958435208,0.4353860870377943,0.16495341974198044,0.7039121996932363,14.0,143.0,0.0,0.0,0.07142857142857142
25d,train__c02__user1__1-1-2,2,Comb_hair,user1,1-1-2,53,-2,0.6666666666666666,0.5144582252298576,0.3799019607843137,0.4114634200437995,0.05898158651075219,0.49618270609072557,10.0,143.0,0.0,0.0,0.1
2d,train__c02__user1__1-1-3,2,Comb_hair,user1,1-1-3,16,0,0.6041666666666666,0.2291220784849812,0.7413793103448276,0.8186495570858715,0.08657139819610012,0.7315330979296165,21.0,143.0,0.0,0.0,0.047619047619047616
25d,train__c02__user1__1-1-3,2,Comb_hair,user1,1-1-3,16,-1,0.5777777777777777,0.4208575844753964,0.33653846153846156,0.7392673397701053,0.2548193507105947,0.5109121169042368,29.0,143.0,0.0,0.0,0.034482758620689655
2d,train__c04__user1__1-1-1,4,Wipe_hands,user1,1-1-1,46,-1,0.9166666666666666,0.2336515594292021,0.6868686868686869,0.747692948321738,0.03956211003024404,0.7221808975288866,4.0,143.0,0.0,1.0,0.25
25d,train__c04__user1__1-1-1,4,Wipe_hands,user1,1-1-1,46,0,0.9184782608695652,0.5211749692378943,0.013806706114398421,0.39460712627665745,0.06508996675561501,0.31878397458421254,44.0,143.0,0.0,0.0,0.022727272727272728
2d,train__c05__user1__1-1-1,5,Put_on_clothes,user1,1-1-1,125,0,0.6953333333333334,0.29264565893127875,0.7286673058485139,0.730164612281866,0.240939613545297,0.7363872837940999,1.0,143.0,1.0,1.0,1.0
25d,train__c05__user1__1-1-1,5,Put_on_clothes,user1,1-1-1,125,0,0.6866666666666666,0.5243019528002407,0.4650485436893204,0.6048604081478183,0.1911429389184396,0.5742651269294576,1.0,143.0,1.0,1.0,1.0
2d,train__c05__user1__1-1-2,5,Put_on_clothes,user1,1-1-2,53,0,0.8176100628930818,0.20961134302494,0.7134615384615385,0.7516454010662976,0.33352262275673167,0.749343589256539,1.0,143.0,1.0,1.0,1.0
25d,train__c05__user1__1-1-2,5,Put_on_clothes,user1,1-1-2,53,0,0.800314465408805,0.5114053309335642,0.381139489194499,0.6093569390110827,0.10484422603116343,0.5334571764513005,1.0,143.0,1.0,1.0,1.0
2d,train__c05__user1__1-1-3,5,Put_on_clothes,user1,1-1-3,39,0,0.8995726495726496,0.3371851656397351,0.6413301662707839,0.6569637172233778,0.20674834223645433,0.698891353796268,1.0,143.0,1.0,1.0,1.0
25d,train__c05__user1__1-1-3,5,Put_on_clothes,user1,1-1-3,39,0,0.8974358974358975,0.6083917713745899,0.35714285714285715,0.6134165139232848,0.05422469398343921,0.5265806646132476,2.0,143.0,0.0,1.0,0.5
2d,train__c06__user1__4-1-1,6,Drink_water,user1,4-1-1,61,2,0.4929378531073446,0.1461147671302383,0.8997134670487106,0.31400102396886725,0.1093018447452078,0.7587339329403027,12.0,143.0,0.0,0.0,0.08333333333333333
25d,train__c06__user1__4-1-1,6,Drink_water,user1,4-1-1,61,-1,0.5,0.4324502351021066,0.325,-0.010403902642376197,0.26090351333064965,0.42227737323556114,11.0,143.0,0.0,0.0,0.09090909090909091
2d,train__c06__user1__4-1-2,6,Drink_water,user1,4-1-2,47,-2,0.562962962962963,0.21368585064547763,0.7236842105263158,-0.20029902285442777,0.3193539714169103,0.6332442576565955,3.0,143.0,0.0,1.0,0.3333333333333333
25d,train__c06__user1__4-1-2,6,Drink_water,user1,4-1-2,47,0,0.5407801418439716,0.48919392277448953,0.3704918032786885,-0.12356721514360561,0.30658208293140027,0.4434854406931703,8.0,143.0,0.0,0.0,0.125
2d,train__c06__user1__4-1-3,6,Drink_water,user1,4-1-3,22,0,0.9128787878787878,0.2732124764926096,0.6639004149377593,0.632285598095599,-0.03522617492929197,0.6920197036935095,33.0,143.0,0.0,0.0,0.030303030303030304
25d,train__c06__user1__4-1-3,6,Drink_water,user1,4-1-3,22,-1,0.8690476190476191,1.0389357223957971,0.273972602739726,0.7057052186839996,0.25233796907398626,0.5020855629605602,47.0,143.0,0.0,0.0,0.02127659574468085
2d,train__c06__user1__5-1-1,6,Drink_water,user1,5-1-1,34,0,0.8848039215686274,0.22606111388270494,0.6869806094182825,0.34649017104853436,0.24185775995441183,0.6941080764383525,1.0,143.0,1.0,1.0,1.0
25d,train__c06__user1__5-1-1,6,Drink_water,user1,5-1-1,34,-2,0.8697916666666666,0.9343966526703832,0.2934131736526946,0.4790004167187151,0.18995540828620738,0.4855031094689858,2.0,143.0,0.0,1.0,0.5
2d,train__c06__user1__5-1-2,6,Drink_water,user1,5-1-2,29,-1,0.9851190476190477,0.2806451803795734,0.5981873111782477,0.26125898050207985,0.1403285418107588,0.6391654645959559,11.0,143.0,0.0,0.0,0.09090909090909091
25d,train__c06__user1__5-1-2,6,Drink_water,user1,5-1-2,29,0,0.9827586206896551,0.9415401349572475,0.39766081871345027,0.3878812492077426,0.13839875728249207,0.5411573440783244,9.0,143.0,0.0,0.0,0.1111111111111111
2d,train__c06__user1__5-1-3,6,Drink_water,user1,5-1-3,15,0,0.7222222222222222,0.29514558606745867,0.6538461538461539,0.05777503818245236,-0.04980767915246568,0.6088795347194171,7.0,143.0,0.0,0.0,0.14285714285714285
25d,train__c06__user1__5-1-3,6,Drink_water,user1,5-1-3,15,2,0.75,0.8435013489177133,0.29914529914529914,0.17888998770905704,0.20486894192391056,0.44778408394511354,1.0,143.0,1.0,1.0,1.0
2d,train__c07__user1__1-2-1,7,Eat_food,user1,1-2-1,55,-1,0.7469135802469136,0.1230224643039934,0.8863636363636364,0.9683946010095117,0.5695371238242203,0.8767461024124592,1.0,143.0,1.0,1.0,1.0
25d,train__c07__user1__1-2-1,7,Eat_food,user1,1-2-1,55,-1,0.7469135802469136,0.2625770327507836,0.5640495867768595,0.9495883601110151,0.35770027552386285,0.6817049874273553,1.0,143.0,1.0,1.0,1.0
