mode,sample_id,control,score
2d,train__c02__user1__1-1-1,positive_same_trial,0.8552243343095798
2d,train__c02__user1__1-1-1,same_action_other_trial,0.8457514587329975
2d,train__c02__user1__1-1-1,different_action,0.8254993511792226
2d,train__c02__user1__1-1-1,time_shuffle,0.8448712775369032
2d,train__c02__user1__1-1-1,left_right_swap,0.7077686263889921
2d,train__c02__user1__1-1-2,positive_same_trial,0.8682489959805242
2d,train__c02__user1__1-1-2,same_action_other_trial,0.8434069317860424
2d,train__c02__user1__1-1-2,different_action,0.8285683835540251
2d,train__c02__user1__1-1-2,time_shuffle,0.8542434827618569
2d,train__c02__user1__1-1-2,left_right_swap,0.7330041808657716
2d,train__c02__user1__1-1-3,positive_same_trial,0.8654919771602602
2d,train__c02__user1__1-1-3,same_action_other_trial,0.8764620630485505
2d,train__c02__user1__1-1-3,different_action,0.8477758693139533
2d,train__c02__user1__1-1-3,time_shuffle,0.8549149090908342
2d,train__c02__user1__1-1-3,left_right_swap,0.7437426045153961
2d,train__c04__user1__1-1-1,positive_same_trial,0.8514200707937346
2d,train__c04__user1__1-1-1,different_action,0.8223558794828789
2d,train__c04__user1__1-1-1,time_shuffle,0.8412130338093564
2d,train__c04__user1__1-1-1,left_right_swap,0.7414907437384001
2d,train__c05__user1__1-1-1,positive_same_trial,0.8104606876220698
2d,train__c05__user1__1-1-1,same_action_other_trial,0.7782639262847607
2d,train__c05__user1__1-1-1,different_action,0.6838694768439646
2d,train__c05__user1__1-1-1,time_shuffle,0.7730817059508792
2d,train__c05__user1__1-1-1,left_right_swap,0.6820768199767272
2d,train__c05__user1__1-1-2,positive_same_trial,0.8687128510856045
2d,train__c05__user1__1-1-2,same_action_other_trial,0.8074634170502533
2d,train__c05__user1__1-1-2,different_action,0.6127421325733693
2d,train__c05__user1__1-1-2,time_shuffle,0.7852450345934807
2d,train__c05__user1__1-1-2,left_right_swap,0.7310672564980896
2d,train__c05__user1__1-1-3,positive_same_trial,0.8053343149652763
2d,train__c05__user1__1-1-3,same_action_other_trial,0.7571394764559803
2d,train__c05__user1__1-1-3,different_action,0.623223562124731
2d,train__c05__user1__1-1-3,time_shuffle,0.703356742074336
2d,train__c05__user1__1-1-3,left_right_swap,0.6739340530570292
2d,train__c06__user1__4-1-1,positive_same_trial,0.899419137888632
2d,train__c06__user1__4-1-1,same_action_other_trial,0.8914272485717116
2d,train__c06__user1__4-1-1,different_action,0.8019119055261203
2d,train__c06__user1__4-1-1,time_shuffle,0.8943455254054213
2d,train__c06__user1__4-1-1,left_right_swap,0.7609728968324756
2d,train__c06__user1__4-1-2,positive_same_trial,0.8735287415695648
2d,train__c06__user1__4-1-2,same_action_other_trial,0.8103241318205855
2d,train__c06__user1__4-1-2,different_action,0.7139221910766101
2d,train__c06__user1__4-1-2,time_shuffle,0.8454044930019541
2d,train__c06__user1__4-1-2,left_right_swap,0.7410683401746716
2d,train__c06__user1__4-1-3,positive_same_trial,0.8288806856228854
2d,train__c06__user1__4-1-3,same_action_other_trial,0.8471950749007778
2d,train__c06__user1__4-1-3,different_action,0.7831722736327754
2d,train__c06__user1__4-1-3,time_shuffle,0.8236904936500014
