class_id,action_name,eligible,events,rate
0,Wash_face,526,0,0.0
1,Brush_teeth,677,0,0.0
2,Comb_hair,755,0,0.0
3,Take_off_clothes,905,4,0.004419889502762431
4,Wipe_hands,857,0,0.0
5,Put_on_clothes,2207,0,0.0
6,Drink_water,2452,0,0.0
7,Eat_food,3081,0,0.0
8,Take_and_use_tableware,2036,0,0.0
9,Pour_drinks,3038,0,0.0
10,Stir_drinks,2305,0,0.0
11,Peel_fruits,3129,0,0.0
12,Sweep_the_floor,3022,1,0.00033090668431502316
13,Mop_the_floor,1912,3,0.0015690376569037657
14,Wipe_bowls,1081,0,0.0
15,Wipe_windows_and_tables,1187,1,0.0008424599831508003
16,Fold_clothes,927,2,0.002157497303128371
17,Tap_the_keyboard,2811,0,0.0
18,Write,800,0,0.0
19,Make_a_phone_call,1249,0,0.0
20,Check_the_time,1140,0,0.0
21,Read_documents,2351,0,0.0
22,Turn_pages,1580,0,0.0
23,Listen_to_music_with_headphones,2298,0,0.0
24,Use_a_mobile_phone,1337,0,0.0
25,Watch_TV,386,0,0.0
26,Play_games,1271,0,0.0
27,Take_a_selfie,784,0,0.0
28,Jog_in_place,1277,0,0.0
29,Do_squats,2018,1,0.0004955401387512388
30,Do_jumping_jacks,1175,2,0.001702127659574468
31,Do_stretching_exercises,2177,2,0.0009186954524575103
32,Stand_up,597,1,0.0016750418760469012
33,Lie_down,644,2,0.003105590062111801
34,Sit_down,1250,2,0.0016
35,Do_lunges,800,0,0.0
36,Walk,3038,7,0.002304147465437788
37,Take_medicine,1342,0,0.0
38,Massage_oneself,1514,0,0.0
39,Take_body_temperature,1083,0,0.0
