class_id,action_name,eligible,events,rate
0,Wash_face,2772,0,0.0
1,Brush_teeth,2808,33,0.011752136752136752
2,Comb_hair,3261,18,0.005519779208831647
3,Take_off_clothes,3315,21,0.006334841628959276
4,Wipe_hands,4076,0,0.0
5,Put_on_clothes,8470,200,0.023612750885478158
6,Drink_water,8818,0,0.0
7,Eat_food,10624,0,0.0
8,Take_and_use_tableware,7530,8,0.0010624169986719787
9,Pour_drinks,10867,0,0.0
10,Stir_drinks,7665,0,0.0
11,Peel_fruits,10817,0,0.0
12,Sweep_the_floor,10511,9,0.0008562458376938446
13,Mop_the_floor,7004,14,0.0019988577955454027
14,Wipe_bowls,3899,0,0.0
15,Wipe_windows_and_tables,4936,9,0.0018233387358184765
16,Fold_clothes,3236,3,0.000927070457354759
17,Tap_the_keyboard,9035,1,0.00011068068622025456
18,Write,2911,0,0.0
19,Make_a_phone_call,4110,1,0.00024330900243309004
20,Check_the_time,3890,0,0.0
21,Read_documents,7805,1,0.00012812299807815503
22,Turn_pages,5469,4,0.0007313951362223441
23,Listen_to_music_with_headphones,7713,4,0.000518604952677298
24,Use_a_mobile_phone,4318,0,0.0
25,Watch_TV,1260,0,0.0
26,Play_games,3985,1,0.0002509410288582183
27,Take_a_selfie,3027,5,0.0016518004625041295
28,Jog_in_place,3995,0,0.0
29,Do_squats,6814,8,0.001174053419430584
30,Do_jumping_jacks,3952,21,0.005313765182186235
31,Do_stretching_exercises,7283,48,0.006590690649457641
32,Stand_up,2202,5,0.002270663033605813
33,Lie_down,2140,5,0.002336448598130841
34,Sit_down,4579,8,0.0017471063550993666
35,Do_lunges,2625,0,0.0
36,Walk,12354,31,0.002509308725918731
37,Take_medicine,4868,12,0.0024650780608052587
38,Massage_oneself,5673,0,0.0
39,Take_body_temperature,3664,3,0.0008187772925764192
