representation,class_id,support,precision,recall,f1
C0,0,32,0.35714285714285715,0.625,0.45454545454545453
C0,1,36,0.3333333333333333,0.027777777777777776,0.05128205128205128
C0,2,45,0.2727272727272727,0.13333333333333333,0.1791044776119403
C0,3,30,0.0,0.0,0.0
C0,4,55,0.0625,0.01818181818181818,0.028169014084507043
C0,5,42,0.36666666666666664,0.2619047619047619,0.3055555555555556
C0,6,107,0.2361111111111111,0.4766355140186916,0.3157894736842105
C0,7,122,0.2711864406779661,0.39344262295081966,0.3210702341137124
C0,8,83,0.11538461538461539,0.07228915662650602,0.08888888888888889
C0,9,115,0.3034825870646766,0.5304347826086957,0.3860759493670886
C0,10,101,0.23622047244094488,0.297029702970297,0.2631578947368421
C0,11,88,0.17543859649122806,0.11363636363636363,0.13793103448275862
C0,12,54,0.3387096774193548,0.3888888888888889,0.3620689655172414
C0,13,50,0.25,0.14,0.1794871794871795
C0,14,29,0.0,0.0,0.0
C0,15,43,0.43478260869565216,0.23255813953488372,0.30303030303030304
C0,16,15,0.0,0.0,0.0
C0,17,69,0.39285714285714285,0.6376811594202898,0.4861878453038674
C0,18,27,0.0,0.0,0.0
C0,19,35,0.0,0.0,0.0
C0,20,82,0.3220338983050847,0.23170731707317074,0.2695035460992908
C0,21,58,0.34210526315789475,0.22413793103448276,0.2708333333333333
C0,22,50,0.136986301369863,0.2,0.16260162601626016
C0,23,58,0.23893805309734514,0.46551724137931033,0.3157894736842105
C0,24,32,0.07407407407407407,0.0625,0.06779661016949153
C0,25,6,0.0,0.0,0.0
C0,26,28,0.1875,0.10714285714285714,0.13636363636363635
C0,27,27,0.6,0.1111111111111111,0.1875
C0,28,26,0.3333333333333333,0.19230769230769232,0.24390243902439024
C0,29,62,0.5272727272727272,0.46774193548387094,0.49572649572649574
C0,30,38,0.8055555555555556,0.7631578947368421,0.7837837837837838
C0,31,67,0.42063492063492064,0.7910447761194029,0.5492227979274611
C0,32,60,0.5352112676056338,0.6333333333333333,0.5801526717557252
C0,33,27,0.48148148148148145,0.48148148148148145,0.48148148148148145
C0,34,116,0.6475409836065574,0.6810344827586207,0.6638655462184874
C0,35,21,0.0,0.0,0.0
C0,36,264,0.7815384615384615,0.9621212121212122,0.8624787775891342
C0,37,51,0.1,0.0196078431372549,0.03278688524590164
C0,38,50,0.0,0.0,0.0
C0,39,40,0.1,0.025,0.04
C1,0,32,0.4,0.625,0.4878048780487805
C1,1,36,0.4666666666666667,0.19444444444444445,0.27450980392156865
C1,2,45,0.3157894736842105,0.13333333333333333,0.1875
C1,3,30,0.2,0.06666666666666667,0.1
C1,4,55,0.275,0.2,0.23157894736842105
C1,5,42,0.43902439024390244,0.42857142857142855,0.43373493975903615
C1,6,107,0.2677595628415301,0.45794392523364486,0.33793103448275863
C1,7,122,0.2676056338028169,0.4672131147540984,0.3402985074626866
C1,8,83,0.12345679012345678,0.12048192771084337,0.12195121951219512
C1,9,115,0.3216374269005848,0.4782608695652174,0.38461538461538464
C1,10,101,0.21951219512195122,0.1782178217821782,0.19672131147540983
C1,11,88,0.24324324324324326,0.20454545454545456,0.2222222222222222
C1,12,54,0.39285714285714285,0.4074074074074074,0.4
C1,13,50,0.4473684210526316,0.34,0.38636363636363635
C1,14,29,0.0,0.0,0.0
C1,15,43,0.34146341463414637,0.32558139534883723,0.3333333333333333
C1,16,15,0.0,0.0,0.0
C1,17,69,0.3838383838383838,0.5507246376811594,0.4523809523809524
C1,18,27,0.2727272727272727,0.1111111111111111,0.15789473684210525
C1,19,35,0.13636363636363635,0.08571428571428572,0.10526315789473684
C1,20,82,0.2413793103448276,0.17073170731707318,0.2
C1,21,58,0.3023255813953488,0.22413793103448276,0.25742574257425743
C1,22,50,0.21666666666666667,0.26,0.23636363636363636
C1,23,58,0.26732673267326734,0.46551724137931033,0.33962264150943394
C1,24,32,0.0,0.0,0.0
C1,25,6,0.0,0.0,0.0
C1,26,28,0.058823529411764705,0.03571428571428571,0.044444444444444446
C1,27,27,0.5,0.07407407407407407,0.12903225806451613
C1,28,26,0.5862068965517241,0.6538461538461539,0.6181818181818182
C1,29,62,0.603448275862069,0.5645161290322581,0.5833333333333334
C1,30,38,0.75,0.868421052631579,0.8048780487804879
C1,31,67,0.5263157894736842,0.746268656716418,0.6172839506172839
C1,32,60,0.5540540540540541,0.6833333333333333,0.6119402985074627
C1,33,27,0.4857142857142857,0.6296296296296297,0.5483870967741935
C1,34,116,0.6610169491525424,0.6724137931034483,0.6666666666666666
C1,35,21,0.16666666666666666,0.047619047619047616,0.07407407407407407
C1,36,264,0.821917808219178,0.9090909090909091,0.8633093525179856
C1,37,51,0.10526315789473684,0.0392156862745098,0.05714285714285714
C1,38,50,0.25,0.06,0.0967741935483871
C1,39,40,0.5,0.075,0.13043478260869565
