representation,class_id,support,precision,recall,f1
E1_c1_tcn_3seed_probability_ensemble,0,32,0.3448275862068966,0.625,0.4444444444444444
E1_c1_tcn_3seed_probability_ensemble,1,36,0.38461538461538464,0.1388888888888889,0.20408163265306123
E1_c1_tcn_3seed_probability_ensemble,2,45,0.29411764705882354,0.1111111111111111,0.16129032258064516
E1_c1_tcn_3seed_probability_ensemble,3,30,0.2,0.03333333333333333,0.05714285714285714
E1_c1_tcn_3seed_probability_ensemble,4,55,0.28205128205128205,0.2,0.23404255319148937
E1_c1_tcn_3seed_probability_ensemble,5,42,0.45454545454545453,0.47619047619047616,0.46511627906976744
E1_c1_tcn_3seed_probability_ensemble,6,107,0.27319587628865977,0.4953271028037383,0.3521594684385382
E1_c1_tcn_3seed_probability_ensemble,7,122,0.28061224489795916,0.45081967213114754,0.34591194968553457
E1_c1_tcn_3seed_probability_ensemble,8,83,0.136986301369863,0.12048192771084337,0.1282051282051282
E1_c1_tcn_3seed_probability_ensemble,9,115,0.31891891891891894,0.5130434782608696,0.3933333333333333
E1_c1_tcn_3seed_probability_ensemble,10,101,0.20689655172413793,0.1782178217821782,0.19148936170212766
E1_c1_tcn_3seed_probability_ensemble,11,88,0.1794871794871795,0.1590909090909091,0.1686746987951807
E1_c1_tcn_3seed_probability_ensemble,12,54,0.4772727272727273,0.3888888888888889,0.42857142857142855
E1_c1_tcn_3seed_probability_ensemble,13,50,0.4166666666666667,0.4,0.40816326530612246
E1_c1_tcn_3seed_probability_ensemble,14,29,0.4,0.06896551724137931,0.11764705882352941
E1_c1_tcn_3seed_probability_ensemble,15,43,0.2903225806451613,0.20930232558139536,0.24324324324324326
E1_c1_tcn_3seed_probability_ensemble,16,15,0.0,0.0,0.0
E1_c1_tcn_3seed_probability_ensemble,17,69,0.5189873417721519,0.5942028985507246,0.5540540540540541
E1_c1_tcn_3seed_probability_ensemble,18,27,1.0,0.1111111111111111,0.2
E1_c1_tcn_3seed_probability_ensemble,19,35,0.08695652173913043,0.05714285714285714,0.06896551724137931
E1_c1_tcn_3seed_probability_ensemble,20,82,0.3150684931506849,0.2804878048780488,0.2967741935483871
E1_c1_tcn_3seed_probability_ensemble,21,58,0.3673469387755102,0.3103448275862069,0.3364485981308411
E1_c1_tcn_3seed_probability_ensemble,22,50,0.22857142857142856,0.32,0.26666666666666666
E1_c1_tcn_3seed_probability_ensemble,23,58,0.313953488372093,0.46551724137931033,0.375
E1_c1_tcn_3seed_probability_ensemble,24,32,0.1111111111111111,0.0625,0.08
E1_c1_tcn_3seed_probability_ensemble,25,6,0.0,0.0,0.0
E1_c1_tcn_3seed_probability_ensemble,26,28,0.0,0.0,0.0
E1_c1_tcn_3seed_probability_ensemble,27,27,0.4,0.2222222222222222,0.2857142857142857
E1_c1_tcn_3seed_probability_ensemble,28,26,0.6666666666666666,0.6923076923076923,0.6792452830188679
E1_c1_tcn_3seed_probability_ensemble,29,62,0.5625,0.5806451612903226,0.5714285714285714
E1_c1_tcn_3seed_probability_ensemble,30,38,0.775,0.8157894736842105,0.7948717948717948
E1_c1_tcn_3seed_probability_ensemble,31,67,0.4766355140186916,0.7611940298507462,0.5862068965517241
E1_c1_tcn_3seed_probability_ensemble,32,60,0.6612903225806451,0.6833333333333333,0.6721311475409836
E1_c1_tcn_3seed_probability_ensemble,33,27,0.6285714285714286,0.8148148148148148,0.7096774193548387
E1_c1_tcn_3seed_probability_ensemble,34,116,0.7053571428571429,0.6810344827586207,0.6929824561403509
E1_c1_tcn_3seed_probability_ensemble,35,21,0.0,0.0,0.0
E1_c1_tcn_3seed_probability_ensemble,36,264,0.8316498316498316,0.9356060606060606,0.8805704099821747
E1_c1_tcn_3seed_probability_ensemble,37,51,0.08333333333333333,0.0196078431372549,0.031746031746031744
E1_c1_tcn_3seed_probability_ensemble,38,50,0.2222222222222222,0.04,0.06779661016949153
E1_c1_tcn_3seed_probability_ensemble,39,40,0.5,0.075,0.13043478260869565
