label,samples,c1_accuracy,e1_accuracy,e1_minus_c1,bootstrap_ci_low,bootstrap_ci_high,c1_only,e1_only
0,32,0.625,0.625,0.0,0.0,0.0,0,0
1,36,0.19444444444444445,0.1388888888888889,-0.05555555555555555,-0.1388888888888889,0.0,2,0
2,45,0.13333333333333333,0.1111111111111111,-0.022222222222222227,-0.06666666666666668,0.0,1,0
3,30,0.06666666666666667,0.03333333333333333,-0.03333333333333333,-0.1,0.0,1,0
4,55,0.2,0.2,0.0,-0.09090909090909088,0.09090909090909088,3,3
5,42,0.42857142857142855,0.47619047619047616,0.047619047619047616,-0.0714285714285714,0.16666666666666669,2,4
6,107,0.45794392523364486,0.4953271028037383,0.03738317757009346,-0.028037383177570097,0.10280373831775702,5,9
7,122,0.4672131147540984,0.45081967213114754,-0.016393442622950838,-0.07377049180327866,0.04098360655737704,7,5
8,83,0.12048192771084337,0.12048192771084337,0.0,-0.07228915662650603,0.07228915662650603,5,5
9,115,0.4782608695652174,0.5130434782608696,0.034782608695652195,-0.017391304347826098,0.08695652173913049,3,7
10,101,0.1782178217821782,0.1782178217821782,0.0,-0.04950495049504949,0.04950495049504949,3,3
11,88,0.20454545454545456,0.1590909090909091,-0.04545454545454547,-0.13636363636363635,0.04545454545454544,10,6
12,54,0.4074074074074074,0.3888888888888889,-0.01851851851851849,-0.1111111111111111,0.07407407407407407,4,3
13,50,0.34,0.4,0.06,-0.03999999999999998,0.16000000000000003,2,5
14,29,0.0,0.06896551724137931,0.06896551724137931,0.0,0.1724137931034483,0,2
15,43,0.32558139534883723,0.20930232558139536,-0.11627906976744187,-0.2093023255813954,-0.023255813953488386,5,0
16,15,0.0,0.0,0.0,0.0,0.0,0,0
17,69,0.5507246376811594,0.5942028985507246,0.04347826086956519,-0.01449275362318847,0.1159420289855072,1,4
18,27,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,0,0
19,35,0.08571428571428572,0.05714285714285714,-0.028571428571428574,-0.1142857142857143,0.05714285714285715,2,1
20,82,0.17073170731707318,0.2804878048780488,0.10975609756097562,0.04878048780487804,0.18292682926829268,0,9
21,58,0.22413793103448276,0.3103448275862069,0.08620689655172414,0.017241379310344834,0.15517241379310348,0,5
22,50,0.26,0.32,0.06,-0.03999999999999998,0.16000000000000003,2,5
23,58,0.46551724137931033,0.46551724137931033,0.0,-0.051724137931034475,0.051724137931034475,1,1
24,32,0.0,0.0625,0.0625,0.0,0.15625,0,2
25,6,0.0,0.0,0.0,0.0,0.0,0,0
26,28,0.03571428571428571,0.0,-0.03571428571428571,-0.10714285714285714,0.0,1,0
27,27,0.07407407407407407,0.2222222222222222,0.14814814814814814,0.037037037037037035,0.2962962962962963,0,4
28,26,0.6538461538461539,0.6923076923076923,0.038461538461538436,-0.07692307692307698,0.15384615384615385,1,2
29,62,0.5645161290322581,0.5806451612903226,0.016129032258064502,-0.048387096774193616,0.08064516129032262,2,3
30,38,0.868421052631579,0.8157894736842105,-0.052631578947368474,-0.13157894736842102,0.0,2,0
31,67,0.746268656716418,0.7611940298507462,0.01492537313432829,-0.04477611940298509,0.07462686567164178,2,3
32,60,0.6833333333333333,0.6833333333333333,0.0,-0.04999999999999993,0.04999999999999993,1,1
33,27,0.6296296296296297,0.8148148148148148,0.18518518518518512,0.0,0.37037037037037035,1,6
34,116,0.6724137931034483,0.6810344827586207,0.008620689655172376,0.0,0.025862068965517238,0,1
35,21,0.047619047619047616,0.0,-0.047619047619047616,-0.14285714285714285,0.0,1,0
36,264,0.9090909090909091,0.9356060606060606,0.02651515151515149,0.007575757575757569,0.04924242424242431,1,8
37,51,0.0392156862745098,0.0196078431372549,-0.0196078431372549,-0.058823529411764705,0.0,1,0
38,50,0.06,0.04,-0.019999999999999997,-0.09999999999999999,0.04000000000000001,2,1
39,40,0.075,0.075,0.0,0.0,0.0,0,0
