group_type,group,unique_frames,retained_frames,ambiguous_frames,retention_rate
fold,train,68189,67583,606,0.9911129361040637
fold,validation,17690,17214,476,0.9730921424533635
action,Brush_teeth,1081,1051,30,0.9722479185938946
action,Check_the_time,1451,1451,0,1.0
action,Comb_hair,1301,1292,9,0.9930822444273636
action,Do_jumping_jacks,1401,1401,0,1.0
action,Do_lunges,944,940,4,0.9957627118644068
action,Do_squats,2446,2424,22,0.9910057236304171
action,Do_stretching_exercises,2618,2568,50,0.9809014514896868
action,Drink_water,3279,3279,0,1.0
action,Eat_food,3856,3854,2,0.9994813278008299
action,Fold_clothes,1425,1357,68,0.952280701754386
action,Jog_in_place,1375,1375,0,1.0
action,Lie_down,1108,1108,0,1.0
action,Listen_to_music_with_headphones,2817,2679,138,0.9510117145899893
action,Make_a_phone_call,1451,1451,0,1.0
action,Massage_oneself,2101,2100,1,0.9995240361732508
action,Mop_the_floor,2582,2579,3,0.9988381099922541
action,Peel_fruits,3966,3966,0,1.0
action,Play_games,1384,1384,0,1.0
action,Pour_drinks,4064,4062,2,0.999507874015748
action,Put_on_clothes,3462,3218,244,0.9295205083766609
action,Read_documents,2852,2851,1,0.9996493688639552
action,Sit_down,1770,1752,18,0.9898305084745763
action,Stand_up,895,884,11,0.9877094972067039
action,Stir_drinks,2784,2784,0,1.0
action,Sweep_the_floor,4034,4020,14,0.9965294992563213
action,Take_a_selfie,1284,1284,0,1.0
action,Take_and_use_tableware,2854,2853,1,0.9996496145760336
action,Take_body_temperature,1311,1184,127,0.9031273836765827
action,Take_medicine,1786,1752,34,0.9809630459126539
action,Take_off_clothes,1231,1201,30,0.9756295694557271
action,Tap_the_keyboard,3369,3348,21,0.993766696349065
action,Turn_pages,2071,2070,1,0.9995171414775471
action,Use_a_mobile_phone,1535,1534,1,0.9993485342019544
action,Walk,6212,6172,40,0.9935608499678042
action,Wash_face,1111,1032,79,0.9288928892889289
action,Watch_TV,459,459,0,1.0
action,Wipe_bowls,1441,1441,0,1.0
action,Wipe_hands,1626,1544,82,0.949569495694957
action,Wipe_windows_and_tables,1973,1932,41,0.9792194627470857
action,Write,1169,1161,8,0.9931565440547476
user,user1,5835,5828,7,0.9988003427592117
user,user16,6307,6307,0,1.0
user,user17,4960,4593,367,0.926008064516129
user,user18,4927,4920,7,0.9985792571544551
user,user19,4318,4318,0,1.0
user,user2,5527,5463,64,0.988420481273747
user,user20,4695,4694,1,0.999787007454739
user,user21,3327,3322,5,0.998497144574692
user,user22,4126,4126,0,1.0
user,user23,3693,3618,75,0.9796913078797725
user,user24,4070,4064,6,0.9985257985257985
user,user3,4689,4677,12,0.9974408189379399
user,user4,4967,4939,28,0.994362794443326
user,user5,4362,4362,0,1.0
user,user6,6876,6848,28,0.9959278650378127
user,user7,4652,4536,116,0.9750644883920895
user,user8,4809,4550,259,0.9461426491994177
user,user9,3739,3632,107,0.9713827226531158
