sample_id,class_id,action_name,user_id,trial_id,fold_split,unique_frames,retained_frames,single_person_frames,confident_multi_person_frames,ambiguous_frames,retained_segments,retention_rate
train__c00__user16__1-1-1,0,Wash_face,user16,1-1-1,train,47,47,47,0,0,1,1.0
train__c00__user16__1-1-2,0,Wash_face,user16,1-1-2,train,55,55,55,0,0,1,1.0
train__c00__user16__1-1-3,0,Wash_face,user16,1-1-3,train,22,22,22,0,0,1,1.0
train__c00__user18__7-1-1,0,Wash_face,user18,7-1-1,train,20,20,20,0,0,1,1.0
train__c00__user18__7-1-2,0,Wash_face,user18,7-1-2,train,13,13,13,0,0,1,1.0
train__c00__user18__7-1-3,0,Wash_face,user18,7-1-3,train,3,3,3,0,0,1,1.0
train__c00__user20__4-2-1,0,Wash_face,user20,4-2-1,train,42,42,42,0,0,1,1.0
train__c00__user20__4-2-2,0,Wash_face,user20,4-2-2,train,23,23,23,0,0,1,1.0
train__c00__user20__4-2-3,0,Wash_face,user20,4-2-3,train,34,34,34,0,0,1,1.0
train__c00__user21__1-1-1,0,Wash_face,user21,1-1-1,train,14,14,14,0,0,1,1.0
train__c00__user21__1-1-2,0,Wash_face,user21,1-1-2,train,10,10,10,0,0,1,1.0
train__c00__user21__1-1-3,0,Wash_face,user21,1-1-3,train,5,5,5,0,0,1,1.0
train__c00__user21__4-2-1,0,Wash_face,user21,4-2-1,train,7,7,7,0,0,1,1.0
train__c00__user21__4-2-2,0,Wash_face,user21,4-2-2,train,6,6,6,0,0,1,1.0
train__c00__user21__4-2-3,0,Wash_face,user21,4-2-3,train,9,9,9,0,0,1,1.0
train__c00__user22__1-1-2,0,Wash_face,user22,1-1-2,train,25,25,25,0,0,1,1.0
train__c00__user22__1-1-3,0,Wash_face,user22,1-1-3,train,8,8,8,0,0,1,1.0
train__c00__user22__2-2-1,0,Wash_face,user22,2-2-1,train,17,17,17,0,0,1,1.0
train__c00__user22__2-2-2,0,Wash_face,user22,2-2-2,train,13,13,13,0,0,1,1.0
train__c00__user22__2-2-3,0,Wash_face,user22,2-2-3,train,4,4,4,0,0,1,1.0
train__c00__user23__1-1-1,0,Wash_face,user23,1-1-1,validation,43,43,43,0,0,1,1.0
train__c00__user23__1-1-2,0,Wash_face,user23,1-1-2,validation,19,19,19,0,0,1,1.0
train__c00__user23__1-1-3,0,Wash_face,user23,1-1-3,validation,18,18,18,0,0,1,1.0
