representation,class_id,support,precision,recall,f1
D2_joint_bone_tcn,0,32,0.6,0.46875,0.5263157894736842
D2_joint_bone_tcn,1,36,0.5,0.2777777777777778,0.35714285714285715
D2_joint_bone_tcn,2,45,0.1,0.08888888888888889,0.09411764705882353
D2_joint_bone_tcn,3,30,0.45454545454545453,0.16666666666666666,0.24390243902439024
D2_joint_bone_tcn,4,55,0.2894736842105263,0.2,0.23655913978494625
D2_joint_bone_tcn,5,42,0.6190476190476191,0.30952380952380953,0.4126984126984127
D2_joint_bone_tcn,6,107,0.3291139240506329,0.48598130841121495,0.39245283018867927
D2_joint_bone_tcn,7,122,0.28421052631578947,0.4426229508196721,0.34615384615384615
D2_joint_bone_tcn,8,83,0.1375,0.13253012048192772,0.13496932515337423
D2_joint_bone_tcn,9,115,0.3404255319148936,0.5565217391304348,0.42244224422442245
D2_joint_bone_tcn,10,101,0.20202020202020202,0.19801980198019803,0.2
D2_joint_bone_tcn,11,88,0.22950819672131148,0.1590909090909091,0.18791946308724833
D2_joint_bone_tcn,12,54,0.375,0.3888888888888889,0.38181818181818183
D2_joint_bone_tcn,13,50,0.2727272727272727,0.18,0.21686746987951808
D2_joint_bone_tcn,14,29,0.0,0.0,0.0
D2_joint_bone_tcn,15,43,0.22727272727272727,0.11627906976744186,0.15384615384615385
D2_joint_bone_tcn,16,15,0.0,0.0,0.0
D2_joint_bone_tcn,17,69,0.5393258426966292,0.6956521739130435,0.6075949367088608
D2_joint_bone_tcn,18,27,1.0,0.037037037037037035,0.07142857142857142
D2_joint_bone_tcn,19,35,0.045454545454545456,0.02857142857142857,0.03508771929824561
D2_joint_bone_tcn,20,82,0.26356589147286824,0.4146341463414634,0.3222748815165877
D2_joint_bone_tcn,21,58,0.4375,0.2413793103448276,0.3111111111111111
D2_joint_bone_tcn,22,50,0.21739130434782608,0.3,0.25210084033613445
D2_joint_bone_tcn,23,58,0.3258426966292135,0.5,0.3945578231292517
D2_joint_bone_tcn,24,32,0.0,0.0,0.0
D2_joint_bone_tcn,25,6,0.0,0.0,0.0
D2_joint_bone_tcn,26,28,0.0,0.0,0.0
D2_joint_bone_tcn,27,27,0.2222222222222222,0.07407407407407407,0.1111111111111111
D2_joint_bone_tcn,28,26,0.5555555555555556,0.38461538461538464,0.45454545454545453
D2_joint_bone_tcn,29,62,0.5588235294117647,0.6129032258064516,0.5846153846153846
D2_joint_bone_tcn,30,38,0.6842105263157895,0.6842105263157895,0.6842105263157895
D2_joint_bone_tcn,31,67,0.3779527559055118,0.7164179104477612,0.4948453608247423
D2_joint_bone_tcn,32,60,0.7755102040816326,0.6333333333333333,0.6972477064220184
D2_joint_bone_tcn,33,27,0.6,0.7777777777777778,0.6774193548387096
D2_joint_bone_tcn,34,116,0.7956989247311828,0.6379310344827587,0.7081339712918661
D2_joint_bone_tcn,35,21,0.0,0.0,0.0
D2_joint_bone_tcn,36,264,0.7262247838616714,0.9545454545454546,0.8248772504091653
D2_joint_bone_tcn,37,51,0.08333333333333333,0.0196078431372549,0.031746031746031744
D2_joint_bone_tcn,38,50,0.3333333333333333,0.06,0.1016949152542373
D2_joint_bone_tcn,39,40,0.05555555555555555,0.025,0.034482758620689655
