label,samples,c1_accuracy,d2_accuracy,d2_minus_c1,c1_only,d2_only
0,32,0.625,0.46875,-0.15625,5,0
1,36,0.19444444444444445,0.2777777777777778,0.08333333333333334,3,6
2,45,0.13333333333333333,0.08888888888888889,-0.04444444444444444,5,3
3,30,0.06666666666666667,0.16666666666666666,0.09999999999999999,2,5
4,55,0.2,0.2,0.0,10,10
5,42,0.42857142857142855,0.30952380952380953,-0.11904761904761901,13,8
6,107,0.45794392523364486,0.48598130841121495,0.028037383177570097,8,11
7,122,0.4672131147540984,0.4426229508196721,-0.024590163934426257,16,13
8,83,0.12048192771084337,0.13253012048192772,0.012048192771084348,5,6
9,115,0.4782608695652174,0.5565217391304348,0.07826086956521738,6,15
10,101,0.1782178217821782,0.19801980198019803,0.01980198019801982,9,11
11,88,0.20454545454545456,0.1590909090909091,-0.04545454545454547,11,7
12,54,0.4074074074074074,0.3888888888888889,-0.01851851851851849,7,6
13,50,0.34,0.18,-0.16000000000000003,9,1
14,29,0.0,0.0,0.0,0,0
15,43,0.32558139534883723,0.11627906976744186,-0.2093023255813954,9,0
16,15,0.0,0.0,0.0,0,0
17,69,0.5507246376811594,0.6956521739130435,0.14492753623188404,5,15
18,27,0.1111111111111111,0.037037037037037035,-0.07407407407407407,3,1
19,35,0.08571428571428572,0.02857142857142857,-0.05714285714285715,3,1
20,82,0.17073170731707318,0.4146341463414634,0.2439024390243902,3,23
21,58,0.22413793103448276,0.2413793103448276,0.017241379310344834,7,8
22,50,0.26,0.3,0.03999999999999998,5,7
23,58,0.46551724137931033,0.5,0.03448275862068967,4,6
24,32,0.0,0.0,0.0,0,0
25,6,0.0,0.0,0.0,0,0
26,28,0.03571428571428571,0.0,-0.03571428571428571,1,0
27,27,0.07407407407407407,0.07407407407407407,0.0,1,1
28,26,0.6538461538461539,0.38461538461538464,-0.2692307692307692,8,1
29,62,0.5645161290322581,0.6129032258064516,0.048387096774193505,4,7
30,38,0.868421052631579,0.6842105263157895,-0.1842105263157895,9,2
31,67,0.746268656716418,0.7164179104477612,-0.029850746268656803,7,5
32,60,0.6833333333333333,0.6333333333333333,-0.050000000000000044,5,2
33,27,0.6296296296296297,0.7777777777777778,0.14814814814814814,2,6
34,116,0.6724137931034483,0.6379310344827587,-0.03448275862068961,7,3
35,21,0.047619047619047616,0.0,-0.047619047619047616,1,0
36,264,0.9090909090909091,0.9545454545454546,0.045454545454545525,2,14
37,51,0.0392156862745098,0.0196078431372549,-0.0196078431372549,2,1
38,50,0.06,0.06,0.0,3,3
39,40,0.075,0.025,-0.049999999999999996,2,0
