label,samples,c1_accuracy,d1_accuracy,d1_minus_c1,c1_only,d1_only
0,32,0.625,0.3125,-0.3125,10,0
1,36,0.19444444444444445,0.0,-0.19444444444444445,7,0
2,45,0.13333333333333333,0.06666666666666667,-0.06666666666666667,4,1
3,30,0.06666666666666667,0.0,-0.06666666666666667,2,0
4,55,0.2,0.01818181818181818,-0.18181818181818182,11,1
5,42,0.42857142857142855,0.42857142857142855,0.0,4,4
6,107,0.45794392523364486,0.14018691588785046,-0.31775700934579443,38,4
7,122,0.4672131147540984,0.3114754098360656,-0.1557377049180328,32,13
8,83,0.12048192771084337,0.04819277108433735,-0.07228915662650602,8,2
9,115,0.4782608695652174,0.3565217391304348,-0.12173913043478263,26,12
10,101,0.1782178217821782,0.2079207920792079,0.0297029702970297,14,17
11,88,0.20454545454545456,0.022727272727272728,-0.18181818181818182,18,2
12,54,0.4074074074074074,0.09259259259259259,-0.31481481481481477,18,1
13,50,0.34,0.0,-0.34,17,0
14,29,0.0,0.0,0.0,0,0
15,43,0.32558139534883723,0.023255813953488372,-0.3023255813953489,14,1
16,15,0.0,0.0,0.0,0,0
17,69,0.5507246376811594,0.2463768115942029,-0.30434782608695654,24,3
18,27,0.1111111111111111,0.0,-0.1111111111111111,3,0
19,35,0.08571428571428572,0.0,-0.08571428571428572,3,0
20,82,0.17073170731707318,0.15853658536585366,-0.012195121951219523,13,12
21,58,0.22413793103448276,0.06896551724137931,-0.15517241379310345,10,1
22,50,0.26,0.02,-0.24000000000000002,13,1
23,58,0.46551724137931033,0.017241379310344827,-0.4482758620689655,26,0
24,32,0.0,0.0625,0.0625,0,2
25,6,0.0,0.0,0.0,0,0
26,28,0.03571428571428571,0.0,-0.03571428571428571,1,0
27,27,0.07407407407407407,0.0,-0.07407407407407407,2,0
28,26,0.6538461538461539,0.0,-0.6538461538461539,17,0
29,62,0.5645161290322581,0.3870967741935484,-0.17741935483870974,14,3
30,38,0.868421052631579,0.15789473684210525,-0.7105263157894737,27,0
31,67,0.746268656716418,0.5074626865671642,-0.23880597014925375,19,3
32,60,0.6833333333333333,0.13333333333333333,-0.55,34,1
33,27,0.6296296296296297,0.48148148148148145,-0.1481481481481482,9,5
34,116,0.6724137931034483,0.4224137931034483,-0.25,34,5
35,21,0.047619047619047616,0.0,-0.047619047619047616,1,0
36,264,0.9090909090909091,0.8333333333333334,-0.07575757575757569,33,13
37,51,0.0392156862745098,0.0,-0.0392156862745098,2,0
38,50,0.06,0.02,-0.039999999999999994,3,1
39,40,0.075,0.0,-0.075,3,0
