sample_id,class_id,action_name,user_id,frame_key,people_count,selected_candidate,best_rmse,second_rmse,relative_margin,confident_10pct,confident_20pct,selected_is_json_first,valid_common_joints,candidate_rmses,skeleton_path,ir_path
train__c05__user1__1-1-1,5,Put_on_clothes,user1,2025-05-07_11-49-06.816_00000299,2,1,0.3842241432000738,0.5587447166270532,0.31234402444196546,True,True,False,11,0.55874472|0.38422414,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\5_Put_on_clothes\user1\1-1-1\predictions\Color_2025-05-07_11-49-06.816_00000299.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\5_Put_on_clothes\user1\1-1-1\IR_2025-05-07_11-49-06.816_00000299.png
train__c05__user1__1-1-1,5,Put_on_clothes,user1,2025-05-07_11-49-07.116_00000302,2,1,0.6334336339981367,0.7992784249684938,0.20749314105018463,True,True,False,10,0.79927842|0.63343363,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\5_Put_on_clothes\user1\1-1-1\predictions\Color_2025-05-07_11-49-07.116_00000302.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\5_Put_on_clothes\user1\1-1-1\IR_2025-05-07_11-49-07.116_00000302.png
train__c05__user1__1-1-1,5,Put_on_clothes,user1,2025-05-07_11-49-07.216_00000303,2,0,0.6931789572949885,0.7322272552564569,0.05332811320686513,False,False,True,10,0.69317896|0.73222726,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\5_Put_on_clothes\user1\1-1-1\predictions\Color_2025-05-07_11-49-07.216_00000303.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\5_Put_on_clothes\user1\1-1-1\IR_2025-05-07_11-49-07.216_00000303.png
train__c05__user1__1-1-3,5,Put_on_clothes,user1,2025-05-07_12-05-38.316_00000124,2,0,0.3122955703896304,0.7475410226621176,0.5822362105593963,True,True,True,12,0.31229557|0.74754102,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\5_Put_on_clothes\user1\1-1-3\predictions\Color_2025-05-07_12-05-38.316_00000124.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\5_Put_on_clothes\user1\1-1-3\IR_2025-05-07_12-05-38.316_00000124.png
train__c05__user1__1-1-3,5,Put_on_clothes,user1,2025-05-07_12-05-38.616_00000127,2,0,0.22372514693187284,0.6453677292764274,0.6533369476302933,True,True,True,12,0.22372515|0.64536773,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\5_Put_on_clothes\user1\1-1-3\predictions\Color_2025-05-07_12-05-38.616_00000127.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\5_Put_on_clothes\user1\1-1-3\IR_2025-05-07_12-05-38.616_00000127.png
train__c05__user1__1-1-3,5,Put_on_clothes,user1,2025-05-07_12-05-39.316_00000134,2,0,0.5183571227390205,0.5512338263931239,0.05964202862735194,False,False,True,12,0.51835712|0.55123383,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\5_Put_on_clothes\user1\1-1-3\predictions\Color_2025-05-07_12-05-39.316_00000134.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\5_Put_on_clothes\user1\1-1-3\IR_2025-05-07_12-05-39.316_00000134.png
train__c05__user1__1-1-3,5,Put_on_clothes,user1,2025-05-07_12-05-39.416_00000135,2,0,0.47690289238376143,0.6921921847185188,0.31102531506088177,True,True,True,12,0.47690289|0.69219218,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\5_Put_on_clothes\user1\1-1-3\predictions\Color_2025-05-07_12-05-39.416_00000135.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\5_Put_on_clothes\user1\1-1-3\IR_2025-05-07_12-05-39.416_00000135.png
train__c13__user1__3-2-1,13,Mop_the_floor,user1,2025-05-07_12-54-52.716_00000188,2,0,0.2817936372219713,0.6564995376312255,0.5707633881377342,True,True,True,12,0.28179364|0.65649954,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\13_Mop_the_floor\user1\3-2-1\predictions\Color_2025-05-07_12-54-52.716_00000188.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\13_Mop_the_floor\user1\3-2-1\IR_2025-05-07_12-54-52.716_00000188.png
train__c36__user1__3-2-3,36,Walk,user1,2025-05-07_13-05-50.116_00000052,2,0,0.14401430623353786,0.8227703170043206,0.8249641446012672,True,True,True,12,0.14401431|0.82277032,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\36_Walk\user1\3-2-3\predictions\Color_2025-05-07_13-05-50.116_00000052.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\36_Walk\user1\3-2-3\IR_2025-05-07_13-05-50.116_00000052.png
train__c06__user16__1-2-3,6,Drink_water,user16,2025-06-11_14-21-29.616_00000127,2,0,0.11137537096435714,0.8324863904407093,0.8662135834972675,True,True,True,10,0.11137537|0.83248639,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\Skeleton\6_Drink_water\user16\1-2-3\predictions\Color_2025-06-11_14-21-29.616_00000127.json,D:\work\2026.7.14_kaggle\datasets\Small-Model-Track\train\IR\6_Drink_water\user16\1-2-3\IR_2025-06-11_14-21-29.616_00000127.png
