joint_index,inferred_h36m_name,inference_status,whole_joint_exact_zero_rate,nonfinite_rate,score_nonpositive_rate,score_min,score_max,x_min,x_p01,x_p05,x_median,x_mean,x_p95,x_p99,x_max,x_std,x_exact_zero_rate,y_min,y_p01,y_p05,y_median,y_mean,y_p95,y_p99,y_max,y_std,y_exact_zero_rate,z_min,z_p01,z_p05,z_median,z_mean,z_p95,z_p99,z_max,z_std,z_exact_zero_rate
0,pelvis,topology_and_coordinate_signature; no organizer joint-name metadata,0.0,0.0,0.0,1.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01398449670523405,0.16032000243663788,0.23376998901367188,0.4914777874946594,0.4756748064908831,0.6845312416553496,0.8116878163814546,1.3067353963851929,0.1478111600649713,0.0
1,right_hip,topology_and_coordinate_signature; no organizer joint-name metadata,0.0,0.0,0.0,1.0,1.0,-0.7965900897979736,-0.2860992830991745,-0.16121730506420134,0.05222509801387787,0.022836654238312624,0.1373442277312278,0.16729987353086473,1.0361729860305786,0.0977843766943959,0.0,-0.3100537061691284,-0.14855798691511155,-0.1153134174644947,-0.037401486188173294,-0.03733358150219211,0.04043447747826576,0.07287747278809549,0.1278306543827057,0.04659758849699776,0.0,0.0,0.11695412516593932,0.18829938769340515,0.4909951090812683,0.46560504995566904,0.6807039976119995,0.8182652318477632,1.7234241962432861,0.15799078042612924,0.0007103017035596595
2,right_knee,topology_and_coordinate_signature; no organizer joint-name metadata,0.0,0.0,0.0,1.0,1.0,-1.2094796895980835,-0.4973582345247269,-0.3157358139753341,0.09316735714673996,0.1331122976266184,0.5784392952919006,0.6542279303073884,1.1394555568695068,0.25976144507482923,0.0,-0.37408649921417236,-0.23141315549612046,-0.10607586577534675,0.022249657660722733,0.028073387000836815,0.138890890777111,0.18447632044553766,0.3224148452281952,0.07770136470917517,0.0,0.0,0.020627602338790893,0.06152012199163437,0.2599918246269226,0.25708224480659003,0.47127860486507406,0.5576770555973057,1.6540690660476685,0.1345386704610461,0.0047974475715832745
3,right_ankle,topology_and_coordinate_signature; no organizer joint-name metadata,0.0,0.0,0.0,1.0,1.0,-1.2299972772598267,-0.542626166343689,-0.29149652719497676,0.09189489483833313,0.1431932364680994,0.713588291406631,0.949459228515625,1.172210931777954,0.2987639922276498,0.0,-0.4831891357898712,-0.18210988909006118,-0.06919828206300735,0.09941505640745163,0.08175533261959275,0.167655111849308,0.2231161755323411,0.4519055187702179,0.07749461571057704,0.0,0.0,0.0,0.0,0.0,0.022602960966883773,0.10497279167175283,0.25415093719959314,2.177424430847168,0.05862195354859216,0.6295252622876373
4,left_hip,topology_and_coordinate_signature; no organizer joint-name metadata,0.0,0.0,0.0,1.0,1.0,-0.8114201426506042,-0.31375205278396606,-0.24259217530488966,-0.08392089605331421,-0.08159959520846542,0.07514061480760569,0.1479098990559578,0.8293761014938354,0.09245010963743336,0.0,-0.28538480401039124,-0.1643427786231041,-0.13799027502536773,-0.0720842033624649,-0.053557093461953656,0.07090559154748916,0.09745086312294012,0.13626474142074585,0.06529788428294567,0.0,0.0,0.11195537418127059,0.1719350516796112,0.5079134702682495,0.4735164269068932,0.6876390635967254,0.8097612726688386,1.3023988008499146,0.16668688634438691,0.0007801674448933966
5,left_knee,topology_and_coordinate_signature; no organizer joint-name metadata,0.0,0.0,0.0,1.0,1.0,-1.2653584480285645,-0.5468300223350525,-0.42762281894683835,-0.021898193284869194,0.007142958424158117,0.5099501848220812,0.6367175436019898,1.1494731903076172,0.2534387869060591,0.0,-0.35562729835510254,-0.10680710524320602,-0.07141062319278717,-0.012233586050570011,-0.003413138629108552,0.10146413594484295,0.17879748284816752,0.3828274607658386,0.05699643450456779,0.0,0.0,0.0,0.053291456401348115,0.2817525565624237,0.27157492727050964,0.5039755225181579,0.5609078919887543,1.2657572031021118,0.14848545923747988,0.02187962132768197
6,left_ankle,topology_and_coordinate_signature; no organizer joint-name metadata,0.0,0.0,0.0,1.0,1.0,-1.2257373332977295,-0.6345678579807281,-0.3942115604877472,-0.018982788547873497,0.01240753269020053,0.5933871865272522,0.9295516693592073,1.1871808767318726,0.27347869958404936,0.0,-0.3606596291065216,-0.0724637533724308,-0.022936030477285374,0.06798240542411804,0.07266021959608929,0.17708489298820496,0.2559144151210785,0.5366678237915039,0.06477471063923508,0.0,0.0,0.0,0.0,0.03859913349151611,0.05875532296583421,0.20572942495345997,0.28303701698780065,1.6299792528152466,0.07822031862097532,0.33351576054681586
7,spine,topology_and_coordinate_signature; no organizer joint-name metadata,0.0,0.0,0.0,1.0,1.0,-0.8247761130332947,-0.20133735001087188,-0.1457829162478447,-0.05254162475466728,-0.05151207844886946,0.04781783334910855,0.16514319628477098,0.2477688044309616,0.06323541135804099,0.0,-0.26776379346847534,-0.12490865588188171,-0.08127731382846833,-0.022493774071335793,-0.026668374531883917,0.011319826729595635,0.04580093167722233,0.11717056483030319,0.030322926251621092,0.0,0.016453370451927185,0.24931649684906004,0.37557525336742403,0.6952537298202515,0.6621609488749076,0.8799236714839934,0.9865756988525392,1.5830132961273193,0.16184108500322014,0.0
8,thorax,topology_and_coordinate_signature; no organizer joint-name metadata,0.0,0.0,0.0,1.0,1.0,-1.2290602922439575,-0.39884775161743163,-0.2818233162164688,-0.08505139499902725,-0.08048935990168105,0.15442472249269473,0.41539408087730445,0.733749508857727,0.13918231224469452,0.0,-0.4167322516441345,-0.2304222136735916,-0.1442186966538429,-0.06542515009641647,-0.06711380915861434,0.008128928020596496,0.07549648985266692,0.2343067228794098,0.05031957554312799,0.0,0.002610962837934494,0.41581646144390105,0.7139548897743225,0.974818229675293,0.9527614786096154,1.1528028607368468,1.2319728302955628,1.8496679067611694,0.15275935286246803,0.0
9,neck,topology_and_coordinate_signature; no organizer joint-name metadata,0.0,0.0,0.0,1.0,1.0,-1.157589316368103,-0.6731808423995972,-0.4278770238161087,0.005412963684648275,0.006035991336927797,0.4243356019258492,0.7371656620502473,1.101718544960022,0.24800542707161996,0.0,-0.45659339427948,-0.24661736875772478,-0.1495315283536911,-0.03504868969321251,-0.04428486108408713,0.043181351199746115,0.09920536220073702,0.29947733879089355,0.06353379671038409,0.0,0.0,0.5932901954650879,0.9105140745639801,1.1319050788879395,1.1196354421323673,1.3123477339744565,1.3850184893608095,1.855173110961914,0.14609964313093096,4.6577160889158e-05
