joint_index,inferred_h36m_name,frames_as_min_z,rate
0,pelvis,0,0.0
1,right_hip,61,0.0007103017035596595
2,right_knee,412,0.0047974475715832745
3,right_ankle,54063,0.6295252622876373
4,left_hip,67,0.0007801674448933966
5,left_knee,1879,0.02187962132768197
6,left_ankle,28642,0.33351576054681586
7,spine,0,0.0
8,thorax,0,0.0
9,neck,4,4.6577160889158e-05
10,head,6,6.9865741333737e-05
11,left_shoulder,8,9.3154321778316e-05
12,left_elbow,185,0.0021541936911235577
13,left_wrist,387,0.004506340316026036
14,right_shoulder,5,5.8221451111447504e-05
15,right_elbow,39,0.0004541273186692905
16,right_wrist,121,0.0014089591168970296
