sample_id,class_id,action_name,user_id,trial_id,fold_split,run_index,start_frame_id,end_frame_id,run_length,trial_unique_frames,run_fraction_of_trial
train__c00__user4__1-1-2,0,Wash_face,user4,1-1-2,validation,0,102,102,1,63,0.015873015873015872
train__c00__user6__1-1-1,0,Wash_face,user6,1-1-1,train,0,136,182,47,47,1.0
train__c00__user6__1-1-2,0,Wash_face,user6,1-1-2,train,0,127,171,45,45,1.0
train__c00__user6__1-1-3,0,Wash_face,user6,1-1-3,train,0,69,102,34,34,1.0
train__c00__user8__1-1-1,0,Wash_face,user8,1-1-1,train,0,82,107,26,26,1.0
train__c00__user8__1-1-2,0,Wash_face,user8,1-1-2,train,0,72,95,24,24,1.0
train__c00__user8__1-1-3,0,Wash_face,user8,1-1-3,train,0,67,84,18,18,1.0
train__c00__user8__7-1-1,0,Wash_face,user8,7-1-1,train,0,135,159,25,25,1.0
train__c00__user8__7-1-2,0,Wash_face,user8,7-1-2,train,0,170,197,28,28,1.0
train__c00__user8__7-1-3,0,Wash_face,user8,7-1-3,train,0,94,102,9,18,0.5
train__c00__user8__7-1-3,0,Wash_face,user8,7-1-3,train,1,106,111,6,18,0.3333333333333333
train__c01__user6__1-1-1,1,Brush_teeth,user6,1-1-1,train,0,61,132,72,72,1.0
train__c01__user6__1-1-2,1,Brush_teeth,user6,1-1-2,train,0,48,123,76,76,1.0
train__c01__user6__1-1-3,1,Brush_teeth,user6,1-1-3,train,0,40,67,28,28,1.0
train__c01__user7__1-1-1,1,Brush_teeth,user7,1-1-1,train,0,19,54,36,36,1.0
train__c01__user7__1-1-2,1,Brush_teeth,user7,1-1-2,train,0,22,39,18,18,1.0
train__c01__user7__1-1-3,1,Brush_teeth,user7,1-1-3,train,0,30,50,21,21,1.0
train__c01__user8__1-1-1,1,Brush_teeth,user8,1-1-1,train,0,41,66,26,26,1.0
train__c01__user8__1-1-2,1,Brush_teeth,user8,1-1-2,train,0,17,62,46,46,1.0
train__c01__user8__1-1-3,1,Brush_teeth,user8,1-1-3,train,0,18,57,40,40,1.0
train__c01__user8__7-1-1,1,Brush_teeth,user8,7-1-1,train,0,60,72,13,13,1.0
train__c01__user8__7-1-2,1,Brush_teeth,user8,7-1-2,train,0,60,75,16,16,1.0
train__c01__user8__7-1-3,1,Brush_teeth,user8,7-1-3,train,0,31,42,12,12,1.0
train__c01__user9__1-1-1,1,Brush_teeth,user9,1-1-1,train,0,21,45,25,25,1.0
train__c01__user22__2-2-2,1,Brush_teeth,user22,2-2-2,train,0,86,86,1,10,0.1
train__c02__user6__2-2-1,2,Comb_hair,user6,2-2-1,train,0,91,114,24,24,1.0
train__c02__user6__2-2-2,2,Comb_hair,user6,2-2-2,train,0,56,92,37,37,1.0
train__c02__user7__1-1-1,2,Comb_hair,user7,1-1-1,train,0,109,144,36,36,1.0
train__c02__user7__1-1-2,2,Comb_hair,user7,1-1-2,train,0,70,83,14,14,1.0
train__c02__user7__1-1-3,2,Comb_hair,user7,1-1-3,train,0,77,109,33,33,1.0
train__c02__user8__7-1-2,2,Comb_hair,user8,7-1-2,train,0,98,105,8,8,1.0
train__c02__user8__7-1-3,2,Comb_hair,user8,7-1-3,train,0,56,61,6,6,1.0
train__c02__user9__1-1-1,2,Comb_hair,user9,1-1-1,train,0,93,111,19,19,1.0
train__c02__user9__1-1-2,2,Comb_hair,user9,1-1-2,train,0,62,74,13,13,1.0
train__c02__user9__1-1-3,2,Comb_hair,user9,1-1-3,train,0,98,107,10,10,1.0
train__c03__user7__5-1-3,3,Take_off_clothes,user7,5-1-3,train,0,76,76,1,40,0.025
train__c03__user8__6-1-1,3,Take_off_clothes,user8,6-1-1,train,0,59,59,1,35,0.02857142857142857
train__c03__user8__6-1-2,3,Take_off_clothes,user8,6-1-2,train,0,42,42,1,25,0.04
train__c03__user8__7-1-1,3,Take_off_clothes,user8,7-1-1,train,0,84,120,37,37,1.0
train__c03__user8__7-1-2,3,Take_off_clothes,user8,7-1-2,train,0,122,142,21,21,1.0
train__c03__user8__7-1-3,3,Take_off_clothes,user8,7-1-3,train,0,67,77,11,11,1.0
train__c03__user9__3-1-2,3,Take_off_clothes,user9,3-1-2,train,0,63,118,56,59,0.9491525423728814
train__c03__user9__3-1-2,3,Take_off_clothes,user9,3-1-2,train,1,121,121,1,59,0.01694915254237288
train__c03__user18__6-1-1,3,Take_off_clothes,user18,6-1-1,train,0,49,50,2,35,0.05714285714285714
train__c03__user18__6-1-1,3,Take_off_clothes,user18,6-1-1,train,1,53,54,2,35,0.05714285714285714
train__c03__user18__6-1-1,3,Take_off_clothes,user18,6-1-1,train,2,66,68,3,35,0.08571428571428572
train__c03__user18__6-1-1,3,Take_off_clothes,user18,6-1-1,train,3,72,79,8,35,0.22857142857142856
train__c03__user18__6-1-2,3,Take_off_clothes,user18,6-1-2,train,0,40,44,5,11,0.45454545454545453
train__c03__user18__6-1-2,3,Take_off_clothes,user18,6-1-2,train,1,46,47,2,11,0.18181818181818182
train__c03__user18__6-1-2,3,Take_off_clothes,user18,6-1-2,train,2,49,49,1,11,0.09090909090909091
train__c03__user18__6-1-3,3,Take_off_clothes,user18,6-1-3,train,0,54,54,1,22,0.045454545454545456
train__c03__user18__7-1-3,3,Take_off_clothes,user18,7-1-3,train,0,90,91,2,11,0.18181818181818182
train__c03__user22__6-1-1,3,Take_off_clothes,user22,6-1-1,train,0,74,74,1,32,0.03125
train__c03__user22__6-1-2,3,Take_off_clothes,user22,6-1-2,train,0,45,45,1,27,0.037037037037037035
train__c03__user22__6-1-2,3,Take_off_clothes,user22,6-1-2,train,1,54,54,1,27,0.037037037037037035
train__c03__user23__5-2-2,3,Take_off_clothes,user23,5-2-2,validation,0,42,42,1,24,0.041666666666666664
train__c03__user23__5-2-2,3,Take_off_clothes,user23,5-2-2,validation,1,44,44,1,24,0.041666666666666664
train__c03__user23__5-2-2,3,Take_off_clothes,user23,5-2-2,validation,2,54,54,1,24,0.041666666666666664
train__c03__user23__5-2-3,3,Take_off_clothes,user23,5-2-3,validation,0,31,31,1,13,0.07692307692307693
train__c03__user23__5-2-3,3,Take_off_clothes,user23,5-2-3,validation,1,35,35,1,13,0.07692307692307693
train__c04__user6__2-2-1,4,Wipe_hands,user6,2-2-1,train,0,44,63,20,20,1.0
train__c04__user6__2-2-2,4,Wipe_hands,user6,2-2-2,train,0,22,45,24,24,1.0
train__c04__user6__2-2-3,4,Wipe_hands,user6,2-2-3,train,0,36,46,11,11,1.0
train__c04__user7__1-1-1,4,Wipe_hands,user7,1-1-1,train,0,73,95,23,23,1.0
train__c04__user7__1-1-2,4,Wipe_hands,user7,1-1-2,train,0,54,63,10,10,1.0
