fold_split,length_bucket,trials,rate
all,1,2,0.000682360968952576
all,2-3,9,0.0030706243602865915
all,4-7,179,0.06107130672125555
all,8-15,632,0.21562606618901398
all,16-31,1101,0.37563971340839303
all,32-63,799,0.27260320709655406
all,64-95,158,0.053906516547253494
all,96-127,37,0.012623677925622655
all,128+,14,0.004776526782668032
train,1,2,0.0008543357539513029
train,2-3,8,0.0034173430158052115
train,4-7,159,0.06791969243912858
train,8-15,517,0.22084579239641178
train,16-31,840,0.3588210166595472
train,32-63,646,0.2759504485262708
train,64-95,124,0.05296881674498078
train,96-127,33,0.014096539940196497
train,128+,12,0.0051260145237078175
validation,1,0,0.0
validation,2-3,1,0.001694915254237288
validation,4-7,20,0.03389830508474576
validation,8-15,115,0.19491525423728814
validation,16-31,261,0.4423728813559322
validation,32-63,153,0.2593220338983051
validation,64-95,34,0.0576271186440678
validation,96-127,4,0.006779661016949152
validation,128+,2,0.003389830508474576
