group_type,group,trials,min,p01,p05,median,mean,p95,p99,max,std
fold,all,2931,1.0,4.0,7.0,24.0,29.300238826339132,70.0,107.69999999999982,236.0,21.89606500850423
fold,train,2341,1.0,4.0,7.0,24.0,29.128150363092697,70.0,108.59999999999991,236.0,22.421647284117924
fold,validation,590,3.0,6.0,8.0,26.0,29.983050847457626,69.54999999999995,94.22000000000003,135.0,19.657914717266245
action,Brush_teeth,48,3.0,3.47,5.7,18.5,22.520833333333332,53.79999999999998,74.12,76.0,15.867930950155062
action,Check_the_time,94,3.0,3.93,5.0,14.0,15.436170212765957,28.0,40.139999999999986,42.0,7.890956998615969
action,Comb_hair,54,4.0,4.53,6.0,17.0,24.09259259259259,67.39999999999998,74.22999999999999,79.0,19.27987678472088
action,Do_jumping_jacks,44,4.0,5.72,10.15,33.0,31.84090909090909,54.85,59.28,61.0,13.973909425357643
action,Do_lunges,26,6.0,6.75,10.75,37.0,36.30769230769231,65.75,76.25,79.0,16.466210695680903
action,Do_squats,77,5.0,7.28,13.4,28.0,31.766233766233768,65.00000000000001,73.19999999999997,77.0,17.24378005979397
action,Do_stretching_exercises,85,7.0,7.84,10.2,29.0,30.8,51.8,70.95999999999998,76.0,14.289280227211053
action,Drink_water,120,5.0,8.19,10.0,21.5,27.325,70.05,85.29000000000002,138.0,19.04956801784929
action,Eat_food,154,1.0,3.5300000000000002,5.0,23.0,25.038961038961038,53.349999999999994,77.63999999999999,92.0,15.041882272414691
action,Fold_clothes,24,15.0,15.46,17.6,51.5,59.375,120.74999999999997,136.09,140.0,34.98191497045295
action,Jog_in_place,37,7.0,8.8,13.6,34.0,37.16216216216216,77.79999999999995,92.68,97.0,18.652604359153415
action,Lie_down,33,6.0,6.32,7.6,29.0,33.57575757575758,59.4,102.15999999999998,122.0,21.12305978614626
action,Listen_to_music_with_headphones,75,7.0,8.48,11.0,30.0,37.56,87.69999999999983,199.18000000000023,231.0,37.63552931295994
action,Make_a_phone_call,43,9.0,10.26,14.1,31.0,33.74418604651163,69.1,84.37999999999998,89.0,17.239884831072466
action,Massage_oneself,62,10.0,11.22,17.0,28.5,33.88709677419355,68.89999999999999,78.24000000000001,88.0,17.118283791267647
action,Mop_the_floor,56,11.0,12.1,18.25,39.5,46.107142857142854,104.25,116.85000000000004,124.0,25.715947366947066
action,Peel_fruits,106,5.0,6.05,11.0,31.5,37.41509433962264,89.5,107.95,109.0,23.309188375551585
action,Play_games,40,6.0,6.39,8.9,28.0,34.6,62.249999999999986,104.81999999999996,129.0,22.044046815410283
action,Pour_drinks,131,4.0,4.0,8.0,27.0,31.022900763358777,68.5,74.09999999999997,124.0,19.127321751544272
action,Put_on_clothes,57,16.0,17.12,25.8,56.0,60.73684210526316,117.79999999999998,133.79999999999995,145.0,28.160272075408542
action,Read_documents,73,4.0,4.0,5.6,36.0,39.06849315068493,94.0,113.40000000000003,135.0,26.66192645678364
action,Sit_down,147,3.0,4.0,6.0,10.0,12.040816326530612,22.69999999999999,35.779999999999944,87.0,8.3126635228316
action,Stand_up,84,3.0,3.0,5.0,10.0,10.654761904761905,18.849999999999994,25.550000000000026,38.0,5.074431818109688
action,Stir_drinks,117,6.0,6.0,7.800000000000001,22.0,23.794871794871796,42.0,59.08000000000004,62.0,11.173486980721362
action,Sweep_the_floor,63,13.0,14.24,16.2,54.0,64.03174603174604,113.39999999999999,200.66000000000014,236.0,39.924916934033426
action,Take_a_selfie,41,9.0,9.4,10.0,23.0,31.317073170731707,76.0,133.80000000000007,153.0,26.365571623680502
action,Take_and_use_tableware,97,7.0,7.96,9.8,24.0,29.422680412371133,63.59999999999991,80.0,80.0,17.36796140993637
action,Take_body_temperature,55,3.0,4.62,6.7,23.0,23.836363636363636,45.3,70.08000000000004,96.0,15.233651309893006
action,Take_medicine,68,4.0,4.0,4.35,20.5,26.264705882352942,58.3,93.82999999999991,128.0,20.138942117682777
action,Take_off_clothes,41,10.0,10.4,11.0,24.0,30.024390243902438,68.0,73.20000000000002,76.0,17.384444693780825
action,Tap_the_keyboard,86,1.0,6.949999999999999,11.25,32.0,39.174418604651166,75.75,102.10000000000008,114.0,22.501261908005894
action,Turn_pages,59,5.0,6.16,8.9,33.0,35.101694915254235,66.0,82.28000000000006,102.0,18.51128370064881
action,Use_a_mobile_phone,48,6.0,7.88,10.0,29.5,31.979166666666668,57.599999999999994,93.36000000000001,99.0,19.29862860340657
action,Walk,335,4.0,5.0,6.0,16.0,18.54328358208955,39.30000000000001,52.0,65.0,10.552374336776618
action,Wash_face,44,3.0,3.43,5.15,23.5,25.25,47.0,59.56,63.0,14.32595387907746
action,Watch_TV,12,14.0,14.33,15.65,38.0,38.25,64.45,64.89,65.0,16.335671601335118
action,Wipe_bowls,35,13.0,15.04,21.8,37.0,41.17142857142857,66.6,68.66,69.0,16.041883954708265
action,Wipe_hands,70,5.0,5.69,8.45,23.0,23.228571428571428,39.55,46.0,46.0,9.124803604260562
action,Wipe_windows_and_tables,52,10.0,12.04,15.100000000000001,36.0,37.94230769230769,71.35,98.21000000000006,113.0,18.987256314877722
action,Write,38,3.0,4.109999999999999,7.7,27.0,30.763157894736842,66.75,72.89000000000001,74.0,18.336667622591218
user,user1,149,4.0,7.48,9.4,32.0,39.16107382550336,105.0,124.52000000000001,153.0,28.62487469310376
user,user16,186,4.0,4.85,10.0,29.0,33.90860215053763,76.0,123.05000000000004,138.0,22.117409850073415
user,user17,166,7.0,7.0,8.0,26.0,29.879518072289155,68.75,91.39999999999998,96.0,18.501317172491888
user,user18,178,3.0,3.77,5.0,22.0,27.679775280898877,63.30000000000001,177.98999999999987,231.0,28.332966782373397
user,user19,186,5.0,5.0,7.0,19.0,23.21505376344086,52.5,72.7000000000001,117.0,15.687368703038329
user,user2,167,4.0,4.0,7.300000000000001,29.0,33.09580838323353,77.69999999999999,99.04000000000002,140.0,22.737037113085908
user,user20,159,4.0,5.0,9.0,28.0,29.528301886792452,60.099999999999994,75.41999999999999,100.0,16.16378875535474
user,user21,133,3.0,3.64,6.0,18.0,25.015037593984964,70.0,107.36000000000001,121.0,21.882799563307934
user,user22,191,1.0,2.8000000000000003,6.0,17.0,21.602094240837697,50.0,74.69999999999996,114.0,15.80108008143145
user,user23,131,4.0,6.0,9.0,24.0,28.19083969465649,62.5,87.49999999999994,113.0,17.395320290158583
user,user24,159,3.0,4.0,7.0,22.0,25.59748427672956,54.099999999999994,87.61999999999986,135.0,17.897724635557893
user,user3,161,4.0,4.6,6.0,24.0,29.124223602484474,67.0,96.00000000000003,105.0,20.65473574919942
user,user4,134,6.0,7.33,10.65,31.0,37.06716417910448,80.39999999999998,105.33999999999997,128.0,22.920432701886366
user,user5,100,7.0,7.99,12.0,36.5,43.62,82.34999999999998,161.1800000000001,179.0,27.77832968340609
