group_type,group,manifest_trials,skeleton_present_trials,skeleton_missing_trials,coverage_rate
fold,train,2427,2341,86,0.9645653069633292
fold,validation,609,590,19,0.9688013136288999
action,Brush_teeth,51,48,3,0.9411764705882353
action,Check_the_time,96,94,2,0.9791666666666666
action,Comb_hair,57,54,3,0.9473684210526315
action,Do_jumping_jacks,44,44,0,1.0
action,Do_lunges,27,26,1,0.9629629629629629
action,Do_squats,77,77,0,1.0
action,Do_stretching_exercises,88,85,3,0.9659090909090909
action,Drink_water,122,120,2,0.9836065573770492
action,Eat_food,155,154,1,0.9935483870967742
action,Fold_clothes,24,24,0,1.0
action,Jog_in_place,37,37,0,1.0
action,Lie_down,39,33,6,0.8461538461538461
action,Listen_to_music_with_headphones,78,75,3,0.9615384615384616
action,Make_a_phone_call,43,43,0,1.0
action,Massage_oneself,74,62,12,0.8378378378378378
action,Mop_the_floor,56,56,0,1.0
action,Peel_fruits,106,106,0,1.0
action,Play_games,40,40,0,1.0
action,Pour_drinks,133,131,2,0.9849624060150376
action,Put_on_clothes,57,57,0,1.0
action,Read_documents,82,73,9,0.8902439024390244
action,Sit_down,147,147,0,1.0
action,Stand_up,94,84,10,0.8936170212765957
action,Stir_drinks,120,117,3,0.975
action,Sweep_the_floor,63,63,0,1.0
action,Take_a_selfie,41,41,0,1.0
action,Take_and_use_tableware,97,97,0,1.0
action,Take_body_temperature,57,55,2,0.9649122807017544
action,Take_medicine,72,68,4,0.9444444444444444
action,Take_off_clothes,41,41,0,1.0
action,Tap_the_keyboard,87,86,1,0.9885057471264368
action,Turn_pages,59,59,0,1.0
action,Use_a_mobile_phone,48,48,0,1.0
action,Walk,365,335,30,0.9178082191780822
action,Wash_face,44,44,0,1.0
action,Watch_TV,12,12,0,1.0
action,Wipe_bowls,35,35,0,1.0
action,Wipe_hands,75,70,5,0.9333333333333333
action,Wipe_windows_and_tables,54,52,2,0.9629629629629629
action,Write,39,38,1,0.9743589743589743
user,user1,153,149,4,0.9738562091503268
user,user16,186,186,0,1.0
user,user17,166,166,0,1.0
user,user18,179,178,1,0.994413407821229
user,user19,188,186,2,0.9893617021276596
user,user2,168,167,1,0.9940476190476191
user,user20,159,159,0,1.0
user,user21,133,133,0,1.0
user,user22,194,191,3,0.9845360824742269
user,user23,141,131,10,0.9290780141843972
user,user24,159,159,0,1.0
user,user3,163,161,2,0.9877300613496932
user,user4,143,134,9,0.9370629370629371
user,user5,160,100,60,0.625
user,user6,203,201,2,0.9901477832512315
user,user7,185,184,1,0.9945945945945946
user,user8,169,165,4,0.9763313609467456
user,user9,187,181,6,0.9679144385026738
