sample_id,class_id,action_name,user_id,trial_id,fold_split,manifest_has_skeleton_path,trial_directory_exists,json_frames,valid_frames,invalid_frames,unique_frame_ids,duplicate_frame_ids,duplicate_frame_ids_exact,missing_frame_id_slots,empty_frames,malformed_frames,multi_person_frames,frames_with_nonfinite_points,unique_multi_person_frames,multi_person_runs,longest_multi_person_run,isolated_multi_person_frames,multi_person_unique_rate,frames_with_nonpositive_scores,frames_with_whole_zero_joint,parsed_filenames,frame_ids_strictly_increasing,timestamps_strictly_increasing,mean_raw_joint_motion,p95_raw_joint_motion
train__c00__user4__1-1-1,0,Wash_face,user4,1-1-1,validation,True,True,42,42,0,42,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,42,True,True,0.0196808356808898,0.05535132719324129
train__c00__user4__1-1-2,0,Wash_face,user4,1-1-2,validation,True,True,63,63,0,63,0,0,0,0,0,1,0,1,1,1,1,0.015873015873015872,0,0,63,True,True,0.019502896522385696,0.06309335040589065
train__c00__user4__1-1-3,0,Wash_face,user4,1-1-3,validation,True,True,31,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,31,True,True,0.026428034015019964,0.08959433433348142
train__c00__user5__1-1-1,0,Wash_face,user5,1-1-1,train,True,True,40,40,0,40,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,40,True,True,0.0220263671572881,0.05846120223837859
train__c00__user5__1-1-2,0,Wash_face,user5,1-1-2,train,True,True,38,38,0,38,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,38,True,True,0.023816382010471444,0.07520441890553627
train__c00__user5__1-1-3,0,Wash_face,user5,1-1-3,train,True,True,30,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,30,True,True,0.03726332777604648,0.1241030020455098
train__c00__user6__1-1-1,0,Wash_face,user6,1-1-1,train,True,True,47,47,0,47,0,0,0,0,0,47,0,47,1,47,0,1.0,0,0,47,True,True,0.027827656587037158,0.08433493596764648
train__c00__user6__1-1-2,0,Wash_face,user6,1-1-2,train,True,True,45,45,0,45,0,0,0,0,0,45,0,45,1,45,0,1.0,0,0,45,True,True,0.04476784871212749,0.14916490759986908
train__c00__user6__1-1-3,0,Wash_face,user6,1-1-3,train,True,True,34,34,0,34,0,0,0,0,0,34,0,34,1,34,0,1.0,0,0,34,True,True,0.05280255007979459,0.16600814998746427
train__c00__user8__1-1-1,0,Wash_face,user8,1-1-1,train,True,True,26,26,0,26,0,0,0,0,0,26,0,26,1,26,0,1.0,0,0,26,True,True,0.08116414732981345,0.2166529680867236
