representation,class_id,support,precision,recall,f1
T1_segment_aware_c1_tcn,0,32,0.36538461538461536,0.59375,0.4523809523809524
T1_segment_aware_c1_tcn,1,36,0.375,0.25,0.3
T1_segment_aware_c1_tcn,2,45,0.23684210526315788,0.2,0.21686746987951808
T1_segment_aware_c1_tcn,3,30,0.3125,0.16666666666666666,0.21739130434782608
T1_segment_aware_c1_tcn,4,55,0.3181818181818182,0.2545454545454545,0.2828282828282828
T1_segment_aware_c1_tcn,5,42,0.475,0.4523809523809524,0.4634146341463415
T1_segment_aware_c1_tcn,6,107,0.2925170068027211,0.40186915887850466,0.33858267716535434
T1_segment_aware_c1_tcn,7,122,0.29936305732484075,0.38524590163934425,0.33691756272401435
T1_segment_aware_c1_tcn,8,83,0.1839080459770115,0.1927710843373494,0.18823529411764706
T1_segment_aware_c1_tcn,9,115,0.33116883116883117,0.4434782608695652,0.379182156133829
T1_segment_aware_c1_tcn,10,101,0.1917808219178082,0.13861386138613863,0.16091954022988506
T1_segment_aware_c1_tcn,11,88,0.3170731707317073,0.29545454545454547,0.3058823529411765
T1_segment_aware_c1_tcn,12,54,0.3888888888888889,0.3888888888888889,0.3888888888888889
T1_segment_aware_c1_tcn,13,50,0.38095238095238093,0.32,0.34782608695652173
T1_segment_aware_c1_tcn,14,29,0.1,0.034482758620689655,0.05128205128205128
T1_segment_aware_c1_tcn,15,43,0.29411764705882354,0.23255813953488372,0.2597402597402597
T1_segment_aware_c1_tcn,16,15,0.0,0.0,0.0
T1_segment_aware_c1_tcn,17,69,0.5060240963855421,0.6086956521739131,0.5526315789473685
T1_segment_aware_c1_tcn,18,27,0.3,0.1111111111111111,0.16216216216216217
T1_segment_aware_c1_tcn,19,35,0.12,0.08571428571428572,0.1
T1_segment_aware_c1_tcn,20,82,0.3142857142857143,0.2682926829268293,0.2894736842105263
T1_segment_aware_c1_tcn,21,58,0.43243243243243246,0.27586206896551724,0.3368421052631579
T1_segment_aware_c1_tcn,22,50,0.14285714285714285,0.2,0.16666666666666666
T1_segment_aware_c1_tcn,23,58,0.27835051546391754,0.46551724137931033,0.34838709677419355
T1_segment_aware_c1_tcn,24,32,0.20833333333333334,0.15625,0.17857142857142858
T1_segment_aware_c1_tcn,25,6,0.0,0.0,0.0
T1_segment_aware_c1_tcn,26,28,0.05454545454545454,0.10714285714285714,0.07228915662650602
T1_segment_aware_c1_tcn,27,27,0.4,0.2222222222222222,0.2857142857142857
T1_segment_aware_c1_tcn,28,26,0.6071428571428571,0.6538461538461539,0.6296296296296297
T1_segment_aware_c1_tcn,29,62,0.5757575757575758,0.6129032258064516,0.59375
T1_segment_aware_c1_tcn,30,38,0.75,0.868421052631579,0.8048780487804879
T1_segment_aware_c1_tcn,31,67,0.5274725274725275,0.7164179104477612,0.6075949367088608
T1_segment_aware_c1_tcn,32,60,0.6,0.7,0.6461538461538462
T1_segment_aware_c1_tcn,33,27,0.53125,0.6296296296296297,0.576271186440678
T1_segment_aware_c1_tcn,34,116,0.7835051546391752,0.6551724137931034,0.7136150234741784
T1_segment_aware_c1_tcn,35,21,0.08333333333333333,0.047619047619047616,0.06060606060606061
T1_segment_aware_c1_tcn,36,264,0.8293515358361775,0.9204545454545454,0.8725314183123878
T1_segment_aware_c1_tcn,37,51,0.15,0.058823529411764705,0.08450704225352113
T1_segment_aware_c1_tcn,38,50,0.15789473684210525,0.06,0.08695652173913043
T1_segment_aware_c1_tcn,39,40,0.14285714285714285,0.1,0.11764705882352941
