representation,class_id,support,precision,recall,f1
T2_c1_tcn_96,0,32,0.3584905660377358,0.59375,0.4470588235294118
T2_c1_tcn_96,1,36,0.28,0.19444444444444445,0.22950819672131148
T2_c1_tcn_96,2,45,0.2857142857142857,0.17777777777777778,0.2191780821917808
T2_c1_tcn_96,3,30,0.15384615384615385,0.06666666666666667,0.09302325581395349
T2_c1_tcn_96,4,55,0.21951219512195122,0.16363636363636364,0.1875
T2_c1_tcn_96,5,42,0.46153846153846156,0.42857142857142855,0.4444444444444444
T2_c1_tcn_96,6,107,0.29411764705882354,0.4205607476635514,0.34615384615384615
T2_c1_tcn_96,7,122,0.28888888888888886,0.4262295081967213,0.3443708609271523
T2_c1_tcn_96,8,83,0.1791044776119403,0.14457831325301204,0.16
T2_c1_tcn_96,9,115,0.2994652406417112,0.48695652173913045,0.3708609271523179
T2_c1_tcn_96,10,101,0.21739130434782608,0.19801980198019803,0.20725388601036268
T2_c1_tcn_96,11,88,0.32857142857142857,0.26136363636363635,0.2911392405063291
T2_c1_tcn_96,12,54,0.37037037037037035,0.37037037037037035,0.37037037037037035
T2_c1_tcn_96,13,50,0.42857142857142855,0.3,0.35294117647058826
T2_c1_tcn_96,14,29,0.3333333333333333,0.06896551724137931,0.11428571428571428
T2_c1_tcn_96,15,43,0.2903225806451613,0.20930232558139536,0.24324324324324326
T2_c1_tcn_96,16,15,0.0,0.0,0.0
T2_c1_tcn_96,17,69,0.4943820224719101,0.6376811594202898,0.5569620253164557
T2_c1_tcn_96,18,27,0.5,0.14814814814814814,0.22857142857142856
T2_c1_tcn_96,19,35,0.04,0.02857142857142857,0.03333333333333333
T2_c1_tcn_96,20,82,0.359375,0.2804878048780488,0.3150684931506849
T2_c1_tcn_96,21,58,0.45161290322580644,0.2413793103448276,0.3146067415730337
T2_c1_tcn_96,22,50,0.1927710843373494,0.32,0.24060150375939848
T2_c1_tcn_96,23,58,0.3103448275862069,0.46551724137931033,0.3724137931034483
T2_c1_tcn_96,24,32,0.09523809523809523,0.0625,0.07547169811320754
T2_c1_tcn_96,25,6,0.0,0.0,0.0
T2_c1_tcn_96,26,28,0.058823529411764705,0.10714285714285714,0.0759493670886076
T2_c1_tcn_96,27,27,0.5555555555555556,0.18518518518518517,0.2777777777777778
T2_c1_tcn_96,28,26,0.6666666666666666,0.6923076923076923,0.6792452830188679
T2_c1_tcn_96,29,62,0.5428571428571428,0.6129032258064516,0.5757575757575758
T2_c1_tcn_96,30,38,0.7619047619047619,0.8421052631578947,0.8
T2_c1_tcn_96,31,67,0.5555555555555556,0.746268656716418,0.6369426751592356
T2_c1_tcn_96,32,60,0.6451612903225806,0.6666666666666666,0.6557377049180327
T2_c1_tcn_96,33,27,0.6363636363636364,0.7777777777777778,0.7
T2_c1_tcn_96,34,116,0.7222222222222222,0.6724137931034483,0.6964285714285714
T2_c1_tcn_96,35,21,0.125,0.047619047619047616,0.06896551724137931
T2_c1_tcn_96,36,264,0.8151815181518152,0.9356060606060606,0.8712522045855379
T2_c1_tcn_96,37,51,0.125,0.0392156862745098,0.05970149253731343
T2_c1_tcn_96,38,50,0.05555555555555555,0.02,0.029411764705882353
T2_c1_tcn_96,39,40,0.22727272727272727,0.125,0.16129032258064516
