label,samples,c1_accuracy,t2_accuracy,t2_minus_c1,c1_only,t2_only
0,32,0.625,0.59375,-0.03125,1,0
1,36,0.19444444444444445,0.19444444444444445,0.0,2,2
2,45,0.13333333333333333,0.17777777777777778,0.04444444444444445,1,3
3,30,0.06666666666666667,0.06666666666666667,0.0,0,0
4,55,0.2,0.16363636363636364,-0.036363636363636376,6,4
5,42,0.42857142857142855,0.42857142857142855,0.0,8,8
6,107,0.45794392523364486,0.4205607476635514,-0.03738317757009346,7,3
7,122,0.4672131147540984,0.4262295081967213,-0.040983606557377095,11,6
8,83,0.12048192771084337,0.14457831325301204,0.02409638554216867,3,5
9,115,0.4782608695652174,0.48695652173913045,0.008695652173913049,3,4
10,101,0.1782178217821782,0.19801980198019803,0.01980198019801982,2,4
11,88,0.20454545454545456,0.26136363636363635,0.056818181818181795,4,9
12,54,0.4074074074074074,0.37037037037037035,-0.037037037037037035,7,5
13,50,0.34,0.3,-0.040000000000000036,3,1
14,29,0.0,0.06896551724137931,0.06896551724137931,0,2
15,43,0.32558139534883723,0.20930232558139536,-0.11627906976744187,6,1
16,15,0.0,0.0,0.0,0,0
17,69,0.5507246376811594,0.6376811594202898,0.08695652173913038,4,10
18,27,0.1111111111111111,0.14814814814814814,0.037037037037037035,0,1
19,35,0.08571428571428572,0.02857142857142857,-0.05714285714285715,2,0
20,82,0.17073170731707318,0.2804878048780488,0.10975609756097562,1,10
21,58,0.22413793103448276,0.2413793103448276,0.017241379310344834,3,4
22,50,0.26,0.32,0.06,0,3
23,58,0.46551724137931033,0.46551724137931033,0.0,2,2
24,32,0.0,0.0625,0.0625,0,2
25,6,0.0,0.0,0.0,0,0
26,28,0.03571428571428571,0.10714285714285714,0.07142857142857142,0,2
27,27,0.07407407407407407,0.18518518518518517,0.1111111111111111,0,3
28,26,0.6538461538461539,0.6923076923076923,0.038461538461538436,1,2
29,62,0.5645161290322581,0.6129032258064516,0.048387096774193505,1,4
30,38,0.868421052631579,0.8421052631578947,-0.026315789473684292,2,1
31,67,0.746268656716418,0.746268656716418,0.0,2,2
32,60,0.6833333333333333,0.6666666666666666,-0.01666666666666672,2,1
33,27,0.6296296296296297,0.7777777777777778,0.14814814814814814,1,5
34,116,0.6724137931034483,0.6724137931034483,0.0,1,1
35,21,0.047619047619047616,0.047619047619047616,0.0,0,0
36,264,0.9090909090909091,0.9356060606060606,0.02651515151515149,1,8
37,51,0.0392156862745098,0.0392156862745098,0.0,1,1
38,50,0.06,0.02,-0.039999999999999994,2,0
39,40,0.075,0.125,0.05,0,2
