class_id,action_name,is_target16,train_support,val_support,f1_alpha_0.00,f1_alpha_0.25,f1_alpha_0.50,f1_alpha_0.75,f1_alpha_1.00
0,Wash_face,False,32,12,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348,0.9565217391304348
1,Brush_teeth,False,36,12,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131,0.6086956521739131
2,Comb_hair,False,45,9,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047,0.19047619047619047
3,Take_off_clothes,False,30,11,0.5,0.5,0.5,0.5,0.5
4,Wipe_hands,False,55,15,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138,0.6206896551724138
5,Put_on_clothes,False,39,15,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645
6,Drink_water,True,107,13,0.5925925925925926,0.5925925925925926,0.48,0.48,0.5
7,Eat_food,True,122,32,0.27906976744186046,0.2926829268292683,0.3333333333333333,0.4090909090909091,0.391304347826087
8,Take_and_use_tableware,True,82,14,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.21428571428571427,0.2222222222222222
9,Pour_drinks,False,114,16,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.5925925925925926
10,Stir_drinks,True,100,16,0.2,0.2,0.25806451612903225,0.45161290322580644,0.46153846153846156
11,Peel_fruits,True,88,18,0.2222222222222222,0.2222222222222222,0.3181818181818182,0.2631578947368421,0.3333333333333333
12,Sweep_the_floor,False,50,9,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
13,Mop_the_floor,False,49,6,0.0,0.0,0.0,0.0,0.0
14,Wipe_bowls,True,29,6,0.2222222222222222,0.23529411764705882,0.3333333333333333,0.2857142857142857,0.2962962962962963
15,Wipe_windows_and_tables,False,43,9,0.0,0.0,0.0,0.0,0.0
16,Fold_clothes,False,12,9,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.2857142857142857
17,Tap_the_keyboard,False,69,17,0.4827586206896552,0.4827586206896552,0.4827586206896552,0.4827586206896552,0.4827586206896552
18,Write,True,27,11,0.2,0.2,0.21052631578947367,0.1,0.09090909090909091
19,Make_a_phone_call,True,35,8,0.35294117647058826,0.2857142857142857,0.2727272727272727,0.2857142857142857,0.3
20,Check_the_time,False,82,12,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078
21,Read_documents,True,56,15,0.2,0.24,0.3448275862068966,0.3333333333333333,0.36363636363636365
22,Turn_pages,True,50,9,0.30303030303030304,0.21428571428571427,0.16666666666666666,0.18181818181818182,0.2
23,Listen_to_music_with_headphones,False,58,17,0.5128205128205128,0.5128205128205128,0.5128205128205128,0.5128205128205128,0.5128205128205128
24,Use_a_mobile_phone,True,32,16,0.2,0.16216216216216217,0.18181818181818182,0.2,0.26666666666666666
25,Watch_TV,True,6,6,0.3333333333333333,0.4444444444444444,0.0,0.0,0.0
26,Play_games,True,28,12,0.19047619047619047,0.32,0.3333333333333333,0.35294117647058826,0.36363636363636365
27,Take_a_selfie,True,27,14,0.2608695652173913,0.37037037037037035,0.3225806451612903,0.3125,0.3125
28,Jog_in_place,False,26,11,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571
29,Do_squats,False,62,15,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156,0.46153846153846156
30,Do_jumping_jacks,False,38,6,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.5217391304347826
31,Do_stretching_exercises,False,67,18,0.375,0.375,0.375,0.375,0.375
32,Stand_up,False,60,24,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
33,Lie_down,False,27,6,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
34,Sit_down,False,115,31,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407,0.7407407407407407
35,Do_lunges,False,21,5,0.2,0.2,0.2,0.2,0.2
36,Walk,False,260,71,0.9261744966442953,0.9261744966442953,0.9261744966442953,0.9261744966442953,0.9261744966442953
37,Take_medicine,True,51,17,0.16,0.15384615384615385,0.14814814814814814,0.14285714285714285,0.14285714285714285
38,Massage_oneself,False,50,12,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078
39,Take_body_temperature,True,40,15,0.18604651162790697,0.20512820512820512,0.2222222222222222,0.23529411764705882,0.23529411764705882
