alpha,user_id,support,accuracy,macro_f1_40class,correct_count
0.0,user17,166,0.4819277108433735,0.32628638187461717,80
0.0,user23,131,0.3893129770992366,0.20581906016688628,51
0.0,user24,159,0.5094339622641509,0.30680366381585894,81
0.0,user4,134,0.4552238805970149,0.25674693362193357,61
0.25,user17,166,0.4819277108433735,0.32676257235080763,80
0.25,user23,131,0.3893129770992366,0.20585693895476503,51
0.25,user24,159,0.5345911949685535,0.32424836458292805,85
0.25,user4,134,0.44029850746268656,0.24249729437229436,59
0.5,user17,166,0.4939759036144578,0.3336673342555695,82
0.5,user23,131,0.3893129770992366,0.20656331591114202,51
0.5,user24,159,0.5283018867924528,0.3113808921430873,84
0.5,user4,134,0.4552238805970149,0.24856872294372293,61
0.75,user17,166,0.5180722891566265,0.3426010476010476,86
0.75,user23,131,0.3816793893129771,0.2015098971077232,50
0.75,user24,159,0.5345911949685535,0.31224669300888813,85
0.75,user4,134,0.44776119402985076,0.24527398040555934,60
1.0,user17,166,0.5301204819277109,0.3515207308589662,88
1.0,user23,131,0.3816793893129771,0.20073608758391365,50
1.0,user24,159,0.5408805031446541,0.316875813888009,86
1.0,user4,134,0.44776119402985076,0.25112123987123985,60
