sample_id,user_id,true_class_id,true_action,b2_prediction,b2_prediction_action,b2_correct,prediction_alpha_0.00,correct_alpha_0.00,prediction_alpha_0.25,correct_alpha_0.25,prediction_alpha_0.50,correct_alpha_0.50,prediction_alpha_0.75,correct_alpha_0.75,prediction_alpha_1.00,correct_alpha_1.00
train__c04__user17__7-2-1,user17,4,Wipe_hands,11,Peel_fruits,False,11,False,11,False,11,False,11,False,11,False
train__c04__user17__7-2-2,user17,4,Wipe_hands,11,Peel_fruits,False,11,False,11,False,11,False,11,False,11,False
train__c04__user17__7-2-3,user17,4,Wipe_hands,14,Wipe_bowls,False,14,False,14,False,14,False,14,False,14,False
train__c06__user4__2-1-1,user4,6,Drink_water,6,Drink_water,True,6,True,6,True,6,True,6,True,6,True
train__c06__user4__2-1-2,user4,6,Drink_water,6,Drink_water,True,6,True,6,True,6,True,6,True,6,True
train__c06__user4__2-1-3,user4,6,Drink_water,6,Drink_water,True,6,True,6,True,6,True,6,True,6,True
train__c06__user4__4-2-1,user4,6,Drink_water,39,Take_body_temperature,False,39,False,39,False,39,False,39,False,39,False
train__c06__user4__4-2-2,user4,6,Drink_water,37,Take_medicine,False,37,False,37,False,37,False,37,False,37,False
train__c06__user4__4-2-3,user4,6,Drink_water,37,Take_medicine,False,37,False,37,False,37,False,37,False,37,False
train__c06__user23__5-3-3,user23,6,Drink_water,39,Take_body_temperature,False,39,False,39,False,39,False,39,False,39,False
train__c06__user24__2-1-1,user24,6,Drink_water,6,Drink_water,True,6,True,6,True,6,True,6,True,6,True
train__c06__user24__2-1-2,user24,6,Drink_water,6,Drink_water,True,6,True,6,True,6,True,6,True,6,True
train__c06__user24__2-1-3,user24,6,Drink_water,6,Drink_water,True,6,True,6,True,6,True,6,True,6,True
train__c06__user24__4-2-1,user24,6,Drink_water,6,Drink_water,True,6,True,6,True,6,True,6,True,6,True
train__c06__user24__4-2-2,user24,6,Drink_water,37,Take_medicine,False,37,False,37,False,37,False,37,False,37,False
train__c06__user24__4-2-3,user24,6,Drink_water,6,Drink_water,True,6,True,6,True,6,True,6,True,6,True
train__c07__user4__1-2-2,user4,7,Eat_food,10,Stir_drinks,False,10,False,10,False,10,False,10,False,10,False
train__c07__user4__1-2-3,user4,7,Eat_food,11,Peel_fruits,False,11,False,11,False,11,False,11,False,11,False
train__c07__user4__2-1-1,user4,7,Eat_food,8,Take_and_use_tableware,False,8,False,8,False,8,False,8,False,8,False
train__c07__user4__2-1-2,user4,7,Eat_food,7,Eat_food,True,7,True,7,True,7,True,7,True,7,True
train__c07__user4__2-1-3,user4,7,Eat_food,7,Eat_food,True,7,True,7,True,7,True,7,True,7,True
train__c07__user4__5-1-1,user4,7,Eat_food,10,Stir_drinks,False,10,False,10,False,10,False,10,False,10,False
train__c07__user4__5-1-2,user4,7,Eat_food,37,Take_medicine,False,37,False,37,False,37,False,37,False,37,False
train__c07__user4__5-1-3,user4,7,Eat_food,6,Drink_water,False,6,False,6,False,6,False,6,False,6,False
train__c07__user17__1-2-1,user17,7,Eat_food,18,Write,False,18,False,18,False,18,False,18,False,18,False
