alpha,user_id,support,accuracy,macro_f1_40class,correct_count
0.0,user17,166,0.4819277108433735,0.32628638187461717,80
0.0,user23,131,0.3893129770992366,0.20581906016688628,51
0.0,user24,159,0.5094339622641509,0.30680366381585894,81
0.0,user4,134,0.4552238805970149,0.25674693362193357,61
0.25,user17,166,0.4819277108433735,0.32627237627237626,80
0.25,user23,131,0.3893129770992366,0.20581906016688628,51
0.25,user24,159,0.5094339622641509,0.30680366381585894,81
0.25,user4,134,0.4552238805970149,0.25674693362193357,61
0.5,user17,166,0.4819277108433735,0.32627237627237626,80
0.5,user23,131,0.3893129770992366,0.20581906016688628,51
0.5,user24,159,0.5094339622641509,0.30640323091542604,81
0.5,user4,134,0.4552238805970149,0.25674693362193357,61
0.75,user17,166,0.4819277108433735,0.32627237627237626,80
0.75,user23,131,0.3893129770992366,0.20581906016688628,51
0.75,user24,159,0.5094339622641509,0.30640323091542604,81
0.75,user4,134,0.4552238805970149,0.25674693362193357,61
1.0,user17,166,0.4879518072289157,0.3281771381771382,81
1.0,user23,131,0.3893129770992366,0.20581906016688628,51
1.0,user24,159,0.5094339622641509,0.3061569421165057,81
1.0,user4,134,0.44776119402985076,0.25515602453102454,60
